state_code,county_code,county_name,state_abbr,state_name
1,1,Autauga County,AL,Alabama
1,3,Baldwin County,AL,Alabama
1,5,Barbour County,AL,Alabama
1,7,Bibb County,AL,Alabama
1,9,Blount County,AL,Alabama
1,11,Bullock County,AL,Alabama
1,13,Butler County,AL,Alabama
1,15,Calhoun County,AL,Alabama
1,17,Chambers County,AL,Alabama
1,19,Cherokee County,AL,Alabama
1,21,Chilton County,AL,Alabama
1,23,Choctaw County,AL,Alabama
1,25,Clarke County,AL,Alabama
1,27,Clay County,AL,Alabama
1,29,Cleburne County,AL,Alabama
1,31,Coffee County,AL,Alabama
1,33,Colbert County,AL,Alabama
1,35,Conecuh County,AL,Alabama
1,37,Coosa County,AL,Alabama
1,39,Covington County,AL,Alabama
1,41,Crenshaw County,AL,Alabama
1,43,Cullman County,AL,Alabama
1,45,Dale County,AL,Alabama
1,47,Dallas County,AL,Alabama
1,49,DeKalb County,AL,Alabama
1,51,Elmore County,AL,Alabama
1,53,Escambia County,AL,Alabama
1,55,Etowah County,AL,Alabama
1,57,Fayette County,AL,Alabama
1,59,Franklin County,AL,Alabama
1,61,Geneva County,AL,Alabama
1,63,Greene County,AL,Alabama
1,65,Hale County,AL,Alabama
1,67,Henry County,AL,Alabama
1,69,Houston County,AL,Alabama
1,71,Jackson County,AL,Alabama
1,73,Jefferson County,AL,Alabama
1,75,Lamar County,AL,Alabama
1,77,Lauderdale County,AL,Alabama
1,79,Lawrence County,AL,Alabama
1,81,Lee County,AL,Alabama
1,83,Limestone County,AL,Alabama
1,85,Lowndes County,AL,Alabama
1,87,Macon County,AL,Alabama
1,89,Madison County,AL,Alabama
1,91,Marengo County,AL,Alabama
1,93,Marion County,AL,Alabama
1,95,Marshall County,AL,Alabama
1,97,Mobile County,AL,Alabama
1,99,Monroe County,AL,Alabama
1,101,Montgomery County,AL,Alabama
1,103,Morgan County,AL,Alabama
1,105,Perry County,AL,Alabama
1,107,Pickens County,AL,Alabama
1,109,Pike County,AL,Alabama
1,111,Randolph County,AL,Alabama
1,113,Russell County,AL,Alabama
1,115,St. Clair County,AL,Alabama
1,117,Shelby County,AL,Alabama
1,119,Sumter County,AL,Alabama
1,121,Talladega County,AL,Alabama
1,123,Tallapoosa County,AL,Alabama
1,125,Tuscaloosa County,AL,Alabama
1,127,Walker County,AL,Alabama
1,129,Washington County,AL,Alabama
1,131,Wilcox County,AL,Alabama
1,133,Winston County,AL,Alabama
2,13,Aleutians East Borough,AK,Alaska
2,16,Aleutians West Census Area,AK,Alaska
2,20,Anchorage Municipality,AK,Alaska
2,50,Bethel Census Area,AK,Alaska
2,60,Bristol Bay Borough,AK,Alaska
2,68,Denali Borough,AK,Alaska
2,70,Dillingham Census Area,AK,Alaska
2,90,Fairbanks North Star Borough,AK,Alaska
2,100,Haines Borough,AK,Alaska
2,105,Hoonah-Angoon Census Area,AK,Alaska
2,110,Juneau City and Borough,AK,Alaska
2,122,Kenai Peninsula Borough,AK,Alaska
2,130,Ketchikan Gateway Borough,AK,Alaska
2,150,Kodiak Island Borough,AK,Alaska
2,158,Kusilvak Census Area,AK,Alaska
2,164,Lake and Peninsula Borough,AK,Alaska
2,170,Matanuska-Susitna Borough,AK,Alaska
2,180,Nome Census Area,AK,Alaska
2,185,North Slope Borough,AK,Alaska
2,188,Northwest Arctic Borough,AK,Alaska
2,195,Petersburg Borough,AK,Alaska
2,198,Prince of Wales-Hyder Census Area,AK,Alaska
2,220,Sitka City and Borough,AK,Alaska
2,230,Skagway Municipality,AK,Alaska
2,240,Southeast Fairbanks Census Area,AK,Alaska
2,261,Valdez-Cordova Census Area,AK,Alaska
2,275,Wrangell City and Borough,AK,Alaska
2,282,Yakutat City and Borough,AK,Alaska
2,290,Yukon-Koyukuk Census Area,AK,Alaska
4,1,Apache County,AZ,Arizona
4,3,Cochise County,AZ,Arizona
4,5,Coconino County,AZ,Arizona
4,7,Gila County,AZ,Arizona
4,9,Graham County,AZ,Arizona
4,11,Greenlee County,AZ,Arizona
4,12,La Paz County,AZ,Arizona
4,13,Maricopa County,AZ,Arizona
4,15,Mohave County,AZ,Arizona
4,17,Navajo County,AZ,Arizona
4,19,Pima County,AZ,Arizona
4,21,Pinal County,AZ,Arizona
4,23,Santa Cruz County,AZ,Arizona
4,25,Yavapai County,AZ,Arizona
4,27,Yuma County,AZ,Arizona
5,1,Arkansas County,AR,Arkansas
5,3,Ashley County,AR,Arkansas
5,5,Baxter County,AR,Arkansas
5,7,Benton County,AR,Arkansas
5,9,Boone County,AR,Arkansas
5,11,Bradley County,AR,Arkansas
5,13,Calhoun County,AR,Arkansas
5,15,Carroll County,AR,Arkansas
5,17,Chicot County,AR,Arkansas
5,19,Clark County,AR,Arkansas
5,21,Clay County,AR,Arkansas
5,23,Cleburne County,AR,Arkansas
5,25,Cleveland County,AR,Arkansas
5,27,Columbia County,AR,Arkansas
5,29,Conway County,AR,Arkansas
5,31,Craighead County,AR,Arkansas
5,33,Crawford County,AR,Arkansas
5,35,Crittenden County,AR,Arkansas
5,37,Cross County,AR,Arkansas
5,39,Dallas County,AR,Arkansas
5,41,Desha County,AR,Arkansas
5,43,Drew County,AR,Arkansas
5,45,Faulkner County,AR,Arkansas
5,47,Franklin County,AR,Arkansas
5,49,Fulton County,AR,Arkansas
5,51,Garland County,AR,Arkansas
5,53,Grant County,AR,Arkansas
5,55,Greene County,AR,Arkansas
5,57,Hempstead County,AR,Arkansas
5,59,Hot Spring County,AR,Arkansas
5,61,Howard County,AR,Arkansas
5,63,Independence County,AR,Arkansas
5,65,Izard County,AR,Arkansas
5,67,Jackson County,AR,Arkansas
5,69,Jefferson County,AR,Arkansas
5,71,Johnson County,AR,Arkansas
5,73,Lafayette County,AR,Arkansas
5,75,Lawrence County,AR,Arkansas
5,77,Lee County,AR,Arkansas
5,79,Lincoln County,AR,Arkansas
5,81,Little River County,AR,Arkansas
5,83,Logan County,AR,Arkansas
5,85,Lonoke County,AR,Arkansas
5,87,Madison County,AR,Arkansas
5,89,Marion County,AR,Arkansas
5,91,Miller County,AR,Arkansas
5,93,Mississippi County,AR,Arkansas
5,95,Monroe County,AR,Arkansas
5,97,Montgomery County,AR,Arkansas
5,99,Nevada County,AR,Arkansas
5,101,Newton County,AR,Arkansas
5,103,Ouachita County,AR,Arkansas
5,105,Perry County,AR,Arkansas
5,107,Phillips County,AR,Arkansas
5,109,Pike County,AR,Arkansas
5,111,Poinsett County,AR,Arkansas
5,113,Polk County,AR,Arkansas
5,115,Pope County,AR,Arkansas
5,117,Prairie County,AR,Arkansas
5,119,Pulaski County,AR,Arkansas
5,121,Randolph County,AR,Arkansas
5,123,St. Francis County,AR,Arkansas
5,125,Saline County,AR,Arkansas
5,127,Scott County,AR,Arkansas
5,129,Searcy County,AR,Arkansas
5,131,Sebastian County,AR,Arkansas
