,accuracy,recall,precision
balsam fir,0.0,0.8788198103266597,0.5982783357245337
loblolly pine,0.0,0.5982273084258948,0.45347848273515906
northern white-cedar,0.0,0.7823567289117836,0.6581798483206934
paper birch,0.0,0.724609375,0.31795457791744036
quaking aspen,0.0,0.4584801207851032,0.7153513937966235
red maple,0.0,0.33998283998283996,0.46068885336433657
slash pine,0.0,0.5973583297827013,0.4321824907521578
sugar maple,0.0,0.5733489187609585,0.7479034307496824
sweetgum,0.0,0.4396936203218926,0.35672146621568473
yellow-poplar,0.0,0.4538104089219331,0.5943281402142162
Total,0.4921457941319953,0.5846687461219767,0.5335067019790529
