,accuracy,recall,precision
balsam fir,0.0,0.9267650158061117,0.7845673505798394
loblolly pine,0.0,0.883092112644452,0.7241030358785648
northern white-cedar,0.0,0.875724404378622,0.8779857972885733
paper birch,0.0,0.6396484375,0.6953290870488322
quaking aspen,0.0,0.8839959738298944,0.8580850024425989
red maple,0.0,0.7882346632346632,0.7063770483925225
slash pine,0.0,0.6987643800596506,0.7603152526657394
sugar maple,0.0,0.911065653613871,0.9717402597402598
sweetgum,0.0,0.5147372503393446,0.7137671417047593
yellow-poplar,0.0,0.812360594795539,0.8624568327577701
Total,0.7834692313053174,0.7934388486202147,0.795472680849946
