,accuracy,recall,precision
balsam fir,0.928345626975764,0.928345626975764,0.8540959767329133
loblolly pine,0.8983507236620667,0.8983507236620667,0.8486486486486486
northern white-cedar,0.9143593045717965,0.9143593045717965,0.9096732863549007
paper birch,0.6360677083333334,0.6360677083333334,0.7561919504643962
quaking aspen,0.9136889783593357,0.9136889783593357,0.8740972556571979
red maple,0.7832475332475333,0.7832475332475333,0.8065602738969573
slash pine,0.7865360034086067,0.7865360034086067,0.8483455882352942
sugar maple,0.9414572374829534,0.9414572374829534,0.9646671324483481
sweetgum,0.746751987589684,0.746751987589684,0.7485664301681407
yellow-poplar,0.9026951672862453,0.9026951672862453,0.8553940995156318
Total,0.8405603177921807,0.8451500270917318,0.8466240642122429
