,State,loblolly pine,red maple,sweetgum,Douglas-fir,slash pine,white oak,sugar maple,quaking aspen,lodgepole pine,ponderosa pine
1,Alabama,242561,24868,71085,0,15677,18382,959,0,0,0
2,Alaska,242561,0,0,0,0,0,0,998,4845,0
4,Arizona,0,0,0,7407,0,0,0,6370,0,48168
5,Arkansas,119697,12486,39262,0,0,41075,698,0,0,0
6,California,0,0,1,48637,0,0,0,658,11360,23924
8,Colorado,119697,0,0,15992,0,0,0,47684,34331,10754
9,Connecticut,0,5318,0,0,0,1086,921,52,0,0
10,Delaware,1499,2229,1183,0,0,490,0,0,0,0
12,Florida,26896,18256,14979,0,146037,397,0,0,0,0
13,Georgia,324735,69329,106371,0,163603,25654,93,0,0,0
15,Hawaii,1499,0,0,0,0,0,0,0,0,0
16,Idaho,0,0,0,55586,0,0,0,6551,47042,7755
17,Illinois,120,903,1012,4,0,3503,2873,20,0,0
18,Indiana,324735,4031,1174,0,0,3619,9891,60,0,0
19,Iowa,0,4,0,0,0,1590,415,66,0,15
20,Kansas,0,1,0,0,0,5,151,0,0,50
21,Kentucky,1097,20046,3983,0,0,13065,17787,0,0,0
22,Louisiana,89068,10004,24645,0,10343,4038,20,0,0,0
23,Maine,0,52687,0,0,0,369,18350,9646,0,0
24,Maryland,4590,4117,2493,0,0,1505,411,3,0,0
25,Massachusetts,0,9818,0,0,0,1167,1764,280,0,0
26,Michigan,8,84299,0,176,0,10046,85405,38701,0,0
27,Minnesota,89068,21100,0,0,0,886,17864,104400,0,0
28,Mississippi,158308,14466,49996,0,12898,11984,39,0,0,0
29,Missouri,4590,1316,392,0,0,39588,4498,0,0,0
30,Montana,0,0,0,79558,0,0,0,3807,90417,23831
31,Nebraska,8,0,0,0,0,0,0,0,0,2770
32,Nevada,0,0,0,178,0,0,0,2487,198,118
33,New Hampshire,158308,15163,0,0,0,452,6274,846,0,0
34,New Jersey,27,4194,1053,0,0,2443,664,22,0,0
35,New Mexico,0,0,0,14759,0,0,0,8804,0,27610
36,New York,0,43673,8,124,0,1680,32697,5067,0,0
37,North Carolina,179326,99172,74363,0,3125,28628,2435,0,0,0
38,North Dakota,0,0,0,0,0,0,0,1531,0,66
39,Ohio,332,12102,105,0,0,3486,10141,265,0,0
40,Oklahoma,10079,919,1518,0,0,3555,76,0,0,0
41,Oregon,0,0,0,177036,0,0,0,656,60705,77764
42,Pennsylvania,1,55666,52,86,0,9070,17204,2044,0,0
44,Rhode Island,0,2641,0,0,0,600,43,9,0,0
45,South Carolina,257262,48706,89363,0,11324,15155,63,0,0,0
46,South Dakota,10079,0,0,0,0,0,6,934,0,24622
47,Tennessee,20715,32947,16650,0,0,31016,15862,0,0,0
48,Texas,141841,5387,39949,4,4665,5507,5,0,0,3
49,Utah,0,0,0,9624,0,0,0,25846,11913,2957
50,Vermont,0,9688,0,0,0,77,14380,899,0,0
51,Virginia,111885,76765,40121,0,0,48484,7684,0,0,0
53,Washington,0,0,0,121434,0,0,0,802,24760,16509
54,West Virginia,372,17518,22,0,0,8529,11912,23,0,0
55,Wisconsin,141841,61461,0,2,0,9714,50922,51692,0,0
56,Wyoming,0,0,0,8611,0,0,0,7638,42974,8797
