"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","TRANSECT","SUBP","CONDID","MEASYEAR","SMALLCT","MEDIUMCT","LARGECT","RSNCTCD","PILESCD","SMALL_TL_COND","SMALL_TL_PLOT","SMALL_TL_UNADJ","MEDIUM_TL_COND","MEDIUM_TL_PLOT","MEDIUM_TL_UNADJ","LARGE_TL_COND","LARGE_TL_PLOT","LARGE_TL_UNADJ","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","FWD_STATUS_CD","FWD_NONSAMPLE_REASN_CD","FWD_SAMPLE_METHOD","SLOPE"
"76438742010538","59780449010538",2001,39,1,561,150,1,1,2001,11,0,0,0,0,3.97065505611089843095135983613537110212E01,3.97065505611089843095135983613537110212E01,3.97065505611089843095135983613537110212E01,3.97065505611089843095135983613537110212E01,3.97065505611089843095135983613537110212E01,3.97065505611089843095135983613537110212E01,4.04108292144467899722821105288048414638E01,4.04108292144467899722821105288048414638E01,4.04108292144467899722821105288048414638E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438741010538","59780449010538",2001,39,1,561,150,2,1,2001,25,0,0,0,0,3.97065505611089843095135983613537110212E01,3.97065505611089843095135983613537110212E01,3.97065505611089843095135983613537110212E01,3.97065505611089843095135983613537110212E01,3.97065505611089843095135983613537110212E01,3.97065505611089843095135983613537110212E01,4.04108292144467899722821105288048414638E01,4.04108292144467899722821105288048414638E01,4.04108292144467899722821105288048414638E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438740010538","59780449010538",2001,39,1,561,150,3,1,2001,11,2,0,0,0,3.97065505611089843095135983613537110212E01,3.97065505611089843095135983613537110212E01,3.97065505611089843095135983613537110212E01,3.97065505611089843095135983613537110212E01,3.97065505611089843095135983613537110212E01,3.97065505611089843095135983613537110212E01,4.04108292144467899722821105288048414638E01,4.04108292144467899722821105288048414638E01,4.04108292144467899722821105288048414638E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438739010538","59780449010538",2001,39,1,561,150,4,1,2001,18,3,0,0,0,3.97065505611089843095135983613537110212E01,3.97065505611089843095135983613537110212E01,3.97065505611089843095135983613537110212E01,3.97065505611089843095135983613537110212E01,3.97065505611089843095135983613537110212E01,3.97065505611089843095135983613537110212E01,4.04108292144467899722821105288048414638E01,4.04108292144467899722821105288048414638E01,4.04108292144467899722821105288048414638E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438918010538","59781089010538",2001,39,7,120,150,1,1,2001,10,4,2,0,0,40,40,40,40,40,40,40,40,40,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438917010538","59781089010538",2001,39,7,120,150,2,1,2001,11,6,1,0,0,40,40,40,40,40,40,40,40,40,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438916010538","59781089010538",2001,39,7,120,150,3,1,2001,32,3,6,0,0,40,40,40,40,40,40,40,40,40,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438915010538","59781089010538",2001,39,7,120,150,4,1,2001,26,8,2,0,0,40,40,40,40,40,40,40,40,40,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438766010538","59782247010538",2001,39,9,598,150,1,1,2001,5,0,1,0,0,3.98058067569092015962081232865822730568E01,3.98058067569092015962081232865822730568E01,3.98058067569092015962081232865822730568E01,3.98058067569092015962081232865822730568E01,3.98058067569092015962081232865822730568E01,3.98058067569092015962081232865822730568E01,4.02718705403267577116409596276545254658E01,4.02718705403267577116409596276545254658E01,4.02718705403267577116409596276545254658E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438765010538","59782247010538",2001,39,9,598,150,2,1,2001,32,18,3,0,0,3.98058067569092015962081232865822730568E01,3.98058067569092015962081232865822730568E01,3.98058067569092015962081232865822730568E01,3.98058067569092015962081232865822730568E01,3.98058067569092015962081232865822730568E01,3.98058067569092015962081232865822730568E01,4.02718705403267577116409596276545254658E01,4.02718705403267577116409596276545254658E01,4.02718705403267577116409596276545254658E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438764010538","59782247010538",2001,39,9,598,150,3,1,2001,16,5,0,0,0,3.98058067569092015962081232865822730568E01,3.98058067569092015962081232865822730568E01,3.98058067569092015962081232865822730568E01,3.98058067569092015962081232865822730568E01,3.98058067569092015962081232865822730568E01,3.98058067569092015962081232865822730568E01,4.02718705403267577116409596276545254658E01,4.02718705403267577116409596276545254658E01,4.02718705403267577116409596276545254658E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438763010538","59782247010538",2001,39,9,598,150,4,1,2001,19,10,0,0,0,3.98058067569092015962081232865822730568E01,3.98058067569092015962081232865822730568E01,3.98058067569092015962081232865822730568E01,3.98058067569092015962081232865822730568E01,3.98058067569092015962081232865822730568E01,3.98058067569092015962081232865822730568E01,4.02718705403267577116409596276545254658E01,4.02718705403267577116409596276545254658E01,4.02718705403267577116409596276545254658E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438773010538","59784375010538",2001,39,25,401,150,1,1,2001,8,3,2,0,0,2.98893635286829752467056173883814340241E01,3.98893635286829752467056173883814340241E01,3.98893635286829752467056173883814340241E01,2.98893635286829752467056173883814340241E01,3.98893635286829752467056173883814340241E01,3.98893635286829752467056173883814340241E01,3.01548910598438136343589682560937879511E01,4.01548910598438136343589682560937879511E01,4.01548910598438136343589682560937879511E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438772010538","59784375010538",2001,39,25,401,150,2,1,2001,27,6,2,0,0,2.98893635286829752467056173883814340241E01,3.98893635286829752467056173883814340241E01,3.98893635286829752467056173883814340241E01,2.98893635286829752467056173883814340241E01,3.98893635286829752467056173883814340241E01,3.98893635286829752467056173883814340241E01,3.01548910598438136343589682560937879511E01,4.01548910598438136343589682560937879511E01,4.01548910598438136343589682560937879511E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438771010538","59784375010538",2001,39,25,401,150,4,1,2001,10,1,1,0,0,2.98893635286829752467056173883814340241E01,3.98893635286829752467056173883814340241E01,3.98893635286829752467056173883814340241E01,2.98893635286829752467056173883814340241E01,3.98893635286829752467056173883814340241E01,3.98893635286829752467056173883814340241E01,3.01548910598438136343589682560937879511E01,4.01548910598438136343589682560937879511E01,4.01548910598438136343589682560937879511E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438848010538","59784920010538",2001,39,29,606,150,1,1,2001,75,30,0,0,0,2.94801520588192694341674932614077551662E01,3.94305239609191607908202307987934741484E01,3.94305239609191607908202307987934741484E01,2.94801520588192694341674932614077551662E01,3.94305239609191607908202307987934741484E01,3.94305239609191607908202307987934741484E01,3.07277871176530163569284773003249894534E01,4.07972664547130324872490527509001474524E01,4.07972664547130324872490527509001474524E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438847010538","59784920010538",2001,39,29,606,150,2,2,2001,55,4,0,0,0,9.95037190209989135665273753738571898222E00,3.94305239609191607908202307987934741484E01,3.94305239609191607908202307987934741484E01,9.95037190209989135665273753738571898222E00,3.94305239609191607908202307987934741484E01,3.94305239609191607908202307987934741484E01,1.0069479337060016130320575450575157999E01,4.07972664547130324872490527509001474524E01,4.07972664547130324872490527509001474524E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438845010538","59784920010538",2001,39,29,606,150,3,1,2001,4,0,1,0,0,2.94801520588192694341674932614077551662E01,3.94305239609191607908202307987934741484E01,3.94305239609191607908202307987934741484E01,2.94801520588192694341674932614077551662E01,3.94305239609191607908202307987934741484E01,3.94305239609191607908202307987934741484E01,3.07277871176530163569284773003249894534E01,4.07972664547130324872490527509001474524E01,4.07972664547130324872490527509001474524E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438846010538","59784920010538",2001,39,29,606,150,4,1,2001,11,1,0,0,0,2.94801520588192694341674932614077551662E01,3.94305239609191607908202307987934741484E01,3.94305239609191607908202307987934741484E01,2.94801520588192694341674932614077551662E01,3.94305239609191607908202307987934741484E01,3.94305239609191607908202307987934741484E01,3.07277871176530163569284773003249894534E01,4.07972664547130324872490527509001474524E01,4.07972664547130324872490527509001474524E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438926010538","59785584010538",2001,39,35,575,150,1,1,2001,19,1,6,0,0,40,40,40,40,40,40,40,40,40,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438925010538","59785584010538",2001,39,35,575,150,2,1,2001,25,16,5,0,0,40,40,40,40,40,40,40,40,40,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438924010538","59785584010538",2001,39,35,575,150,3,1,2001,22,12,6,0,0,40,40,40,40,40,40,40,40,40,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
