"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","MEASDAY","MEASMON","MEASYEAR","QASTATCD","CRWTYPCD","SMPKNDCD","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CWD_SAMPLE_METHOD","FWD_SAMPLE_METHOD","MICR_SAMPLE_METHOD","DLF_SAMPLE_METHOD","PILE_SAMPLE_METHOD","DWM_SAMPLING_STATUS_CD","DWM_NBR_SUBP","DWM_NBR_SUBP_TRANSECT","DWM_SUBPLIST","DWM_TRANSECT_LENGTH","QA_STATUS"
"76450342010538","59780449010538",2001,39,1,561,23,8,2001,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","9","1","1","1","2",,,,,,1
"76450394010538","59781089010538",2001,39,7,120,14,8,2001,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","9","1","1","1","2",,,,,,1
"76450350010538","59782247010538",2001,39,9,598,18,7,2001,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","9","1","1","1","2",,,,,,1
"76450352010538","59784375010538",2001,39,25,401,22,8,2001,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","9","1","1","1","2",,,,,,1
"76450372010538","59784920010538",2001,39,29,606,27,6,2001,1,2,1,"",2007-11-19,"10661","",2019-06-14,"126144","9","1","1","1","2",,,,,,1
"76450396010538","59785584010538",2001,39,35,575,14,7,2001,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","9","1","1","1","2",,,,,,1
"76450375010538","59786192010538",2001,39,41,574,7,8,2001,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","9","1","1","1","2",,,,,,1
"76450340010538","59787135010538",2001,39,53,778,17,7,2001,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","9","1","1","1","2",,,,,,1
"76450353010538","59788852010538",2001,39,61,506,21,8,2001,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","9","1","1","1","2",,,,,,1
"76450371010538","59789167010538",2001,39,67,363,23,7,2001,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","9","1","1","1","2",,,,,,1
"76450351010538","59790455010538",2001,39,73,197,1,8,2001,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","9","1","1","1","2",,,,,,1
"76450374010538","59792161010538",2001,39,83,604,31,7,2001,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","9","1","1","1","2",,,,,,1
"76450345010538","59792877010538",2001,39,87,319,29,8,2001,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","9","1","1","1","2",,,,,,1
"76450349010538","59796133010538",2001,39,111,537,26,6,2001,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","9","1","1","1","2",,,,,,1
"76450395010538","59799485010538",2001,39,133,64,11,7,2001,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","9","1","1","1","2",,,,,,1
"76450341010538","59801189010538",2001,39,145,33,16,8,2001,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","9","1","1","1","2",,,,,,1
"76450373010538","59803170010538",2001,39,157,295,20,8,2001,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","9","1","1","1","2",,,,,,1
"76450348010538","59804300010538",2001,39,167,404,8,8,2001,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","9","1","1","1","2",,,,,,1
"76450668010538","59827371010538",2002,39,1,5656,18,7,2002,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"42786197020004","59828115010538",2002,39,5,3857,1,6,2002,1,,1,"",2012-06-06,"20004","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"76450754010538","59828166010538",2002,39,7,5352,1,8,2002,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"42784520020004","59828844010538",2002,39,7,5409,1,6,2002,1,,1,"",2012-06-06,"20004","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"76450687010538","59829816010538",2002,39,13,2644,12,8,2002,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"42784962020004","59830372010538",2002,39,15,1649,1,6,2002,1,,1,"",2012-06-06,"20004","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"76450669010538","59830348010538",2002,39,15,2715,27,8,2002,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"42785378020004","59830491010538",2002,39,17,5163,1,6,2002,1,,1,"",2012-06-06,"20004","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"42786210020004","59830798010538",2002,39,19,5607,1,6,2002,1,,1,"",2012-06-06,"20004","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"42785846020004","59831490010538",2002,39,27,4188,1,6,2002,1,,1,"",2012-06-06,"20004","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"76450725010538","59832243010538",2002,39,31,4927,21,8,2002,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"42785391020004","59832566010538",2002,39,33,2754,1,6,2002,1,,1,"",2012-06-06,"20004","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"76450756010538","59832674010538",2002,39,35,5793,22,8,2002,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"42784975020004","59832898010538",2002,39,37,1549,1,6,2002,1,,1,"",2012-06-06,"20004","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"42785859020004","59832983010538",2002,39,37,3133,1,6,2002,1,,1,"",2012-06-06,"20004","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"42785326020004","59817377010538",2002,39,47,5572,1,6,2002,1,,1,"",2012-06-06,"20004","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"42783792020004","59817524010538",2002,39,49,2669,1,6,2002,1,,1,"",2012-06-06,"20004","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"42785339020004","59817663010538",2002,39,51,3742,1,6,2002,1,,1,"",2012-06-06,"20004","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"76450722010538","59819472010538",2002,39,59,1944,14,8,2002,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"42785352020004","59819905010538",2002,39,63,4687,1,6,2002,1,,1,"",2012-06-06,"20004","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"42783454020004","59820245010538",2002,39,65,4421,1,6,2002,1,,1,"",2012-06-06,"20004","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"42785365020004","59820976010538",2002,39,69,4350,1,6,2002,1,,1,"",2012-06-06,"20004","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"76450692010538","59821617010538",2002,39,73,4384,7,8,2002,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"42784923020004","59822114010538",2002,39,75,4077,1,6,2002,1,,1,"",2012-06-06,"20004","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"76450691010538","59822682010538",2002,39,79,2106,8,8,2002,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"76450719010538","59823251010538",2002,39,81,2843,12,8,2002,1,1,1,"",2007-11-19,"10661","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"42784143020004","59823608010538",2002,39,83,2625,1,6,2002,1,,1,"",2012-06-06,"20004","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"42784507020004","59824976010538",2002,39,91,995,1,6,2002,1,,1,"",2012-06-06,"20004","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"42783805020004","59825288010538",2002,39,93,5082,1,6,2002,1,,1,"",2012-06-06,"20004","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
"42783467020004","59825575010538",2002,39,97,2280,1,6,2002,1,,1,"",2012-06-06,"20004","",2019-06-14,"126144","1","2","1","2","2",,,,,,1
