"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","VEG_FLDSPCD","UNIQUE_SP_NBR","VEG_SPCD","COVER_PCT","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE"
"469336070489998","306266465489998",2016,39,3,59,2204,1,1,"LONIC",1,"LONIC",1,"",2017-05-11,"489998","",,"",7,5
"469336071489998","306266465489998",2016,39,3,59,2204,2,2,"LONIC",1,"LONIC",2,"",2017-05-11,"489998","",,"",7,5
"469336072489998","306266465489998",2016,39,3,59,2204,3,1,"LONIC",1,"LONIC",1,"",2017-05-11,"489998","",,"",7,5
"469336073489998","306266465489998",2016,39,3,59,2204,1,1,"MIVI",1,"MIVI",3,"",2017-05-11,"489998","",,"",7,5
"469336074489998","306266465489998",2016,39,3,59,2204,2,2,"MIVI",1,"MIVI",5,"",2017-05-11,"489998","",,"",7,5
"469336075489998","306266465489998",2016,39,3,59,2204,2,2,"PHAR3",1,"PHAR3",10,"",2017-05-11,"489998","",,"",7,5
"469336076489998","306266465489998",2016,39,3,59,2204,4,2,"PHAR3",1,"PHAR3",1,"",2017-05-11,"489998","",,"",7,5
"469336077489998","306266465489998",2016,39,3,59,2204,1,1,"ROMU",1,"ROMU",3,"",2017-05-11,"489998","",,"",7,5
"469336078489998","306266465489998",2016,39,3,59,2204,2,2,"ROMU",1,"ROMU",45,"",2017-05-11,"489998","",,"",7,5
"469336079489998","306266465489998",2016,39,3,59,2204,3,1,"ROMU",1,"ROMU",3,"",2017-05-11,"489998","",,"",7,5
"469336080489998","306266465489998",2016,39,3,59,2204,4,2,"ROMU",1,"ROMU",3,"",2017-05-11,"489998","",,"",7,5
"469336262489998","306266490489998",2016,39,1,145,4764,4,1,"BETH",1,"BETH",1,"",2017-05-11,"489998","",,"",7,5
"469336263489998","306266490489998",2016,39,1,145,4764,2,1,"LOJA",1,"LOJA",2,"",2017-05-11,"489998","",,"",7,5
"469336264489998","306266490489998",2016,39,1,145,4764,3,1,"LOJA",1,"LOJA",1,"",2017-05-11,"489998","",,"",7,5
"469336265489998","306266490489998",2016,39,1,145,4764,4,1,"LOJA",1,"LOJA",2,"",2017-05-11,"489998","",,"",7,5
"469336266489998","306266490489998",2016,39,1,145,4764,4,1,"ROMU",1,"ROMU",3,"",2017-05-11,"489998","",,"",7,5
"469336584489998","306266649489998",2016,39,6,41,3878,3,2,"LOJA",1,"LOJA",2,"",2017-05-11,"489998","",,"",7,5
"469336585489998","306266649489998",2016,39,6,41,3878,3,2,"MIVI",1,"MIVI",1,"",2017-05-11,"489998","",,"",7,5
"469336586489998","306266649489998",2016,39,6,41,3878,1,2,"ROMU",1,"ROMU",1,"",2017-05-11,"489998","",,"",7,5
"469336587489998","306266649489998",2016,39,6,41,3878,3,2,"ROMU",1,"ROMU",5,"",2017-05-11,"489998","",,"",7,5
"469336774489998","306266249489998",2016,39,6,159,1072,1,1,"ALPE4",1,"ALPE4",3,"",2017-05-11,"489998","",,"",7,5
"469336775489998","306266249489998",2016,39,6,159,1072,3,1,"ALPE4",1,"ALPE4",3,"",2017-05-11,"489998","",,"",7,5
"469336776489998","306266249489998",2016,39,6,159,1072,1,1,"LONIC",1,"LONIC",3,"",2017-05-11,"489998","",,"",7,5
"469336777489998","306266249489998",2016,39,6,159,1072,3,1,"LONIC",1,"LONIC",15,"",2017-05-11,"489998","",,"",7,5
"469336778489998","306266249489998",2016,39,6,159,1072,1,1,"MIVI",1,"MIVI",30,"",2017-05-11,"489998","",,"",7,5
"469336779489998","306266249489998",2016,39,6,159,1072,3,1,"MIVI",1,"MIVI",10,"",2017-05-11,"489998","",,"",7,5
"469336780489998","306266249489998",2016,39,6,159,1072,1,1,"PHAR3",1,"PHAR3",2,"",2017-05-11,"489998","",,"",7,5
"469336781489998","306266249489998",2016,39,6,159,1072,1,1,"ROMU",1,"ROMU",15,"",2017-05-11,"489998","",,"",7,5
"469336782489998","306266249489998",2016,39,6,159,1072,3,1,"ROMU",1,"ROMU",15,"",2017-05-11,"489998","",,"",7,5
"469336946489998","306266444489998",2016,39,5,89,1536,3,2,"ROMU",1,"ROMU",2,"",2017-05-11,"489998","",,"",7,5
"469337142489998","306266071489998",2016,39,1,87,1803,3,2,"ROMU",1,"ROMU",5,"",2017-05-11,"489998","",,"",7,5
"469337333489998","306266370489998",2016,39,6,175,5443,1,2,"ALPE4",1,"ALPE4",5,"",2017-05-11,"489998","",,"",7,5
"469337334489998","306266370489998",2016,39,6,175,5443,3,2,"ALPE4",1,"ALPE4",5,"",2017-05-11,"489998","",,"",7,5
"469337335489998","306266370489998",2016,39,6,175,5443,4,2,"ALPE4",1,"ALPE4",2,"",2017-05-11,"489998","",,"",7,5
"469337336489998","306266370489998",2016,39,6,175,5443,1,2,"LYNU",1,"LYNU",5,"",2017-05-11,"489998","",,"",7,5
"469337337489998","306266370489998",2016,39,6,175,5443,3,2,"LYNU",1,"LYNU",3,"",2017-05-11,"489998","",,"",7,5
"469337338489998","306266370489998",2016,39,6,175,5443,4,2,"LYNU",1,"LYNU",15,"",2017-05-11,"489998","",,"",7,5
"469337339489998","306266370489998",2016,39,6,175,5443,1,2,"PHAR3",1,"PHAR3",2,"",2017-05-11,"489998","",,"",7,5
"469337446489998","306266387489998",2016,39,4,77,3789,2,2,"RHCA3",1,"RHCA3",15,"",2017-05-11,"489998","",,"",7,5
"469337511489998","306266437489998",2016,39,2,73,5197,3,1,"ELUM",1,"ELUM",7,"",2017-05-11,"489998","",,"",7,5
"469337512489998","306266437489998",2016,39,2,73,5197,4,1,"ELUM",1,"ELUM",5,"",2017-05-11,"489998","",,"",7,5
"469337513489998","306266437489998",2016,39,2,73,5197,1,1,"LOJA",1,"LOJA",1,"",2017-05-11,"489998","",,"",7,5
"469337514489998","306266437489998",2016,39,2,73,5197,2,1,"LOJA",1,"LOJA",1,"",2017-05-11,"489998","",,"",7,5
"469337515489998","306266437489998",2016,39,2,73,5197,3,1,"LOJA",1,"LOJA",2,"",2017-05-11,"489998","",,"",7,5
"469337516489998","306266437489998",2016,39,2,73,5197,4,1,"LOJA",1,"LOJA",1,"",2017-05-11,"489998","",,"",7,5
"469337517489998","306266437489998",2016,39,2,73,5197,1,1,"ROMU",1,"ROMU",15,"",2017-05-11,"489998","",,"",7,5
"469337518489998","306266437489998",2016,39,2,73,5197,2,1,"ROMU",1,"ROMU",20,"",2017-05-11,"489998","",,"",7,5
"469337519489998","306266437489998",2016,39,2,73,5197,3,1,"ROMU",1,"ROMU",45,"",2017-05-11,"489998","",,"",7,5
"469337520489998","306266437489998",2016,39,2,73,5197,4,1,"ROMU",1,"ROMU",40,"",2017-05-11,"489998","",,"",7,5
"469337521489998","306266437489998",2016,39,2,73,5197,3,1,"ROPS",1,"ROPS",15,"",2017-05-11,"489998","",,"",7,5
"469337522489998","306266437489998",2016,39,2,73,5197,4,1,"ROPS",1,"ROPS",10,"",2017-05-11,"489998","",,"",7,5
"469337705489998","306266461489998",2016,39,3,59,2535,2,2,"ROMU",1,"ROMU",25,"",2017-05-11,"489998","",,"",7,5
"469337704489998","306266461489998",2016,39,3,59,2535,2,2,"PHAR3",1,"PHAR3",2,"",2017-05-11,"489998","",,"",7,5
"469337702489998","306266461489998",2016,39,3,59,2535,2,2,"LOJA",1,"LOJA",1,"",2017-05-11,"489998","",,"",7,5
"469337703489998","306266461489998",2016,39,3,59,2535,2,2,"LONIC",1,"LONIC",10,"",2017-05-11,"489998","",,"",7,5
"469337752489998","306266474489998",2016,39,4,85,4436,3,2,"LYNU",1,"LYNU",1,"",2017-05-11,"489998","",,"",7,5
"469337753489998","306266474489998",2016,39,4,85,4436,3,2,"ROMU",1,"ROMU",25,"",2017-05-11,"489998","",,"",7,5
"469337861489998","306266523489998",2016,39,2,73,2992,1,1,"ALPE4",1,"ALPE4",1,"",2017-05-11,"489998","",,"",7,5
"469337862489998","306266523489998",2016,39,2,73,2992,1,1,"ELUM",1,"ELUM",1,"",2017-05-11,"489998","",,"",7,5
"469337863489998","306266523489998",2016,39,2,73,2992,1,1,"ROMU",1,"ROMU",1,"",2017-05-11,"489998","",,"",7,5
"469337946489998","306266530489998",2016,39,2,167,2121,2,1,"ALPE4",1,"ALPE4",1,"",2017-05-11,"489998","",,"",7,5
"469337947489998","306266530489998",2016,39,2,167,2121,1,1,"MIVI",1,"MIVI",1,"",2017-05-11,"489998","",,"",7,5
"469337948489998","306266530489998",2016,39,2,167,2121,2,1,"MIVI",1,"MIVI",2,"",2017-05-11,"489998","",,"",7,5
"469337949489998","306266530489998",2016,39,2,167,2121,3,1,"MIVI",1,"MIVI",2,"",2017-05-11,"489998","",,"",7,5
"469337950489998","306266530489998",2016,39,2,167,2121,1,1,"ROMU",1,"ROMU",3,"",2017-05-11,"489998","",,"",7,5
"469337951489998","306266530489998",2016,39,2,167,2121,2,1,"ROMU",1,"ROMU",1,"",2017-05-11,"489998","",,"",7,5
"469337952489998","306266530489998",2016,39,2,167,2121,3,1,"ROMU",1,"ROMU",2,"",2017-05-11,"489998","",,"",7,5
"469337953489998","306266530489998",2016,39,2,167,2121,4,1,"ROMU",1,"ROMU",8,"",2017-05-11,"489998","",,"",7,5
"469337954489998","306266530489998",2016,39,2,167,2121,1,1,"ROPS",1,"ROPS",5,"",2017-05-11,"489998","",,"",7,5
"469337955489998","306266530489998",2016,39,2,167,2121,4,1,"ROPS",1,"ROPS",3,"",2017-05-11,"489998","",,"",7,5
"469338156489998","306266531489998",2016,39,2,167,3682,2,2,"AIAL",1,"AIAL",7,"",2017-05-11,"489998","",,"",7,5
"469338157489998","306266531489998",2016,39,2,167,3682,2,2,"ALPE4",1,"ALPE4",10,"",2017-05-11,"489998","",,"",7,5
"469338158489998","306266531489998",2016,39,2,167,3682,2,2,"LOJA",1,"LOJA",10,"",2017-05-11,"489998","",,"",7,5
"469338159489998","306266531489998",2016,39,2,167,3682,2,2,"ROMU",1,"ROMU",15,"",2017-05-11,"489998","",,"",7,5
"469338263489998","306266633489998",2016,39,3,13,4479,2,2,"ALPE4",1,"ALPE4",1,"",2017-05-11,"489998","",,"",7,5
"469338264489998","306266633489998",2016,39,3,13,4479,4,2,"ALPE4",1,"ALPE4",1,"",2017-05-11,"489998","",,"",7,5
