"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","LICH_SPPCD","MEASYEAR","ABUNDANCE_CLASS","ORIGIN_FLAG","SPP_COMMENTS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"111270042010661","59780449010538",2001,39,1,561,301,2001,3,1,"","",2007-11-21,"10661","",,""
"111270044010661","59780449010538",2001,39,1,561,803,2001,3,1,"","",2007-11-21,"10661","",,""
"111270049010661","59780449010538",2001,39,1,561,2816,2001,3,1,"","",2007-11-21,"10661","",,""
"111270050010661","59780449010538",2001,39,1,561,2822,2001,3,1,"","",2007-11-21,"10661","",,""
"111270048010661","59780449010538",2001,39,1,561,3218,2001,3,1,"","",2007-11-21,"10661","",,""
"111270051010661","59780449010538",2001,39,1,561,4201,2001,3,1,"","",2007-11-21,"10661","",,""
"111270045010661","59780449010538",2001,39,1,561,5314,2001,2,1,"","",2007-11-21,"10661","",,""
"111270046010661","59780449010538",2001,39,1,561,5614,2001,3,1,"","",2007-11-21,"10661","",,""
"111270043010661","59780449010538",2001,39,1,561,5716,2001,3,1,"","",2007-11-21,"10661","",,""
"111270052010661","59780449010538",2001,39,1,561,6708,2001,3,1,"","",2007-11-21,"10661","",,""
"111270047010661","59780449010538",2001,39,1,561,6808,2001,3,1,"","",2007-11-21,"10661","",,""
"111270142010661","59781089010538",2001,39,7,120,2601,2001,3,1,"","",2007-11-21,"10661","",,""
"111270143010661","59781089010538",2001,39,7,120,5716,2001,3,1,"","",2007-11-21,"10661","",,""
"111270069010661","59782247010538",2001,39,9,598,2601,2001,3,1,"","",2007-11-21,"10661","",,""
"111270078010661","59782247010538",2001,39,9,598,2816,2001,3,1,"","",2007-11-21,"10661","",,""
"111270079010661","59782247010538",2001,39,9,598,4201,2001,3,1,"","",2007-11-21,"10661","",,""
"111270083010661","59782247010538",2001,39,9,598,4806,2001,3,1,"","",2007-11-21,"10661","",,""
"111270075010661","59782247010538",2001,39,9,598,5303,2001,3,1,"","",2007-11-21,"10661","",,""
"111270081010661","59782247010538",2001,39,9,598,5310,2001,3,1,"","",2007-11-21,"10661","",,""
"111270076010661","59782247010538",2001,39,9,598,5613,2001,3,1,"","",2007-11-21,"10661","",,""
"111270073010661","59782247010538",2001,39,9,598,5614,2001,3,1,"","",2007-11-21,"10661","",,""
"111270074010661","59782247010538",2001,39,9,598,5702,2001,3,1,"","",2007-11-21,"10661","",,""
"111270070010661","59782247010538",2001,39,9,598,5716,2001,3,1,"","",2007-11-21,"10661","",,""
"111270080010661","59782247010538",2001,39,9,598,5723,2001,3,1,"","",2007-11-21,"10661","",,""
"111270082010661","59782247010538",2001,39,9,598,6708,2001,3,1,"","",2007-11-21,"10661","",,""
"111270077010661","59782247010538",2001,39,9,598,6711,2001,3,1,"","",2007-11-21,"10661","",,""
"111270072010661","59782247010538",2001,39,9,598,8301,2001,2,1,"","",2007-11-21,"10661","",,""
"111270093010661","59784375010538",2001,39,25,401,2601,2001,3,1,"","",2007-11-21,"10661","",,""
"111270098010661","59784375010538",2001,39,25,401,4201,2001,3,1,"","",2007-11-21,"10661","",,""
"111270101010661","59784375010538",2001,39,25,401,5329,2001,2,1,"","",2007-11-21,"10661","",,""
"111270097010661","59784375010538",2001,39,25,401,5613,2001,3,1,"","",2007-11-21,"10661","",,""
"111270096010661","59784375010538",2001,39,25,401,5614,2001,3,1,"","",2007-11-21,"10661","",,""
"111270094010661","59784375010538",2001,39,25,401,5716,2001,3,1,"","",2007-11-21,"10661","",,""
"111270095010661","59784375010538",2001,39,25,401,6705,2001,3,1,"","",2007-11-21,"10661","",,""
"111270099010661","59784375010538",2001,39,25,401,6708,2001,3,1,"","",2007-11-21,"10661","",,""
"111270100010661","59784375010538",2001,39,25,401,6809,2001,3,1,"","",2007-11-21,"10661","",,""
"111270120010661","59784920010538",2001,39,29,606,1203,2001,3,1,"","",2007-11-21,"10661","",,""
"111270121010661","59784920010538",2001,39,29,606,2601,2001,3,1,"","",2007-11-21,"10661","",,""
"111270126010661","59784920010538",2001,39,29,606,4806,2001,3,1,"","",2007-11-21,"10661","",,""
"111270124010661","59784920010538",2001,39,29,606,5310,2001,3,1,"","",2007-11-21,"10661","",,""
"111270122010661","59784920010538",2001,39,29,606,5716,2001,3,1,"","",2007-11-21,"10661","",,""
"111270125010661","59784920010538",2001,39,29,606,6708,2001,3,1,"","",2007-11-21,"10661","",,""
"111270123010661","59784920010538",2001,39,29,606,6711,2001,3,1,"","",2007-11-21,"10661","",,""
"111270137010661","59786192010538",2001,39,41,574,3201,2001,2,1,"","",2007-11-21,"10661","",,""
"111270140010661","59786192010538",2001,39,41,574,4806,2001,3,1,"","",2007-11-21,"10661","",,""
"111270141010661","59786192010538",2001,39,41,574,5329,2001,2,1,"","",2007-11-21,"10661","",,""
"111270138010661","59786192010538",2001,39,41,574,5716,2001,3,1,"","",2007-11-21,"10661","",,""
