"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","MEASYEAR","SUMMATION","RICHNESS","EVENNESS","DIVERSITY","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"175531444010661","59829816010538",2002,39,13,2644,2002,9,4,0.9455,1.3108,"",2009-01-12,"10661","",,""
"175531445010661","59830348010538",2002,39,15,2715,2002,24,8,1,2.0794,"",2009-01-12,"10661","",,""
"175531446010661","59832243010538",2002,39,31,4927,2002,24,8,1,2.0794,"",2009-01-12,"10661","",,""
"175531447010661","59832674010538",2002,39,35,5793,2002,4,3,0.9464,1.0397,"",2009-01-12,"10661","",,""
"175531453010661","59833508010538",2002,39,111,3407,2002,11,4,0.9904,1.373,"",2009-01-12,"10661","",,""
"175531791010661","59835507010538",2003,39,49,1720,2003,17,6,0.9836,1.7623,"",2009-01-12,"10661","",,""
"175531792010661","59835838010538",2003,39,53,2364,2003,28,10,0.9952,2.2915,"",2009-01-12,"10661","",,""
"175531793010661","59836584010538",2003,39,55,1176,2003,2,2,1,0.6931,"",2009-01-12,"10661","",,""
"175531794010661","59836717010538",2003,39,57,2961,2003,22,8,0.9936,2.0662,"",2009-01-12,"10661","",,""
"175531795010661","59838494010538",2003,39,67,4888,2003,18,7,0.9902,1.9269,"",2009-01-12,"10661","",,""
"175531796010661","59839136010538",2003,39,71,5390,2003,25,8,0.9844,2.0471,"",2009-01-12,"10661","",,""
"175531797010661","59841598010538",2003,39,87,2049,2003,29,11,0.9928,2.3805,"",2009-01-12,"10661","",,""
"175531798010661","59842149010538",2003,39,91,4513,2003,21,7,0.9622,1.8725,"",2009-01-12,"10661","",,""
"175531799010661","59842363010538",2003,39,95,3536,2003,14,6,0.9682,1.7348,"",2009-01-12,"10661","",,""
"175531784010661","59845225010538",2003,39,5,4827,2003,17,6,0.9947,1.7823,"",2009-01-12,"10661","",,""
"175531785010661","59845818010538",2003,39,7,1392,2003,3,1,,0,"",2009-01-12,"10661","",,""
"175531786010661","59846299010538",2003,39,9,2380,2003,24,9,0.9925,2.1808,"",2009-01-12,"10661","",,""
"175531443010661","59828166010538",2002,39,7,5352,2002,2,2,1,0.6931,"",2009-01-12,"10661","",,""
"175531787010661","59846862010538",2003,39,11,2083,2003,12,5,0.9426,1.5171,"",2009-01-12,"10661","",,""
"175531788010661","59847831010538",2003,39,15,3247,2003,20,7,0.9783,1.9037,"",2009-01-12,"10661","",,""
"175531789010661","59848292010538",2003,39,19,2633,2003,18,6,0.9895,1.7729,"",2009-01-12,"10661","",,""
"175531790010661","59850077010538",2003,39,31,1154,2003,17,6,0.9947,1.7823,"",2009-01-12,"10661","",,""
