"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","MEASDAY","MEASMON","MEASYEAR","LICHEN_STATCD","LIPROJCD","SMPLSTRT","SMPLSTP","SMPLTIME","SFTWDPCT","HRDWDPCT","SHRUBPCT","GAPPCT","GAPRCNT","TALLSHRB","FTRCD1","FTRCD2","FTRCD3","FTRCD4","ISSUECD1","ISSUECD2","ISSUECD3","ISSUECD4","SZCLSCD1","SZCLSCD2","SZCLSCD3","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","QA_STATUS"
"54180904010538","59858451010538",2003,39,155,3843,27,8,2003,1,1,1100,1200,100,0,30,30,80,0,0,4,0,,,0,,,,2,2,3,"",2005-04-14,"10538","",2019-06-13,"126144",
"54179163010538","59842149010538",2003,39,91,4513,13,8,2003,1,1,1000,1145,145,0,50,40,40,0,1,2,4,5,0,0,,,,2,1,1,"",2005-04-14,"10538","",2019-06-13,"126144",
"54178831010538","59845225010538",2003,39,5,4827,10,7,2003,1,1,1100,1200,100,0,60,15,10,0,1,0,,,,1,2,0,,2,2,1,"",2005-04-14,"10538","",2019-06-13,"126144",
"54177787010538","59838494010538",2003,39,67,4888,23,6,2003,1,1,1100,1245,145,0,40,60,50,0,1,4,6,0,,0,,,,2,2,2,"",2005-04-14,"10538","",2019-06-13,"126144",
"54172662010538","59857241010538",2003,39,145,4951,22,7,2003,1,1,1500,1630,130,0,60,30,30,1,1,3,4,6,0,3,6,0,,1,2,2,"",2005-04-14,"10538","",2019-06-13,"126144",
"54175357010538","59839136010538",2003,39,71,5390,23,7,2003,1,1,1230,1400,130,10,60,15,15,0,1,3,0,,,0,,,,1,2,2,"",2005-04-14,"10538","",2019-06-13,"126144",
"54177740010538","59849784010538",2003,39,29,5665,26,6,2003,9,,,,,,,,,,,,,,,,,,,,,,"",2005-04-14,"10538","",2019-06-13,"126144",
"56708609010538","59862539010538",2004,39,113,1116,29,6,2004,1,1,1030,1200,130,0,80,45,20,0,1,19,0,,,0,,,,2,2,2,"",2005-10-31,"10538","",2019-06-13,"126144",
"56709585010538","59880373010538",2004,39,89,1536,1,7,2004,1,1,900,1030,130,0,70,15,30,0,0,4,0,,,0,,,,2,2,2,"",2005-10-31,"10538","",2019-06-13,"126144",
"56709664010538","59877582010538",2004,39,75,1717,14,7,2004,1,1,1300,1500,200,0,70,70,25,1,1,0,,,,6,0,,,2,2,3,"",2005-10-31,"10538","",2019-06-13,"126144",
"56708561010538","59875667010538",2004,39,61,2063,28,6,2004,1,1,1400,1530,130,0,75,60,20,0,1,19,0,,,0,,,,2,2,2,"",2005-10-31,"10538","",2019-06-13,"126144",
"56708319010538","59871051010538",2004,39,167,2121,12,7,2004,1,1,1535,1725,150,0,99,10,0,,,19,17,0,,2,0,,,2,2,2,"",2005-10-31,"10538","",2019-06-13,"126144",
"56709461010538","59887136010538",2004,39,29,2347,3,8,2004,1,1,900,1030,130,15,60,30,30,0,1,0,,,,7,0,,,2,2,2,"",2005-10-31,"10538","",2019-06-13,"126144",
"56709550010538","59875046010538",2004,39,59,2535,15,7,2004,1,1,1230,1400,130,0,40,20,60,0,0,0,,,,0,,,,2,2,2,"",2005-10-31,"10538","",2019-06-13,"126144",
"56709380010538","59884897010538",2004,39,13,3399,22,7,2004,2,,,,,,,,,,,,,,,,,,,,,,"",2005-10-31,"10538","",2019-06-13,"126144",
"56708506010538","59886738010538",2004,39,27,3456,23,6,2004,1,1,930,1100,130,0,80,60,15,0,1,19,0,,,0,,,,2,3,3,"",2005-10-31,"10538","",2019-06-13,"126144",
"56707301010538","59873691010538",2004,39,53,3579,8,7,2004,1,1,1000,1145,145,0,75,30,15,0,1,7,4,0,,0,,,,2,2,2,"",2005-10-31,"10538","",2019-06-13,"126144",
"56708296010538","59871176010538",2004,39,167,3682,12,7,2004,2,,,,,,,,,,,,,,,,,,,,,,"",2005-10-31,"10538","",2019-06-13,"126144",
"56711433010538","59878049010538",2004,39,77,3789,27,7,2004,9,,,,,,,,,,,,,,,,,,,,,,"",2005-10-31,"10538","",2019-06-13,"126144",
"56709632010538","59872676010538",2004,39,41,3878,30,6,2004,1,1,1000,1130,130,0,70,30,20,0,0,0,,,,0,,,,2,2,2,"",2005-10-31,"10538","",2019-06-13,"126144",
"56711459010538","59867573010538",2004,39,147,4302,26,7,2004,1,1,1400,1510,110,0,20,5,75,0,0,16,0,,,1,2,0,,2,2,2,"",2005-10-31,"10538","",2019-06-13,"126144",
"56708364010538","59885224010538",2004,39,13,4479,21,7,2004,1,1,1030,1200,130,5,80,70,20,0,1,19,0,,,3,0,,,3,3,3,"",2005-10-31,"10538","",2019-06-13,"126144",
"56711391010538","59882113010538",2004,39,103,4704,28,7,2004,1,1,1115,1245,130,0,75,10,30,0,0,19,0,,,2,0,,,3,3,3,"",2005-10-31,"10538","",2019-06-13,"126144",
"56711323010538","59868956010538",2004,39,155,4794,29,7,2004,1,1,945,1100,115,0,80,20,10,0,1,19,0,,,7,0,,,2,2,2,"",2005-10-31,"10538","",2019-06-13,"126144",
"56709710010538","59882851010538",2004,39,107,4902,5,8,2004,1,1,830,1000,130,0,20,20,80,1,0,16,0,,,0,,,,2,2,3,"",2005-10-31,"10538","",2019-06-13,"126144",
"56708459010538","59865858010538",2004,39,141,4924,22,6,2004,1,1,1015,1200,145,0,60,40,20,0,1,19,0,,,2,0,,,2,2,2,"",2005-10-31,"10538","",2019-06-13,"126144",
"56709413010538","59879090010538",2004,39,81,5147,4,8,2004,1,1,900,1030,130,0,70,25,20,0,1,4,0,,,0,,,,2,2,3,"",2005-10-31,"10538","",2019-06-13,"126144",
"56708409010538","59877102010538",2004,39,73,5262,19,7,2004,1,1,1400,1549,149,20,70,20,15,0,0,0,,,,0,,,,2,2,2,"",2005-10-31,"10538","",2019-06-13,"126144",
"56707344010538","59886638010538",2004,39,25,5374,24,6,2004,1,1,930,1100,130,0,75,40,30,0,1,19,0,,,0,,,,1,1,2,"",2005-10-31,"10538","",2019-06-13,"126144",
"62033864010538","66404522010538",2005,39,37,1088,19,7,2005,1,1,1010,1050,40,0,99,25,0,,,16,18,0,,0,,,,3,3,3,"",2006-05-03,"10538","",2019-06-13,"126144",
"62033827010538","66400768010538",2005,39,19,1299,28,6,2005,1,1,1035,1235,200,0,99,85,0,,,17,18,16,0,7,0,,,2,2,2,"",2006-05-03,"10538","",2019-06-13,"126144",
"62033581010538","66410984010538",2005,39,87,1355,22,6,2005,1,1,1020,1220,200,5,95,5,0,,,0,,,,0,,,,2,2,2,"",2006-05-03,"10538","",2019-06-13,"126144",
"62033843010538","66407916010538",2005,39,67,1501,29,6,2005,1,1,1005,1205,200,0,99,40,0,,,5,16,0,,0,,,,2,2,2,"",2006-05-03,"10538","",2019-06-13,"126144",
"62033752010538","66409182010538",2005,39,73,1771,16,6,2005,1,1,1145,1345,200,0,99,30,0,,,16,0,,,6,0,,,2,2,2,"",2006-05-03,"10538","",2019-06-13,"126144",
"62033776010538","66407100010538",2005,39,61,2287,12,7,2005,1,1,1045,1245,200,5,95,30,0,,,16,17,18,0,6,0,,,3,3,2,"",2006-05-03,"10538","",2019-06-13,"126144",
"62033590010538","66419770010538",2005,39,145,2326,23,6,2005,1,1,1145,1345,200,0,99,45,20,0,1,0,,,,6,0,,,2,2,2,"",2006-05-03,"10538","",2019-06-13,"126144",
"62033563010538","66413241010538",2005,39,105,2390,21,6,2005,1,1,1140,1340,200,0,99,35,0,,,17,15,0,,0,,,,2,2,2,"",2006-05-03,"10538","",2019-06-13,"126144",
"62033744010538","66422502010538",2005,39,163,2417,15,6,2005,1,1,1150,1350,200,0,99,15,0,,,3,0,,,0,,,,2,2,2,"",2006-05-03,"10538","",2019-06-13,"126144",
"62033785010538","66422980010538",2005,39,165,2886,13,7,2005,1,1,1120,1320,200,0,99,30,40,0,0,17,0,,,1,2,4,0,2,2,2,"",2006-05-03,"10538","",2019-06-13,"126144",
"62033858010538","66401283010538",2005,39,21,2936,18,7,2005,1,1,230,345,115,0,99,0,0,,,16,17,0,,0,,,,2,2,1,"",2006-05-03,"10538","",2019-06-13,"126144",
"62033768010538","66415946010538",2005,39,119,2977,20,6,2005,1,1,1130,1330,200,15,85,20,10,0,0,0,,,,0,,,,1,2,2,"",2006-05-03,"10538","",2019-06-13,"126144",
"62033792010538","66414281010538",2005,39,113,3539,14,7,2005,1,1,1145,1255,110,0,99,40,0,,,16,17,18,0,1,2,0,,3,3,3,"",2006-05-03,"10538","",2019-06-13,"126144",
"62034016010538","66412678010538",2005,39,99,3684,6,7,2005,1,1,1045,1245,200,1,99,35,0,,,17,18,0,,0,,,,2,2,2,"",2006-05-03,"10538","",2019-06-13,"126144",
"62033759010538","66416953010538",2005,39,129,4055,1,8,2005,1,1,220,405,145,0,99,0,0,,,16,0,,,3,0,,,2,2,2,"",2006-05-03,"10538","",2019-06-13,"126144",
"62033597010538","66400505010538",2005,39,15,4442,11,7,2005,1,1,220,420,200,5,95,0,0,,,16,0,,,3,0,,,2,2,2,"",2006-05-03,"10538","",2019-06-13,"126144",
"62033735010538","66416242010538",2005,39,121,4839,25,7,2005,2,,,,,,,,,,,,,,,,,,,,,,"",2006-05-03,"10538","",2019-06-13,"126144",
"62034029010538","66420013010538",2005,39,147,4936,27,7,2005,1,1,,,,,,,,,,16,0,,,0,,,,1,1,1,"",2006-05-03,"10538","",2019-06-13,"126144",
"62033851010538","66402727010538",2005,39,33,4995,3,8,2005,1,1,1025,1215,150,0,99,0,0,,,16,0,,,3,0,,,2,2,2,"",2006-05-03,"10538","",2019-06-13,"126144",
"62033835010538","66406855010538",2005,39,59,5447,30,6,2005,1,1,1215,1415,200,0,99,35,15,1,0,16,0,,,0,,,,2,2,2,"",2006-05-03,"10538","",2019-06-13,"126144",
"62034037010538","66407994010538",2005,39,69,5636,26,7,2005,1,1,935,1035,100,0,99,10,0,,,16,17,0,,3,0,,,3,3,3,"",2006-05-03,"10538","",2019-06-13,"126144",
"111274109010661","59801189010538",2001,39,145,33,16,8,2001,1,1,800,1000,200,0,100,10,5,0,1,0,,,,2,5,0,,2,2,2,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274085010661","59799485010538",2001,39,133,64,11,7,2001,1,1,800,930,130,0,100,0,0,,,0,,,,0,,,,3,3,3,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274072010661","59781089010538",2001,39,7,120,14,8,2001,1,1,1600,1730,130,0,100,0,0,,,0,,,,0,,,,2,2,2,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274121010661","59790455010538",2001,39,73,197,1,8,2001,1,1,1600,1800,200,0,100,10,0,,,0,,,,0,,,,2,2,2,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274116010661","59803170010538",2001,39,157,295,20,8,2001,2,,,,,,,,,,,,,,,,,,,,,,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274076010661","59792877010538",2001,39,87,319,29,8,2001,1,1,1100,1300,200,0,100,0,0,,,0,,,,0,,,,2,2,2,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274069010661","59789167010538",2001,39,67,363,24,7,2001,1,1,1130,1330,200,0,100,20,30,0,1,0,,,,0,,,,2,2,2,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274080010661","59784375010538",2001,39,25,401,22,8,2001,1,1,1100,1300,200,0,100,0,50,1,0,0,,,,0,,,,2,2,3,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274095010661","59804300010538",2001,39,167,404,8,8,2001,1,1,1600,1800,200,0,100,5,0,,,0,,,,3,,,,2,2,2,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274126010661","59788852010538",2001,39,61,506,21,8,2001,1,1,800,1000,200,0,100,0,0,,,0,,,,0,,,,2,2,2,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274092010661","59796133010538",2001,39,111,537,26,6,2001,1,1,1030,1145,115,0,100,10,20,0,1,16,19,0,,0,,,,1,1,1,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274122010661","59780449010538",2001,39,1,561,23,8,2001,1,1,1430,1630,200,0,100,0,0,,,0,,,,0,,,,2,2,2,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274068010661","59786192010538",2001,39,41,574,7,8,2001,1,1,1200,1300,100,0,100,10,70,0,1,0,,,,3,6,0,,2,2,2,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274064010661","59785584010538",2001,39,35,575,12,7,2001,2,,,,,,,,,,,,,,,,,,,,,,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274117010661","59782247010538",2001,39,9,598,17,7,2001,1,1,830,1030,200,0,100,10,30,0,0,0,,,,0,,,,3,3,3,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274081010661","59792161010538",2001,39,83,604,31,7,2001,1,1,1045,1245,200,80,20,0,0,,,19,,,,0,,,,2,2,2,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274115010661","59784920010538",2001,39,29,606,27,6,2001,1,1,1345,1745,400,10,90,25,50,0,1,0,,,,0,,,,2,2,2,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274071010661","59787135010538",2001,39,53,778,19,7,2001,1,1,1230,1430,200,5,95,0,5,0,0,0,,,,0,,,,2,2,2,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274251010661","59819472010538",2002,39,59,1944,14,8,2002,2,1,,,,,,,,,,,,,,,,,,,,,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274262010661","59807612010538",2002,39,119,1949,6,8,2002,1,1,1145,1345,200,0,100,70,0,,,0,,,,0,,,,2,2,3,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274223010661","59822682010538",2002,39,79,2106,8,8,2002,1,1,800,1000,200,0,100,10,0,,,2,,,,0,,,,2,2,2,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274236010661","59815863010538",2002,39,167,2110,11,7,2002,1,1,1300,1500,200,0,100,15,0,,,0,,,,0,,,,2,2,2,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274224010661","59809293010538",2002,39,131,2188,24,7,2002,1,1,1002,1151,149,0,100,5,0,,,0,,,,0,,,,,,,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274264010661","59811889010538",2002,39,145,2227,26,8,2002,1,1,1510,1710,200,5,95,10,0,,,0,,,,0,,,,2,2,2,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274227010661","59829816010538",2002,39,13,2644,12,8,2002,1,1,1500,1700,200,0,100,0,0,,,0,,,,0,,,,3,3,3,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274180010661","59830348010538",2002,39,15,2715,27,8,2002,1,1,1550,1650,100,0,100,0,50,0,0,16,0,,,4,0,,,1,1,1,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274174010661","59823251010538",2002,39,81,2843,12,8,2002,1,1,1205,1335,130,5,95,5,75,0,1,19,0,,,0,,,,1,1,1,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274222010661","59826469010538",2002,39,105,2981,5,8,2002,1,1,1020,1220,200,0,100,15,5,1,0,0,,,,0,,,,1,2,2,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274175010661","59833508010538",2002,39,111,3407,14,8,2002,1,1,1230,1430,200,0,100,0,10,1,0,0,,,,5,0,,,2,2,2,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274189010661","59813380010538",2002,39,153,3576,31,7,2002,2,1,,,,,,,,,,,,,,,,,,,,,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274252010661","59806958010538",2002,39,115,3640,13,8,2002,1,1,1030,1230,200,10,90,50,0,,,0,,,,0,,,,3,3,3,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274185010661","59821617010538",2002,39,73,4384,7,8,2002,1,1,915,1115,200,15,85,20,0,,,2,5,0,,0,,,,2,2,2,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274261010661","59832243010538",2002,39,31,4927,20,8,2002,1,1,1500,1700,200,0,100,40,25,1,1,18,0,,,2,6,0,,2,2,2,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274172010661","59825609010538",2002,39,99,5047,22,8,2002,1,1,1500,1700,200,0,100,10,50,0,0,4,16,0,,6,0,,,,,,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274202010661","59813781010538",2002,39,155,5061,30,7,2002,1,1,1450,1555,105,0,100,40,0,,,11,0,,,0,,,,2,2,3,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274226010661","59811100010538",2002,39,141,5316,16,7,2002,1,1,1500,1700,200,0,100,0,0,,,0,,,,0,,,,2,2,2,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274167010661","59828166010538",2002,39,7,5352,1,8,2002,1,1,1345,1515,130,10,90,10,0,,,0,,,,0,,,,2,2,3,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274194010661","59827371010538",2002,39,1,5656,18,7,2002,1,1,1000,1200,200,0,100,5,70,0,0,18,0,,,6,0,,,2,2,2,"",2007-11-21,"10661","",2019-06-13,"126144",
"111274169010661","59832674010538",2002,39,35,5793,21,8,2002,1,1,1530,1730,200,40,60,20,25,0,0,0,,,,0,,,,2,2,2,"",2007-11-21,"10661","",2019-06-13,"126144",
"54178161010538","59850077010538",2003,39,31,1154,17,7,2003,1,1,1600,1730,130,0,60,10,50,1,0,4,0,,,0,,,,2,1,1,"",2005-04-14,"10538","",2019-06-13,"126144",
"54181240010538","59836584010538",2003,39,55,1176,15,7,2003,1,1,1100,1200,100,0,60,20,15,0,1,0,,,,7,0,,,2,2,1,"",2005-04-14,"10538","",2019-06-13,"126144",
"54173999010538","59853254010538",2003,39,119,1245,18,8,2003,1,1,1300,1400,100,0,25,20,75,0,0,4,0,,,0,,,,2,2,2,"",2005-04-14,"10538","",2019-06-13,"126144",
"54181019010538","59845818010538",2003,39,7,1392,16,7,2003,1,1,845,945,100,0,50,50,50,0,1,2,4,0,,0,,,,2,1,1,"",2005-04-14,"10538","",2019-06-13,"126144",
"54176490010538","59855376010538",2003,39,135,1422,11,8,2003,1,1,1220,1445,225,0,80,60,10,0,1,0,,,,0,,,,2,1,1,"",2005-04-14,"10538","",2019-06-13,"126144",
"54175689010538","59835507010538",2003,39,49,1720,14,8,2003,1,1,1030,1130,100,10,10,15,80,0,0,4,0,,,0,,,,2,2,1,"",2005-04-14,"10538","",2019-06-13,"126144",
"54172306010538","59841598010538",2003,39,87,2049,1,7,2003,1,1,1430,1630,200,5,80,40,20,0,1,3,6,0,,0,,,,2,2,1,"",2005-04-14,"10538","",2019-06-13,"126144",
