"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","BROWSE_IMPACT","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE"
"233228373020004","247063873010661",2012,39,4,7,120,3,"",2014-01-29,"20004","",,"",7,1
"233228417020004","247063619010661",2012,39,6,41,574,,"",2014-01-29,"20004","",,"",7,1
"233229228020004","247063635010661",2012,39,4,93,358,,"",2014-01-29,"20004","",,"",7,1
"233228630020004","247063360010661",2012,39,6,3,272,,"",2014-01-29,"20004","",,"",7,1
"233228828020004","247063915010661",2012,39,3,19,71,3,"",2014-01-29,"20004","",,"",7,1
"233229011020004","247063921010661",2012,39,3,19,378,2,"",2014-01-29,"20004","",,"",7,1
"233229334020004","247063968010661",2012,39,3,67,363,3,"",2014-01-29,"20004","",,"",7,1
"233228640020004","247063973010661",2012,39,3,13,410,3,"",2014-01-29,"20004","",,"",7,1
"271062147489998","16232467020004",2013,39,1,1,3708,3,"",2014-07-22,"489998","",,"",7,2
"271062980489998","16232500020004",2013,39,1,15,2715,4,"",2014-07-22,"489998","",,"",7,2
"271067508489998","16232814020004",2013,39,3,67,5335,3,"",2014-07-22,"489998","",,"",7,2
"271065220489998","16232736020004",2013,39,3,75,4077,,"",2014-07-22,"489998","",,"",7,2
"271071040489998","16232912020004",2013,39,3,13,2644,2,"",2014-07-22,"489998","",,"",7,2
"271060932489998","16232378020004",2013,39,6,173,3801,2,"",2014-07-22,"489998","",,"",7,2
"271068623489998","16232839020004",2013,39,4,7,1794,,"",2014-07-22,"489998","",,"",7,2
"271071767489998","16232929020004",2013,39,1,87,1103,3,"",2014-07-22,"489998","",,"",7,2
"271073937489998","16233019020004",2013,39,2,127,918,3,"",2014-07-22,"489998","",,"",7,2
"271060450489998","16232322020004",2013,39,4,7,5352,,"",2014-07-22,"489998","",,"",7,2
"271067841489998","16232820020004",2013,39,3,59,3918,3,"",2014-07-22,"489998","",,"",7,2
"271068504489998","16232836020004",2013,39,2,115,4845,3,"",2014-07-22,"489998","",,"",7,2
"271072242489998","16232949020004",2013,39,2,167,2329,3,"",2014-07-22,"489998","",,"",7,2
"381538048489998","251630535489998",2015,39,6,65,3196,2,"",2016-03-25,"489998","",,"",7,4
"381538133489998","251630538489998",2015,39,3,81,5147,,"",2016-03-25,"489998","",,"",7,4
"381539559489998","251630598489998",2015,39,3,31,1999,3,"",2016-03-25,"489998","",,"",7,4
"381534389489998","171867977020004",2015,39,1,145,4951,3,"",2016-03-25,"489998","",,"",7,4
"381531577489998","171867627020004",2015,39,6,69,3290,,"",2016-03-25,"489998","",,"",7,4
"381536805489998","251630380489998",2015,39,3,13,3399,,"",2016-03-25,"489998","",,"",7,4
"381531283489998","171867545020004",2015,39,1,15,4116,,"",2016-03-25,"489998","",,"",7,4
"381531893489998","171867740020004",2015,39,1,71,5390,3,"",2016-03-25,"489998","",,"",7,4
"381532223489998","171867797020004",2015,39,3,31,1154,3,"",2016-03-25,"489998","",,"",7,4
"381532346489998","171867801020004",2015,39,3,31,3618,,"",2016-03-25,"489998","",,"",7,4
"381537618489998","251630477489998",2015,39,5,61,2063,3,"",2016-03-25,"489998","",,"",7,4
"381540992489998","251630633489998",2015,39,2,73,1847,3,"",2016-03-25,"489998","",,"",7,4
"469320098489998","306266366489998",2016,39,1,25,3830,4,"",2017-05-11,"489998","",,"",7,5
"469320287489998","306266376489998",2016,39,3,81,4577,,"",2017-05-11,"489998","",,"",7,5
"469322620489998","306266465489998",2016,39,3,59,2204,3,"",2017-05-11,"489998","",,"",7,5
"469323202489998","306266490489998",2016,39,1,145,4764,4,"",2017-05-11,"489998","",,"",7,5
"469328173489998","306266649489998",2016,39,6,41,3878,3,"",2017-05-11,"489998","",,"",7,5
"469318768489998","306266249489998",2016,39,6,159,1072,3,"",2017-05-11,"489998","",,"",7,5
"469322150489998","306266444489998",2016,39,5,89,1536,3,"",2017-05-11,"489998","",,"",7,5
"469316257489998","306266071489998",2016,39,1,87,1803,3,"",2017-05-11,"489998","",,"",7,5
"469320216489998","306266370489998",2016,39,6,175,5443,3,"",2017-05-11,"489998","",,"",7,5
"469320617489998","306266387489998",2016,39,4,77,3789,3,"",2017-05-11,"489998","",,"",7,5
"469321899489998","306266437489998",2016,39,2,73,5197,3,"",2017-05-11,"489998","",,"",7,5
"469321970489998","306266438489998",2016,39,2,9,5426,,"",2017-05-11,"489998","",,"",7,5
"469322464489998","306266461489998",2016,39,3,59,2535,3,"",2017-05-11,"489998","",,"",7,5
"469322746489998","306266474489998",2016,39,4,85,4436,3,"",2017-05-11,"489998","",,"",7,5
"469324041489998","306266523489998",2016,39,2,73,2992,4,"",2017-05-11,"489998","",,"",7,5
"469324436489998","306266530489998",2016,39,2,167,2121,3,"",2017-05-11,"489998","",,"",7,5
"469324526489998","306266531489998",2016,39,2,167,3682,3,"",2017-05-11,"489998","",,"",7,5
"469326610489998","306266592489998",2016,39,4,99,3684,,"",2017-05-11,"489998","",,"",7,5
"469327600489998","306266633489998",2016,39,3,13,4479,3,"",2017-05-11,"489998","",,"",7,5
"469318101489998","306266188489998",2016,39,5,27,3456,4,"",2017-05-11,"489998","",,"",7,5
"469318672489998","306266244489998",2016,39,6,147,4302,3,"",2017-05-11,"489998","",,"",7,5
"469319445489998","306266313489998",2016,39,4,43,2348,3,"",2017-05-11,"489998","",,"",7,5
"469319987489998","306266365489998",2016,39,5,61,2287,4,"",2017-05-11,"489998","",,"",7,5
"469321100489998","306266415489998",2016,39,2,105,2390,3,"",2017-05-11,"489998","",,"",7,5
"469316984489998","306266116489998",2016,39,1,141,4924,3,"",2017-05-11,"489998","",,"",7,5
"469327378489998","306266626489998",2016,39,3,157,5760,,"",2017-05-11,"489998","",,"",7,5
"469322909489998","306266479489998",2016,39,4,169,5407,,"",2017-05-11,"489998","",,"",7,5
"469326127489998","306266580489998",2016,39,1,53,3579,3,"",2017-05-11,"489998","",,"",7,5
"469324141489998","306266525489998",2016,39,3,111,5542,3,"",2017-05-11,"489998","",,"",7,5
"469324816489998","306266536489998",2016,39,1,79,5661,4,"",2017-05-11,"489998","",,"",7,5
"469325755489998","306266564489998",2016,39,4,103,5429,3,"",2017-05-11,"489998","",,"",7,5
"469325244489998","306266546489998",2016,39,4,151,3807,3,"",2017-05-11,"489998","",,"",7,5
"469315629489998","306266033489998",2016,39,3,31,2504,3,"",2017-05-11,"489998","",,"",7,5
"469317922489998","306266171489998",2016,39,5,113,1116,3,"",2017-05-11,"489998","",,"",7,5
"469319161489998","306266282489998",2016,39,6,107,4902,3,"",2017-05-11,"489998","",,"",7,5
"469323066489998","306266486489998",2016,39,3,75,1717,3,"",2017-05-11,"489998","",,"",7,5
"469325595489998","306266557489998",2016,39,1,79,4747,4,"",2017-05-11,"489998","",,"",7,5
"469326555489998","306266590489998",2016,39,4,155,4794,3,"",2017-05-11,"489998","",,"",7,5
"271073250489998","16232992020004",2013,39,4,133,4407,3,"",2014-07-22,"489998","",,"",7,2
"271074404489998","16233029020004",2013,39,2,105,2981,3,"",2014-07-22,"489998","",,"",7,2
"271074561489998","16233032020004",2013,39,4,155,5061,3,"",2014-07-22,"489998","",,"",7,2
"530824334126144","375549984489998",2017,39,3,111,2493,,"",2018-04-17,"126144","",,"",7,6
"530824832126144","375550002489998",2017,39,2,73,1771,3,"",2018-04-17,"126144","",,"",7,6
"530821261126144","375549448489998",2017,39,3,111,3556,3,"",2018-04-17,"126144","",,"",7,6
"530823863126144","375549515489998",2017,39,5,113,5833,3,"",2018-04-17,"126144","",,"",7,6
"530816067126144","375549760489998",2017,39,1,141,3423,3,"",2018-04-17,"126144","",,"",7,6
"271075580489998","16233051020004",2013,39,1,79,2106,3,"",2014-07-22,"489998","",,"",7,2
"271061671489998","16232407020004",2013,39,1,1,5656,3,"",2014-07-22,"489998","",,"",7,2
"271065380489998","16232740020004",2013,39,3,31,4927,3,"",2014-07-22,"489998","",,"",7,2
"271065870489998","16232760020004",2013,39,1,141,5316,3,"",2014-07-22,"489998","",,"",7,2
"271066590489998","16232787020004",2013,39,2,115,1915,3,"",2014-07-22,"489998","",,"",7,2
"271065154489998","16232725020004",2013,39,5,49,2542,3,"",2014-07-22,"489998","",,"",7,2
"271068326489998","16232831020004",2013,39,3,59,2641,3,"",2014-07-22,"489998","",,"",7,2
"271069423489998","16232862020004",2013,39,1,145,2227,3,"",2014-07-22,"489998","",,"",7,2
"271072067489998","16232943020004",2013,39,3,157,1208,3,"",2014-07-22,"489998","",,"",7,2
"271076622489998","16233083020004",2013,39,2,167,2110,3,"",2014-07-22,"489998","",,"",7,2
"271059342489998","16232263020004",2013,39,2,115,3640,,"",2014-07-22,"489998","",,"",7,2
"271062600489998","16232474020004",2013,39,5,17,2698,4,"",2014-07-22,"489998","",,"",7,2
"271063690489998","16232586020004",2013,39,6,51,5838,2,"",2014-07-22,"489998","",,"",7,2
"271061761489998","16232416020004",2013,39,4,139,3570,2,"",2014-07-22,"489998","",,"",7,2
"271067377489998","16232812020004",2013,39,3,59,4848,3,"",2014-07-22,"489998","",,"",7,2
"271070089489998","16232880020004",2013,39,3,59,1944,3,"",2014-07-22,"489998","",,"",7,2
"271070890489998","16232906020004",2013,39,2,105,3458,3,"",2014-07-22,"489998","",,"",7,2
"271071348489998","16232918020004",2013,39,3,111,3407,3,"",2014-07-22,"489998","",,"",7,2
