"CN","EVAL_CN","RSCD","EVALID","ESTN_UNIT","ESTN_UNIT_DESCR","STATECD","AREALAND_EU","AREATOT_EU","AREA_USED","AREA_SOURCE","P1PNTCNT_EU","P1SOURCE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"107116442010661","107113894010661",24,399103,175,"175",39,263962,0,263962,"US CENSUS 1990",1320,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116443010661","107113894010661",24,399103,998,"998",39,63725,0,63725,"US CENSUS 1990",318,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116444010661","107113895010661",24,399104,1,"1",39,369668,0,369668,"US CENSUS 1990",1849,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116445010661","107113895010661",24,399104,3,"3",39,623401,0,623401,"US CENSUS 1990",3117,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116446010661","107113895010661",24,399104,5,"5",39,299250,0,299250,"US CENSUS 1990",1494,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116447010661","107113895010661",24,399104,7,"7",39,445356,0,445356,"US CENSUS 1990",2227,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116448010661","107113895010661",24,399104,9,"9",39,311471,0,311471,"US CENSUS 1990",1556,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116449010661","107113895010661",24,399104,11,"11",39,274766,0,274766,"US CENSUS 1990",1374,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116450010661","107113895010661",24,399104,13,"13",39,343333,0,343333,"US CENSUS 1990",1716,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116451010661","107113895010661",24,399104,15,"15",39,314660,0,314660,"US CENSUS 1990",1573,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116452010661","107113895010661",24,399104,17,"17",39,294609,0,294609,"US CENSUS 1990",1473,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116453010661","107113895010661",24,399104,19,"19",39,252532,0,252532,"US CENSUS 1990",1263,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116454010661","107113895010661",24,399104,21,"21",39,267094,0,267094,"US CENSUS 1990",1336,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116455010661","107113895010661",24,399104,23,"23",39,177545,0,177545,"US CENSUS 1990",888,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116456010661","107113895010661",24,399104,25,"25",39,285507,0,285507,"US CENSUS 1990",1427,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116457010661","107113895010661",24,399104,27,"27",39,234499,0,234499,"US CENSUS 1990",1173,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116458010661","107113895010661",24,399104,29,"29",39,338770,0,338770,"US CENSUS 1990",1693,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116459010661","107113895010661",24,399104,31,"31",39,360916,0,360916,"US CENSUS 1990",1805,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116460010661","107113895010661",24,399104,33,"33",39,250422,0,250422,"US CENSUS 1990",1252,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116461010661","107113895010661",24,399104,35,"35",39,292615,0,292615,"US CENSUS 1990",1463,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116462010661","107113895010661",24,399104,37,"37",39,286984,0,286984,"US CENSUS 1990",1435,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116463010661","107113895010661",24,399104,39,"39",39,253324,0,253324,"US CENSUS 1990",1267,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116464010661","107113895010661",24,399104,41,"41",39,268308,0,268308,"US CENSUS 1990",1342,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116465010661","107113895010661",24,399104,43,"43",39,139472,0,139472,"US CENSUS 1990",697,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116466010661","107113895010661",24,399104,45,"45",39,318040,0,318040,"US CENSUS 1990",1590,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116467010661","107113895010661",24,399104,47,"47",39,270712,0,270712,"US CENSUS 1990",1354,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116468010661","107113895010661",24,399104,49,"49",39,365584,0,365584,"US CENSUS 1990",1828,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116469010661","107113895010661",24,399104,51,"51",39,263814,0,263814,"US CENSUS 1990",1320,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116470010661","107113895010661",24,399104,53,"53",39,287629,0,287629,"US CENSUS 1990",1439,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116471010661","107113895010661",24,399104,55,"55",39,287885,0,287885,"US CENSUS 1990",1441,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116472010661","107113895010661",24,399104,57,"57",39,267350,0,267350,"US CENSUS 1990",1336,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116473010661","107113895010661",24,399104,59,"59",39,329110,0,329110,"US CENSUS 1990",1646,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116474010661","107113895010661",24,399104,61,"61",39,302449,0,302449,"US CENSUS 1990",1513,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116475010661","107113895010661",24,399104,63,"63",39,338424,0,338424,"US CENSUS 1990",1693,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116476010661","107113895010661",24,399104,65,"65",39,305706,0,305706,"US CENSUS 1990",1529,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116477010661","107113895010661",24,399104,67,"67",39,258291,0,258291,"US CENSUS 1990",1292,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116478010661","107113895010661",24,399104,69,"69",39,270987,0,270987,"US CENSUS 1990",1355,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116479010661","107113895010661",24,399104,71,"71",39,351865,0,351865,"US CENSUS 1990",1760,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116480010661","107113895010661",24,399104,73,"73",39,261120,0,261120,"US CENSUS 1990",1305,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116481010661","107113895010661",24,399104,75,"75",39,270729,0,270729,"US CENSUS 1990",1354,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116482010661","107113895010661",24,399104,77,"77",39,338162,0,338162,"US CENSUS 1990",1691,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116483010661","107113895010661",24,399104,79,"79",39,266822,0,266822,"US CENSUS 1990",1333,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116484010661","107113895010661",24,399104,81,"81",39,261362,0,261362,"US CENSUS 1990",1305,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116485010661","107113895010661",24,399104,83,"83",39,337364,0,337364,"US CENSUS 1990",1687,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116486010661","107113895010661",24,399104,85,"85",39,107133,0,107133,"US CENSUS 1990",536,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116487010661","107113895010661",24,399104,87,"87",39,242387,0,242387,"US CENSUS 1990",1211,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116488010661","107113895010661",24,399104,89,"89",39,432560,0,432560,"US CENSUS 1990",2163,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116489010661","107113895010661",24,399104,91,"91",39,288748,0,288748,"US CENSUS 1990",1444,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116490010661","107113895010661",24,399104,93,"93",39,285137,0,285137,"US CENSUS 1990",1426,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116491010661","107113895010661",24,399104,95,"95",39,199269,0,199269,"US CENSUS 1990",997,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116492010661","107113895010661",24,399104,97,"97",39,275736,0,275736,"US CENSUS 1990",1379,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116493010661","107113895010661",24,399104,99,"99",39,264026,0,264026,"US CENSUS 1990",1320,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116494010661","107113895010661",24,399104,101,"101",39,239390,0,239390,"US CENSUS 1990",1197,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116495010661","107113895010661",24,399104,103,"103",39,305348,0,305348,"US CENSUS 1990",1527,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116496010661","107113895010661",24,399104,105,"105",39,274256,0,274256,"US CENSUS 1990",1371,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116497010661","107113895010661",24,399104,107,"107",39,324636,0,324636,"US CENSUS 1990",1623,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116498010661","107113895010661",24,399104,109,"109",39,413017,0,413017,"US CENSUS 1990",2065,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116499010661","107113895010661",24,399104,111,"111",39,293014,0,293014,"US CENSUS 1990",1464,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116500010661","107113895010661",24,399104,113,"113",39,271278,0,271278,"US CENSUS 1990",1357,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116501010661","107113895010661",24,399104,115,"115",39,290783,0,290783,"US CENSUS 1990",1455,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116502010661","107113895010661",24,399104,117,"117",39,239674,0,239674,"US CENSUS 1990",1199,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116503010661","107113895010661",24,399104,119,"119",39,421248,0,421248,"US CENSUS 1990",2106,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116504010661","107113895010661",24,399104,121,"121",39,255030,0,255030,"US CENSUS 1990",1275,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116505010661","107113895010661",24,399104,123,"123",39,144850,0,144850,"US CENSUS 1990",724,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116506010661","107113895010661",24,399104,125,"125",39,266967,0,266967,"US CENSUS 1990",1335,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116507010661","107113895010661",24,399104,127,"127",39,220703,0,220703,"US CENSUS 1990",1103,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116508010661","107113895010661",24,399104,129,"129",39,301530,0,301530,"US CENSUS 1990",1508,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116342010661","107113892010661",24,399101,2,"2",39,3307525,0,3307525,"US CENSUS 1990",16537,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116343010661","107113892010661",24,399101,3,"3",39,2071121,0,2071121,"US CENSUS 1990",10356,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116344010661","107113892010661",24,399101,4,"4",39,3418354,0,3418354,"US CENSUS 1990",17090,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116345010661","107113892010661",24,399101,5,"5",39,5105208,0,5105208,"US CENSUS 1990",25525,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116346010661","107113892010661",24,399101,6,"6",39,4800144,0,4800144,"US CENSUS 1990",23996,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116347010661","107113892010661",24,399101,7,"7",39,7507436,0,7507436,"US CENSUS 1990",37537,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116348010661","107113892010661",24,399101,999,"999",39,2479979,0,2479979,"US CENSUS 1990",12400,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116349010661","107113893010661",24,399102,2,"2",39,3307525,0,3307525,"US CENSUS 1990",16537,"","",2007-09-21,"10661","",2012-01-03,"20004"
