"CN","ESTN_UNIT_CN","RSCD","EVALID","ESTN_UNIT","STRATUMCD","STRATUM_DESCR","STATECD","P1POINTCNT","P2POINTCNT","EXPNS","ADJ_FACTOR_MACR","ADJ_FACTOR_SUBP","ADJ_FACTOR_MICR","ADJ_FACTOR_CWD","ADJ_FACTOR_FWD_SM","ADJ_FACTOR_FWD_LG","ADJ_FACTOR_DUFF","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","ADJ_FACTOR_PILE","ADJ_FACTOR_REGEN_MICR","ADJ_FACTOR_INV_SUBP","ADJ_FACTOR_P2VEG_SUBP","ADJ_FACTOR_GRNDLYR_QUAD"
"524399101067","107116345010661",24,399101,5,67,"DUMMY ONE PER EXP",39,197,6,6564,0,1,1,,,,,"",2007-09-21,"10661","",2007-09-21,"10661",,,,,
"524399101068","107116345010661",24,399101,5,68,"DUMMY ONE PER EXP",39,101,3,6710.6667,0,1,1,,,,,"",2007-09-21,"10661","",2007-09-21,"10661",,,,,
"524399101069","107116345010661",24,399101,5,69,"DUMMY ONE PER EXP",39,170,5,6798,0,1,1,,,,,"",2007-09-21,"10661","",2007-09-21,"10661",,,,,
"524399101070","107116345010661",24,399101,5,70,"DUMMY ONE PER EXP",39,138,4,6888,0,1,1,,,,,"",2007-09-21,"10661","",2007-09-21,"10661",,,,,
"524399101071","107116345010661",24,399101,5,71,"DUMMY ONE PER EXP",39,591,17,6958,0,1,1,,,,,"",2007-09-21,"10661","",2007-09-21,"10661",,,,,
"524399101072","107116345010661",24,399101,5,72,"DUMMY ONE PER EXP",39,603,17,7088.5294,0,1,1,,,,,"",2007-09-21,"10661","",2007-09-21,"10661",,,,,
"524399101076","107116345010661",24,399101,5,76,"DUMMY ONE PER EXP",39,187,5,7494.2,0,1,1,,,,,"",2007-09-21,"10661","",2007-09-21,"10661",,,,,
"524399101079","107116345010661",24,399101,5,79,"DUMMY ONE PER EXP",39,705,18,7829.6111,0,1,1,,,,,"",2007-09-21,"10661","",2007-09-21,"10661",,,,,
"524399101082","107116345010661",24,399101,5,82,"DUMMY ONE PER EXP",39,203,5,8122,0,1,1,,,,,"",2007-09-21,"10661","",2007-09-21,"10661",,,,,
"524399101083","107116345010661",24,399101,5,83,"DUMMY ONE PER EXP",39,122,3,8156.6667,0,1,1,,,,,"",2007-09-21,"10661","",2007-09-21,"10661",,,,,
"524399101085","107116345010661",24,399101,5,85,"DUMMY ONE PER EXP",39,211,5,8436,0,1,1,,,,,"",2007-09-21,"10661","",2007-09-21,"10661",,,,,
"524399101086","107116345010661",24,399101,5,86,"DUMMY ONE PER EXP",39,170,4,8488,0,1,1,,,,,"",2007-09-21,"10661","",2007-09-21,"10661",,,,,
"524399101088","107116345010661",24,399101,5,88,"DUMMY ONE PER EXP",39,479,11,8718.0909,0,1,1,,,,,"",2007-09-21,"10661","",2007-09-21,"10661",,,,,
"524399101091","107116345010661",24,399101,5,91,"DUMMY ONE PER EXP",39,90,2,9026,0,1,1,,,,,"",2007-09-21,"10661","",2007-09-21,"10661",,,,,
"524399101093","107116345010661",24,399101,5,93,"DUMMY ONE PER EXP",39,368,8,9195,0,1,1,,,,,"",2007-09-21,"10661","",2007-09-21,"10661",,,,,
