"CN","PLT_CN","CND_CN","SCD_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","SEEDLING_SOURCE_CD","LENGTH_CLASS_CD","SEEDLINGCOUNT","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE","TPA_UNADJ"
"233254111020004","247063599010661","211868160020004","211888174020004",2012,39,1,1,561,1,1,316,32,"1",1,25,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,1874.132061
"233254112020004","247063599010661","211868160020004","211888174020004",2012,39,1,1,561,1,1,316,32,"1",2,1,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,74.965282
"233254129020004","247063599010661","211868160020004","211888174020004",2012,39,1,1,561,1,1,318,31,"1",1,6,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,449.791695
"233254134020004","247063599010661","211868160020004","211888174020004",2012,39,1,1,561,1,1,318,31,"1",6,1,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,74.965282
"233254148020004","247063599010661","211868160020004","211888174020004",2012,39,1,1,561,1,1,402,29,"1",2,1,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,74.965282
"233254165020004","247063599010661","211868160020004","211888174020004",2012,39,1,1,561,1,1,407,29,"1",1,2,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,149.930565
"233254166020004","247063599010661","211868160020004","211888174020004",2012,39,1,1,561,1,1,407,29,"1",2,1,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,74.965282
"233254184020004","247063599010661","211868160020004","211888174020004",2012,39,1,1,561,1,1,541,36,"1",2,2,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,149.930565
"233254202020004","247063599010661","211868160020004","211888174020004",2012,39,1,1,561,1,1,701,43,"1",2,1,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,74.965282
"233254219020004","247063599010661","211868160020004","211888174020004",2012,39,1,1,561,1,1,931,41,"1",1,1,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,74.965282
"233254237020004","247063599010661","211868160020004","211888175020004",2012,39,1,1,561,2,1,316,32,"1",1,7,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,524.756977
"233254255020004","247063599010661","211868160020004","211888175020004",2012,39,1,1,561,2,1,318,31,"1",1,12,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,899.583389
"233254256020004","247063599010661","211868160020004","211888175020004",2012,39,1,1,561,2,1,318,31,"1",2,22,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,1649.236214
"233254259020004","247063599010661","211868160020004","211888175020004",2012,39,1,1,561,2,1,318,31,"1",5,1,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,74.965282
"233254274020004","247063599010661","211868160020004","211888175020004",2012,39,1,1,561,2,1,541,36,"1",2,3,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,224.895847
"233254292020004","247063599010661","211868160020004","211888175020004",2012,39,1,1,561,2,1,681,42,"1",2,1,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,74.965282
"233254310020004","247063599010661","211868160020004","211888175020004",2012,39,1,1,561,2,1,762,41,"1",2,1,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,74.965282
"233254328020004","247063599010661","211868160020004","211888175020004",2012,39,1,1,561,2,1,802,25,"1",2,1,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,74.965282
"233254329020004","247063599010661","211868160020004","211888175020004",2012,39,1,1,561,2,1,802,25,"1",3,1,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,74.965282
"233254346020004","247063599010661","211868160020004","211888175020004",2012,39,1,1,561,2,1,833,26,"1",2,1,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,74.965282
"233254363020004","247063599010661","211868160020004","211888175020004",2012,39,1,1,561,2,1,975,41,"1",1,2,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,149.930565
"233254364020004","247063599010661","211868160020004","211888175020004",2012,39,1,1,561,2,1,975,41,"1",2,1,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,74.965282
"233254365020004","247063599010661","211868160020004","211888175020004",2012,39,1,1,561,2,1,975,41,"1",3,2,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,149.930565
"233254381020004","247063599010661","211868160020004","211888176020004",2012,39,1,1,561,3,1,316,32,"1",1,70,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,5247.569772
"233254399020004","247063599010661","211868160020004","211888176020004",2012,39,1,1,561,3,1,318,31,"1",1,4,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,299.86113
"233254418020004","247063599010661","211868160020004","211888176020004",2012,39,1,1,561,3,1,407,29,"1",2,2,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,149.930565
"233254435020004","247063599010661","211868160020004","211888176020004",2012,39,1,1,561,3,1,541,36,"1",1,2,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,149.930565
"233254436020004","247063599010661","211868160020004","211888176020004",2012,39,1,1,561,3,1,541,36,"1",2,1,"",2014-01-29,"20004","",2019-06-13,"126144",7,1,74.965282
