"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","SUBP","MEASYEAR","SOILSPCT","COMPCPCT","TYPRTDCD","TYPCMPCD","TYPAREACD","TYPOTHRCD","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"76466623010538","59780449010538",2001,39,1,561,1,2001,1,0,,,,,"",2007-11-29,"10661","",,""
"76466624010538","59780449010538",2001,39,1,561,2,2001,10,1,0,1,0,0,"",2007-11-29,"10661","",,""
"76466625010538","59780449010538",2001,39,1,561,3,2001,1,15,0,1,0,0,"",2007-11-29,"10661","",,""
"76466626010538","59780449010538",2001,39,1,561,4,2001,1,5,1,0,0,0,"",2007-11-29,"10661","",,""
"76466627010538","59781089010538",2001,39,7,120,1,2001,1,5,0,1,0,0,"",2007-11-29,"10661","",,""
"76466628010538","59781089010538",2001,39,7,120,2,2001,5,0,,,,,"",2007-11-29,"10661","",,""
"76466629010538","59781089010538",2001,39,7,120,3,2001,1,5,1,1,0,0,"",2007-11-29,"10661","",,""
"76466630010538","59781089010538",2001,39,7,120,4,2001,1,0,,,,,"",2007-11-29,"10661","",,""
"76466635010538","59782247010538",2001,39,9,598,1,2001,1,0,,,,,"",2007-11-29,"10661","",,""
"76466636010538","59782247010538",2001,39,9,598,2,2001,5,0,,,,,"",2007-11-29,"10661","",,""
"76466637010538","59782247010538",2001,39,9,598,3,2001,1,5,0,1,0,0,"",2007-11-29,"10661","",,""
"76466638010538","59782247010538",2001,39,9,598,4,2001,1,0,,,,,"",2007-11-29,"10661","",,""
"76466645010538","59784375010538",2001,39,25,401,1,2001,15,0,,,,,"",2007-11-29,"10661","",,""
"76466646010538","59784375010538",2001,39,25,401,2,2001,15,0,,,,,"",2007-11-29,"10661","",,""
"76466647010538","59784375010538",2001,39,25,401,4,2001,15,10,0,1,0,0,"",2007-11-29,"10661","",,""
"76466648010538","59784920010538",2001,39,29,606,1,2001,5,0,,,,,"",2007-11-29,"10661","",,""
"76466649010538","59784920010538",2001,39,29,606,2,2001,0,0,,,,,"",2007-11-29,"10661","",,""
"76466650010538","59784920010538",2001,39,29,606,3,2001,5,0,,,,,"",2007-11-29,"10661","",,""
"76466651010538","59784920010538",2001,39,29,606,4,2001,0,10,0,1,0,0,"",2007-11-29,"10661","",,""
"76466656010538","59785584010538",2001,39,35,575,1,2001,1,0,,,,,"",2007-11-29,"10661","",,""
"76466657010538","59785584010538",2001,39,35,575,2,2001,5,0,,,,,"",2007-11-29,"10661","",,""
"76466658010538","59785584010538",2001,39,35,575,3,2001,5,0,,,,,"",2007-11-29,"10661","",,""
"76466659010538","59785584010538",2001,39,35,575,4,2001,1,10,0,1,0,0,"",2007-11-29,"10661","",,""
"76466662010538","59786192010538",2001,39,41,574,1,2001,1,0,,,,,"",2007-11-29,"10661","",,""
"76466663010538","59786192010538",2001,39,41,574,2,2001,5,45,0,1,0,0,"",2007-11-29,"10661","",,""
