"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","MEASDAY","MEASMON","MEASYEAR","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","QA_STATUS"
"76468303010538","59780449010538",2001,39,1,561,23,8,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468304010538","59781089010538",2001,39,7,120,14,8,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468306010538","59782247010538",2001,39,9,598,17,7,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468309010538","59784375010538",2001,39,25,401,22,8,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468310010538","59784920010538",2001,39,29,606,27,6,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468312010538","59785584010538",2001,39,35,575,12,7,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468314010538","59786192010538",2001,39,41,574,7,8,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468315010538","59787135010538",2001,39,53,778,19,7,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468317010538","59788852010538",2001,39,61,506,21,8,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468318010538","59789167010538",2001,39,67,363,24,7,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468320010538","59790455010538",2001,39,73,197,1,8,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468323010538","59792161010538",2001,39,83,604,31,7,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468324010538","59792877010538",2001,39,87,319,29,8,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468328010538","59796133010538",2001,39,111,537,26,6,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468332010538","59799485010538",2001,39,133,64,11,7,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468335010538","59801189010538",2001,39,145,33,16,8,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468338010538","59803170010538",2001,39,157,295,20,8,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468339010538","59804300010538",2001,39,167,404,8,8,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468302010538","59827371010538",2002,39,1,5656,18,7,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468305010538","59828166010538",2002,39,7,5352,1,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468307010538","59829816010538",2002,39,13,2644,12,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468308010538","59830348010538",2002,39,15,2715,27,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468311010538","59832243010538",2002,39,31,4927,20,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468313010538","59832674010538",2002,39,35,5793,21,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468316010538","59819472010538",2002,39,59,1944,14,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468319010538","59821617010538",2002,39,73,4384,7,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468321010538","59822682010538",2002,39,79,2106,8,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468322010538","59823251010538",2002,39,81,2843,12,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468325010538","59825609010538",2002,39,99,5047,22,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468326010538","59826469010538",2002,39,105,2981,5,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468327010538","59833508010538",2002,39,111,3407,14,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468329010538","59806958010538",2002,39,115,3640,13,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468330010538","59807612010538",2002,39,119,1949,6,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468331010538","59809293010538",2002,39,131,2188,24,7,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468333010538","59811100010538",2002,39,141,5316,16,7,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468334010538","59811889010538",2002,39,145,2227,26,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468336010538","59813380010538",2002,39,153,3576,31,7,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468337010538","59813781010538",2002,39,155,5061,30,7,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468340010538","59815863010538",2002,39,167,2110,11,7,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"54178827010538","59845225010538",2003,39,5,4827,10,7,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54181015010538","59845818010538",2003,39,7,1392,16,7,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54174360010538","59846299010538",2003,39,9,2380,30,6,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54179486010538","59846862010538",2003,39,11,2083,12,8,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54173050010538","59847831010538",2003,39,15,3247,30,7,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54177456010538","59848292010538",2003,39,19,2633,25,6,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54177736010538","59849784010538",2003,39,29,5665,26,6,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54178157010538","59850077010538",2003,39,31,1154,17,7,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54175685010538","59835507010538",2003,39,49,1720,14,8,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54174184010538","59835838010538",2003,39,53,2364,21,8,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54181236010538","59836584010538",2003,39,55,1176,15,7,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54176112010538","59836717010538",2003,39,57,2961,5,8,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54177783010538","59838494010538",2003,39,67,4888,23,6,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54175353010538","59839136010538",2003,39,71,5390,23,7,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54172302010538","59841598010538",2003,39,87,2049,1,7,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54179159010538","59842149010538",2003,39,91,4513,13,8,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54181438010538","59842363010538",2003,39,95,3536,20,8,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54179116010538","59852459010538",2003,39,117,3433,19,8,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54173995010538","59853254010538",2003,39,119,1245,18,8,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54173676010538","59853380010538",2003,39,121,2146,23,6,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54174973010538","59854367010538",2003,39,127,3072,28,7,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54176486010538","59855376010538",2003,39,135,1422,11,8,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54174688010538","59856286010538",2003,39,141,3077,2,7,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
