"CN","PLT_CN","VVT_CN","INVYR","STATECD","COUNTYCD","PLOT","VEG_FLDSPCD","UNIQUE_SP_NBR","VEG_SPCD","SPECIMEN_COLLECTED","SPECIMEN_LABEL_NBR","SPECIMEN_NOT_COLLECTED_REASON","SPECIMEN_RESOLVED","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","UPDATED_UNKNOWN_SPECIES_DATE"
"21259010760","59780449010538","491010760",2001,39,1,561,"ACRU",1,"ACRU","",,,"","",2005-12-21,"10760","",,"",
"21260010760","59780449010538","491010760",2001,39,1,561,"ACSA3",1,"ACSA3","",,,"","",2005-12-21,"10760","",,"",
"21261010760","59780449010538","491010760",2001,39,1,561,"CALA21",1,"CALA21","",,,"","",2005-12-21,"10760","",,"",
"21262010760","59780449010538","491010760",2001,39,1,561,"CAOV2",1,"CAOV2","",,,"","",2005-12-21,"10760","",,"",
"21263010760","59780449010538","491010760",2001,39,1,561,"EUPAT",1,"EUPAT","",,,"","",2005-12-21,"10760","",,"",
"21264010760","59780449010538","491010760",2001,39,1,561,"FRAM2",1,"FRAM2","",,,"","",2005-12-21,"10760","",,"",
"21265010760","59780449010538","491010760",2001,39,1,561,"GACI2",1,"GACI2","",,,"","",2005-12-21,"10760","",,"",
"21266010760","59780449010538","491010760",2001,39,1,561,"GACO3",1,"GACO3","",,,"","",2005-12-21,"10760","",,"",
"21267010760","59780449010538","491010760",2001,39,1,561,"GAPI2",1,"GAPI2","",,,"","",2005-12-21,"10760","",,"",
"21268010760","59780449010538","491010760",2001,39,1,561,"GATR3",1,"GATR3","",,,"","",2005-12-21,"10760","",,"",
"21269010760","59780449010538","491010760",2001,39,1,561,"OSVI",1,"OSVI","",,,"","",2005-12-21,"10760","",,"",
"21270010760","59780449010538","491010760",2001,39,1,561,"PAQU2",1,"PAQU2","",,,"","",2005-12-21,"10760","",,"",
"21271010760","59780449010538","491010760",2001,39,1,561,"POAC4",1,"POAC4","",,,"","",2005-12-21,"10760","",,"",
"21272010760","59780449010538","491010760",2001,39,1,561,"POBI2",1,"POBI2","",,,"","",2005-12-21,"10760","",,"",
"21273010760","59780449010538","491010760",2001,39,1,561,"POPE",1,"POPE","",,,"","",2005-12-21,"10760","",,"",
"21274010760","59780449010538","491010760",2001,39,1,561,"PORE5",1,"PORE5","",,,"","",2005-12-21,"10760","",,"",
"21275010760","59780449010538","491010760",2001,39,1,561,"PRSE2",1,"PRSE2","",,,"","",2005-12-21,"10760","",,"",
"21276010760","59780449010538","491010760",2001,39,1,561,"QUAL",1,"QUAL","",,,"","",2005-12-21,"10760","",,"",
"21277010760","59780449010538","491010760",2001,39,1,561,"QUVE",1,"QUVE","",,,"","",2005-12-21,"10760","",,"",
"21278010760","59780449010538","491010760",2001,39,1,561,"ROMV",1,"ROMU","",,,"","",2005-12-21,"10760","",,"",
"21279010760","59780449010538","491010760",2001,39,1,561,"RUPE3",1,"RUPE3","",,,"","",2005-12-21,"10760","",,"",
"21280010760","59780449010538","491010760",2001,39,1,561,"SMILACINA",1,"MAIAN","",,,"","",2005-12-21,"10760","",,"",
"21281010760","59780449010538","491010760",2001,39,1,561,"SMRO",1,"SMRO","",,,"","",2005-12-21,"10760","",,"",
"21282010760","59780449010538","491010760",2001,39,1,561,"TORA2",1,"TORA2","",,,"","",2005-12-21,"10760","",,"",
"21283010760","59780449010538","491010760",2001,39,1,561,"ULAM",1,"ULAM","",,,"","",2005-12-21,"10760","",,"",
"21284010760","59780449010538","491010760",2001,39,1,561,"UNGRASS03",1,"AGGI2","",,,"","",2005-12-21,"10760","",,"",
"21285010760","59780449010538","491010760",2001,39,1,561,"UNGRASS04",1,"LEVI2","",,,"","",2005-12-21,"10760","",,"",
"21286010760","59780449010538","491010760",2001,39,1,561,"UNLAMIAC",1,"SCEL","",,,"","",2005-12-21,"10760","",,"",
"21287010760","59780449010538","491010760",2001,39,1,561,"UNLRGVIOLA",1,"PRAL3","",,,"","",2005-12-21,"10760","",,"",
"21288010760","59780449010538","491010760",2001,39,1,561,"UNLTLWTE",1,"LOIN","",,,"","",2005-12-21,"10760","",,"",
"21289010760","59780449010538","491010760",2001,39,1,561,"UNRAGFERN",1,"2FERN","",,,"","",2005-12-21,"10760","",,"",
"21290010760","59780449010538","491010760",2001,39,1,561,"UNSEDGE2",1,"CALA19","",,,"","",2005-12-21,"10760","",,"",
"21291010760","59780449010538","491010760",2001,39,1,561,"UNSERRALT",1,"2PLANT","",,,"","",2005-12-21,"10760","",,"",
"21292010760","59780449010538","491010760",2001,39,1,561,"VIOLA",1,"VIOLA","",,,"","",2005-12-21,"10760","",,"",
"21293010760","59780449010538","491010760",2001,39,1,561,"VITIS",1,"VITIS","",,,"","",2005-12-21,"10760","",,"",
"36010010760","59781089010538","871010760",2001,39,7,120,"ACRU",1,"ACRU","",,,"","",2005-12-21,"10760","",,"",
"36011010760","59781089010538","871010760",2001,39,7,120,"BEAL2",1,"BEAL2","",,,"","",2005-12-21,"10760","",,"",
"36012010760","59781089010538","871010760",2001,39,7,120,"CAGL8",1,"CAGL8","",,,"","",2005-12-21,"10760","",,"",
"36013010760","59781089010538","871010760",2001,39,7,120,"DRCA11",1,"DRCA11","",,,"","",2005-12-21,"10760","",,"",
"36014010760","59781089010538","871010760",2001,39,7,120,"FAGR",1,"FAGR","",,,"","",2005-12-21,"10760","",,"",
"36015010760","59781089010538","871010760",2001,39,7,120,"FRAM2",1,"FRAM2","",,,"","",2005-12-21,"10760","",,"",
"36016010760","59781089010538","871010760",2001,39,7,120,"LITU",1,"LITU","",,,"","",2005-12-21,"10760","",,"",
"36017010760","59781089010538","871010760",2001,39,7,120,"MIRE",1,"MIRE","",,,"","",2005-12-21,"10760","",,"",
"36018010760","59781089010538","871010760",2001,39,7,120,"MOUN3",1,"MOUN3","",,,"","",2005-12-21,"10760","",,"",
"36019010760","59781089010538","871010760",2001,39,7,120,"NYSY",1,"NYSY","",,,"","",2005-12-21,"10760","",,"",
"36020010760","59781089010538","871010760",2001,39,7,120,"ONSE",1,"ONSE","",,,"","",2005-12-21,"10760","",,"",
"36021010760","59781089010538","871010760",2001,39,7,120,"POGR4",1,"POGR4","",,,"","",2005-12-21,"10760","",,"",
"36022010760","59781089010538","871010760",2001,39,7,120,"PORE5",1,"PORE5","",,,"","",2005-12-21,"10760","",,"",
"36023010760","59781089010538","871010760",2001,39,7,120,"POSI2",1,"POSI2","",,,"","",2005-12-21,"10760","",,"",
"36024010760","59781089010538","871010760",2001,39,7,120,"POTR5",1,"POTR5","",,,"","",2005-12-21,"10760","",,"",
"36025010760","59781089010538","871010760",2001,39,7,120,"PRSE2",1,"PRSE2","",,,"","",2005-12-21,"10760","",,"",
"36026010760","59781089010538","871010760",2001,39,7,120,"QUCO2",1,"QUCO2","",,,"","",2005-12-21,"10760","",,"",
"36027010760","59781089010538","871010760",2001,39,7,120,"QUPR2",1,"QUMO4","",,,"","",2005-12-21,"10760","",2018-12-12,"126144",
"36028010760","59781089010538","871010760",2001,39,7,120,"SMILACINA",1,"MAIAN","",,,"","",2005-12-21,"10760","",,"",
"36029010760","59781089010538","871010760",2001,39,7,120,"SMRO",1,"SMRO","",,,"","",2005-12-21,"10760","",,"",
"36030010760","59781089010538","871010760",2001,39,7,120,"SOLID",1,"SOLID","",,,"","",2005-12-21,"10760","",,"",
"36031010760","59781089010538","871010760",2001,39,7,120,"TORA2",1,"TORA2","",,,"","",2005-12-21,"10760","",,"",
"36032010760","59781089010538","871010760",2001,39,7,120,"ULAM",1,"ULAM","",,,"","",2005-12-21,"10760","",,"",
"36033010760","59781089010538","871010760",2001,39,7,120,"UNFERN01",1,"PTAQ","",,,"","",2005-12-21,"10760","",,"",
"36034010760","59781089010538","871010760",2001,39,7,120,"UNFERN02",1,"OSCI","",,,"","",2005-12-21,"10760","",,"",
"36035010760","59781089010538","871010760",2001,39,7,120,"UNGRASS01",1,"DIDI6","",,,"","",2005-12-21,"10760","",,"",
"36036010760","59781089010538","871010760",2001,39,7,120,"UNGRASS7",1,"CAREX","",,,"","",2005-12-21,"10760","",,"",
"36037010760","59781089010538","871010760",2001,39,7,120,"UNLTLBIG",1,"MACA4","",,,"","",2005-12-21,"10760","",,"",
"36038010760","59781089010538","871010760",2001,39,7,120,"UNSEDGE05",1,"CAIN12","",,,"","",2005-12-21,"10760","",,"",
"36039010760","59781089010538","871010760",2001,39,7,120,"UNSMTREE",1,"ILVE","",,,"","",2005-12-21,"10760","",,"",
"36040010760","59781089010538","871010760",2001,39,7,120,"VIBUR",1,"VIBUR","",,,"","",2005-12-21,"10760","",,"",
"26334010760","59782247010538","610010760",2001,39,9,598,"ACMI2",1,"ACMI2","",,,"","",2005-12-21,"10760","",,"",
"26335010760","59782247010538","610010760",2001,39,9,598,"ACRU",1,"ACRU","",,,"","",2005-12-21,"10760","",,"",
"26336010760","59782247010538","610010760",2001,39,9,598,"ALPE4",1,"ALPE4","",,,"","",2005-12-21,"10760","",,"",
"26337010760","59782247010538","610010760",2001,39,9,598,"AMBRO",1,"AMBRO","",,,"","",2005-12-21,"10760","",,"",
"26338010760","59782247010538","610010760",2001,39,9,598,"APCA",1,"APCA","",,,"","",2005-12-21,"10760","",,"",
"26339010760","59782247010538","610010760",2001,39,9,598,"CACA18",1,"CACA18","",,,"","",2005-12-21,"10760","",,"",
"26340010760","59782247010538","610010760",2001,39,9,598,"CALA21",1,"CALA21","",,,"","",2005-12-21,"10760","",,"",
"26341010760","59782247010538","610010760",2001,39,9,598,"CHRYS2",1,"CHRYS2","",,,"","",2005-12-21,"10760","",,"",
"26342010760","59782247010538","610010760",2001,39,9,598,"CIAR4",1,"CIAR4","",,,"","",2005-12-21,"10760","",,"",
"26343010760","59782247010538","610010760",2001,39,9,598,"COFL2",1,"COFL2","",,,"","",2005-12-21,"10760","",,"",
"26344010760","59782247010538","610010760",2001,39,9,598,"DACA6",1,"DACA6","",,,"","",2005-12-21,"10760","",,"",
"26345010760","59782247010538","610010760",2001,39,9,598,"ELAN",1,"ELAN","",,,"","",2005-12-21,"10760","",,"",
"26346010760","59782247010538","610010760",2001,39,9,598,"FRAM2",1,"FRAM2","",,,"","",2005-12-21,"10760","",,"",
"26347010760","59782247010538","610010760",2001,39,9,598,"GACI2",1,"GACI2","",,,"","",2005-12-21,"10760","",,"",
"26348010760","59782247010538","610010760",2001,39,9,598,"GAPI2",1,"GAPI2","",,,"","",2005-12-21,"10760","",,"",
"26349010760","59782247010538","610010760",2001,39,9,598,"GECA7",1,"GECA7","",,,"","",2005-12-21,"10760","",,"",
"26350010760","59782247010538","610010760",2001,39,9,598,"HAVI4",1,"HAVI4","",,,"","",2005-12-21,"10760","",,"",
"26351010760","59782247010538","610010760",2001,39,9,598,"HYPU",1,"HYPU","",,,"","",2005-12-21,"10760","",,"",
"26352010760","59782247010538","610010760",2001,39,9,598,"IMCA",1,"IMCA","",,,"","",2005-12-21,"10760","",,"",
"26353010760","59782247010538","610010760",2001,39,9,598,"JUNI",1,"JUNI","",,,"","",2005-12-21,"10760","",,"",
"26354010760","59782247010538","610010760",2001,39,9,598,"LACA",1,"LACA","",,,"","",2005-12-21,"10760","",,"",
"26355010760","59782247010538","610010760",2001,39,9,598,"LITU",1,"LITU","",,,"","",2005-12-21,"10760","",,"",
"26356010760","59782247010538","610010760",2001,39,9,598,"MALUS",1,"MALUS","",,,"","",2005-12-21,"10760","",,"",
"26357010760","59782247010538","610010760",2001,39,9,598,"ONSE",1,"ONSE","",,,"","",2005-12-21,"10760","",,"",
"26358010760","59782247010538","610010760",2001,39,9,598,"OXALI",1,"OXALI","",,,"","",2005-12-21,"10760","",,"",
"26359010760","59782247010538","610010760",2001,39,9,598,"PAQU2",1,"PAQU2","",,,"","",2005-12-21,"10760","",,"",
"26360010760","59782247010538","610010760",2001,39,9,598,"PHPR3",1,"PHPR3","",,,"","",2005-12-21,"10760","",,"",
"26361010760","59782247010538","610010760",2001,39,9,598,"POPUL",1,"POPUL","",,,"","",2005-12-21,"10760","",,"",
"26362010760","59782247010538","610010760",2001,39,9,598,"PORE5",1,"PORE5","",,,"","",2005-12-21,"10760","",,"",
"26363010760","59782247010538","610010760",2001,39,9,598,"POSI2",1,"POSI2","",,,"","",2005-12-21,"10760","",,"",
"26364010760","59782247010538","610010760",2001,39,9,598,"PRSE2",1,"PRSE2","",,,"","",2005-12-21,"10760","",,"",
"26365010760","59782247010538","610010760",2001,39,9,598,"PRVU",1,"PRVU","",,,"","",2005-12-21,"10760","",,"",
"26366010760","59782247010538","610010760",2001,39,9,598,"QUAL",1,"QUAL","",,,"","",2005-12-21,"10760","",,"",
"26367010760","59782247010538","610010760",2001,39,9,598,"QUMV",1,"QUMU","",,,"","",2005-12-21,"10760","",,"",
"26368010760","59782247010538","610010760",2001,39,9,598,"QUVE",1,"QUVE","",,,"","",2005-12-21,"10760","",,"",
"26369010760","59782247010538","610010760",2001,39,9,598,"ROMV",1,"ROMU","",,,"","",2005-12-21,"10760","",,"",
"26370010760","59782247010538","610010760",2001,39,9,598,"ROMV10",1,"ROMU","",,,"","",2005-12-21,"10760","",,"",
