"CN","PLT_CN","VVT_CN","INVYR","STATECD","COUNTYCD","PLOT","SUBP","VEG_SUBP_STATUS_CD","VEG_SUBP_NONSAMPLE_REASN_CD","SUBP_ACCESSIBLE_FOREST_PCT","DETAILED_NONFOREST_LAND_USE","TOTAL_CANOPY_COVER_LAYER_1","TOTAL_CANOPY_COVER_LAYER_2","TOTAL_CANOPY_COVER_LAYER_3","TOTAL_CANOPY_COVER_LAYER_4","CRYPTO_CRUST_COVER_PCT","LICHEN_COVER_PCT","LITTER_DUFF_COVER_PCT","MINERAL_SOIL_COVER_PCT","MOSS_COVER_PCT","ROAD_TRAIL_COVER_PCT","ROCK_COVER_PCT","STANDING_WATER_COVER_PCT","STREAM_LAKE_COVER_PCT","TRASH_JUNK_COVER_PCT","WOOD_COVER_PCT","VEG_SUBP_STATUS_CD_PRE2004","VEG_SUBP_NONSMP_RSN_CD_PRE2004","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"236058111010661","144954467010661","236058114010661",2009,39,95,3536,2,1,,100,,40,25,42,85,0,0,93,0,4,0,0,0,0,0,3,1,,"",2010-11-05,"10661","",,""
"236058112010661","144954467010661","236058114010661",2009,39,95,3536,3,1,,100,,80,35,25,85,0,0,58,4,11,22,1,0,0,1,3,1,,"",2010-11-05,"10661","",,""
"236058113010661","144954467010661","236058114010661",2009,39,95,3536,4,1,,100,,70,60,60,98,0,1,76,3,5,12,0,0,0,0,3,1,,"",2010-11-05,"10661","",,""
"236057718010661","144954517010661","236057722010661",2009,39,11,2083,1,2,,,,,,,,,,,,,,,,,,,2,,"",2010-11-05,"10661","",,""
"236057719010661","144954517010661","236057722010661",2009,39,11,2083,2,1,,100,,45,75,85,95,0,1,40,40,1,0,1,0,5,2,10,1,,"",2010-11-05,"10661","",,""
"236057720010661","144954517010661","236057722010661",2009,39,11,2083,3,2,,,,,,,,,,,,,,,,,,,2,,"",2010-11-05,"10661","",,""
"236057721010661","144954517010661","236057722010661",2009,39,11,2083,4,2,,,,,,,,,,,,,,,,,,,2,,"",2010-11-05,"10661","",,""
"236057431010661","144954561010661","236057435010661",2009,39,135,1422,1,1,,100,,95,90,70,85,0,0,67,22,9,0,1,0,0,0,1,1,,"",2010-11-05,"10661","",,""
"236057432010661","144954561010661","236057435010661",2009,39,135,1422,2,1,,17,11,15,16,10,16,0,1,8,6,2,0,0,0,0,0,0,2,,"",2010-11-05,"10661","",,""
"236057433010661","144954561010661","236057435010661",2009,39,135,1422,3,1,,100,,70,78,86,90,0,1,69,21,4,0,0,0,0,0,5,1,,"",2010-11-05,"10661","",,""
"236057434010661","144954561010661","236057435010661",2009,39,135,1422,4,1,,100,,85,85,75,85,0,1,22,67,2,4,1,0,0,0,3,1,,"",2010-11-05,"10661","",2010-12-28,"10661"
"236055429010661","144954845010661","236055433010661",2009,39,127,3072,1,1,,100,,35,25,30,93,0,1,37,10,1,45,1,0,0,1,4,1,,"",2010-11-05,"10661","",,""
"236055430010661","144954845010661","236055433010661",2009,39,127,3072,2,1,,100,,45,25,50,80,0,1,61,9,3,5,3,0,6,0,12,1,,"",2010-11-05,"10661","",,""
"236055431010661","144954845010661","236055433010661",2009,39,127,3072,3,1,,100,,98,70,63,50,0,0,96,1,1,0,0,0,0,0,2,1,,"",2010-11-05,"10661","",,""
"236055432010661","144954845010661","236055433010661",2009,39,127,3072,4,1,,100,,70,40,41,95,0,1,95,1,1,0,1,0,0,0,1,1,,"",2010-11-05,"10661","",,""
"247560279010661","168994889010661","247560283010661",2010,39,81,5147,1,1,,100,,85,60,25,88,0,1,92,1,2,0,0,0,0,0,4,1,,"",2011-05-05,"10661","",,""
"247560280010661","168994889010661","247560283010661",2010,39,81,5147,2,1,,100,,72,25,62,67,0,1,78,2,4,0,2,0,9,0,4,1,,"",2011-05-05,"10661","",,""
"247560281010661","168994889010661","247560283010661",2010,39,81,5147,3,1,,100,,85,75,42,75,0,1,46,16,2,25,1,0,5,0,4,1,,"",2011-05-05,"10661","",,""
"247560282010661","168994889010661","247560283010661",2010,39,81,5147,4,1,,100,,80,30,18,97,0,1,91,1,1,0,0,0,0,1,5,1,,"",2011-05-05,"10661","",,""
"248612111010661","168994921010661","248612115010661",2010,39,167,2121,1,1,,100,,65,40,65,80,0,1,88,0,2,0,3,0,0,1,5,1,,"",2011-05-09,"10661","",,""
"248612112010661","168994921010661","248612115010661",2010,39,167,2121,2,1,,100,,50,50,50,90,0,1,88,1,1,3,1,0,0,1,4,1,,"",2011-05-09,"10661","",,""
"248612113010661","168994921010661","248612115010661",2010,39,167,2121,3,1,,64,32,30,22,50,62,0,1,57,1,0,0,1,0,0,1,3,1,,"",2011-05-09,"10661","",,""
"248612114010661","168994921010661","248612115010661",2010,39,167,2121,4,1,,100,,88,75,26,88,0,1,92,1,1,0,1,0,0,0,4,1,,"",2011-05-09,"10661","",,""
"69794010760","59780449010538","491010760",2001,39,1,561,1,1,,100,,10,5,25,45,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"69795010760","59780449010538","491010760",2001,39,1,561,2,1,,100,,30,10,25,55,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"69796010760","59780449010538","491010760",2001,39,1,561,3,1,,100,,20,7,25,50,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"69797010760","59780449010538","491010760",2001,39,1,561,4,1,,100,,20,7,25,50,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"71314010760","59781089010538","871010760",2001,39,7,120,1,1,,100,,30,35,40,30,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"71315010760","59781089010538","871010760",2001,39,7,120,2,1,,100,,25,15,30,30,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"71316010760","59781089010538","871010760",2001,39,7,120,3,1,,100,,30,15,35,30,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"71317010760","59781089010538","871010760",2001,39,7,120,4,1,,100,,25,35,35,25,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70270010760","59782247010538","610010760",2001,39,9,598,1,1,,100,,40,20,10,10,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70271010760","59782247010538","610010760",2001,39,9,598,2,1,,100,,50,20,10,10,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70272010760","59782247010538","610010760",2001,39,9,598,3,1,,100,,50,10,20,40,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70273010760","59782247010538","610010760",2001,39,9,598,4,1,,100,,50,30,10,5,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70314010760","59784375010538","621010760",2001,39,25,401,1,1,,100,,30,30,10,30,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70315010760","59784375010538","621010760",2001,39,25,401,2,1,,100,,25,45,15,40,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70316010760","59784375010538","621010760",2001,39,25,401,3,2,,,,,,,,,,,,,,,,,,,2,,"",2005-12-21,"10760","",,""
"70317010760","59784375010538","621010760",2001,39,25,401,4,3,10,,,,,,,,,,,,,,,,,,3,10,"",2005-12-21,"10760","",,""
"70802010760","59784920010538","743010760",2001,39,29,606,1,1,,100,,85,75,10,5,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70803010760","59784920010538","743010760",2001,39,29,606,2,1,,100,,50,80,60,50,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70804010760","59784920010538","743010760",2001,39,29,606,3,1,,100,,30,30,30,30,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70805010760","59784920010538","743010760",2001,39,29,606,4,1,,100,,95,75,20,15,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"71338010760","59785584010538","877010760",2001,39,35,575,1,1,,100,,5,25,20,50,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"71339010760","59785584010538","877010760",2001,39,35,575,2,1,,100,,10,40,30,45,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"71340010760","59785584010538","877010760",2001,39,35,575,3,1,,100,,7,30,5,55,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"71341010760","59785584010538","877010760",2001,39,35,575,4,1,,100,,10,25,25,40,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70858010760","59786192010538","757010760",2001,39,41,574,1,1,,100,,35,40,5,3,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70859010760","59786192010538","757010760",2001,39,41,574,2,1,,100,,40,35,15,5,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70860010760","59786192010538","757010760",2001,39,41,574,3,1,,100,,35,40,0,0,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70861010760","59786192010538","757010760",2001,39,41,574,4,2,,,,,,,,,,,,,,,,,,,2,,"",2005-12-21,"10760","",,""
"69770010760","59787135010538","485010760",2001,39,53,778,1,1,,100,,20,10,10,20,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"69771010760","59787135010538","485010760",2001,39,53,778,2,1,,100,,20,10,35,35,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"69772010760","59787135010538","485010760",2001,39,53,778,3,1,,100,,25,5,30,35,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"69773010760","59787135010538","485010760",2001,39,53,778,4,1,,100,,40,15,12,30,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70318010760","59788852010538","622010760",2001,39,61,506,1,1,,100,,15,20,40,35,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70319010760","59788852010538","622010760",2001,39,61,506,2,1,,100,,20,5,40,30,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70320010760","59788852010538","622010760",2001,39,61,506,3,3,10,,,,,,,,,,,,,,,,,,3,10,"",2005-12-21,"10760","",,""
"70321010760","59788852010538","622010760",2001,39,61,506,4,1,,100,,20,5,12,60,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70782010760","59789167010538","738010760",2001,39,67,363,1,1,,100,,40,20,30,35,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70783010760","59789167010538","738010760",2001,39,67,363,2,1,,100,,25,35,50,30,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70784010760","59789167010538","738010760",2001,39,67,363,3,1,,100,,25,10,30,35,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70785010760","59789167010538","738010760",2001,39,67,363,4,1,,100,,30,8,25,35,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70278010760","59790455010538","612010760",2001,39,73,197,1,1,,100,,25,20,30,25,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70279010760","59790455010538","612010760",2001,39,73,197,2,1,,100,,27,23,25,50,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70280010760","59790455010538","612010760",2001,39,73,197,3,1,,100,,25,20,23,20,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70281010760","59790455010538","612010760",2001,39,73,197,4,1,,100,,22,25,30,30,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70854010760","59792161010538","756010760",2001,39,83,604,1,1,,100,,15,25,15,35,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70855010760","59792161010538","756010760",2001,39,83,604,2,1,,100,,15,25,15,35,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70856010760","59792161010538","756010760",2001,39,83,604,3,1,,100,,20,10,10,40,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"70857010760","59792161010538","756010760",2001,39,83,604,4,1,,100,,17,12,10,40,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"69758010760","59792877010538","482010760",2001,39,87,319,1,1,,100,,55,30,25,25,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"69759010760","59792877010538","482010760",2001,39,87,319,2,1,,100,,45,35,20,20,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"69760010760","59792877010538","482010760",2001,39,87,319,3,1,,100,,45,25,35,25,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"69761010760","59792877010538","482010760",2001,39,87,319,4,1,,100,,30,25,25,20,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"216281340010661","59796133010538","216281332010661",2001,39,111,537,1,2,,,,,,,,,,,,,,,,,,,2,,"",2009-09-25,"10661","",,""
"216281352010661","59796133010538","216281332010661",2001,39,111,537,2,3,10,,,,,,,,,,,,,,,,,,2,,"",2009-09-25,"10661","",,""
"216281355010661","59796133010538","216281332010661",2001,39,111,537,3,2,,,,,,,,,,,,,,,,,,,2,,"",2009-09-25,"10661","",,""
"216281364010661","59796133010538","216281332010661",2001,39,111,537,4,2,,,,,,,,,,,,,,,,,,,2,,"",2009-09-25,"10661","",,""
"71334010760","59799485010538","876010760",2001,39,133,64,1,1,,100,,15,10,20,40,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"71335010760","59799485010538","876010760",2001,39,133,64,2,1,,100,,40,20,15,35,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"71336010760","59799485010538","876010760",2001,39,133,64,3,1,,100,,17,5,5,35,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"71337010760","59799485010538","876010760",2001,39,133,64,4,1,,100,,25,20,40,40,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"69778010760","59801189010538","487010760",2001,39,145,33,1,1,,100,,12,10,25,40,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"69779010760","59801189010538","487010760",2001,39,145,33,2,1,,100,,20,30,30,30,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
"69780010760","59801189010538","487010760",2001,39,145,33,3,1,,100,,25,35,20,30,,,,,,,,,,,,1,,"",2005-12-21,"10760","",,""
