,plot_sequence_number,plot_state_code,plot_county_code,measurement_year,latitude,longitude,tree_sequence_number,species_code,current_diameter
0,19102923010661,39,5,1991,40.69449996948242,-82.16654205322266,19102926010661.0,316.0,4.599999904632568
1,19102650010661,39,5,1991,40.75006103515625,-82.3054428100586,19102666010661.0,316.0,4.800000190734863
2,16232776020004,39,5,2014,40.83261489868164,-82.281005859375,271066378489998.0,318.0,1.100000023841858
3,16232855020004,39,5,2013,40.597145080566406,-82.2327880859375,271069058489998.0,261.0,5.599999904632568
4,72742095010538,39,5,2007,40.63435363769531,-82.31742858886719,73987831010538.0,802.0,25.0
5,76389422010538,39,5,2008,40.799903869628906,-82.34093475341797,167754859010661.0,762.0,9.199999809265137
6,109828241010661,39,5,2008,40.83261489868164,-82.281005859375,212656257010661.0,762.0,13.399999618530273
7,109828241010661,39,5,2008,40.83261489868164,-82.281005859375,212656268010661.0,975.0,11.699999809265137
8,109828245010661,39,5,2008,40.660499572753906,-82.3379135131836,212656177010661.0,901.0,7.599999904632568
9,144953849010661,39,5,2009,40.62804412841797,-82.33122253417969,224995233010661.0,651.0,17.5
10,168995501010661,39,5,2010,40.7495002746582,-82.15068054199219,247522185010661.0,318.0,1.7000000476837158
11,168995507010661,39,5,2010,40.59086608886719,-82.32404327392578,247522336010661.0,316.0,11.5
12,171867841020004,39,5,2015,40.68849563598633,-82.17588806152344,381532951489998.0,316.0,5.0
13,19102464010661,39,5,1991,40.66672897338867,-82.3054428100586,19102474010661.0,318.0,15.0
14,19102969010661,39,5,1991,40.91672134399414,-82.41655731201172,19102987010661.0,318.0,15.199999809265137
15,19102301010661,39,5,1991,40.94449996948242,-82.38877868652344,19102319010661.0,975.0,6.5
16,19102650010661,39,5,1991,40.75006103515625,-82.3054428100586,19102679010661.0,316.0,8.100000381469727
17,19103106010661,39,5,1991,40.94449996948242,-82.3054428100586,19103117010661.0,701.0,5.5
18,19102755010661,39,5,1991,40.55561828613281,-82.2498779296875,19102760010661.0,491.0,3.700000047683716
19,19103004010661,39,5,1991,40.66672897338867,-82.27765655517578,19103023010661.0,491.0,2.700000047683716
20,59845134010538,39,5,2003,40.597145080566406,-82.2327880859375,66342915010538.0,261.0,3.4000000953674316
21,66403535010538,39,5,2005,40.97412109375,-82.14578247070312,66403627010538.0,318.0,4.400000095367432
22,66403808010538,39,5,2005,41.00202178955078,-82.33130645751953,66403860010538.0,544.0,5.400000095367432
23,72741754010538,39,5,2007,40.898048400878906,-82.21432495117188,73987484010538.0,541.0,12.300000190734863
24,76389420010538,39,5,2008,40.722801208496094,-82.210693359375,167754797010661.0,318.0,6.900000095367432
25,144953841010661,39,5,2009,40.68849563598633,-82.17588806152344,224995376010661.0,316.0,5.099999904632568
26,222444321010661,39,5,2011,40.83298110961914,-82.17874145507812,31279642020004.0,316.0,2.299999952316284
