,plot_sequence_number,plot_state_code,plot_county_code,measurement_year,latitude,longitude,tree_sequence_number,species_code,current_diameter
0,168994961010661,39,13,2010,40.163055419921875,-81.05604553222656,,,
1,19108828010661,39,13,1991,40.11117935180664,-80.88870239257812,19108835010661.0,802.0,6.099999904632568
2,19109024010661,39,13,1991,39.88896179199219,-81.08316040039062,19109054010661.0,316.0,8.399999618530273
3,19109282010661,39,13,1991,39.9722900390625,-80.99981689453125,19109326010661.0,500.0,1.7000000476837158
4,16232913020004,39,13,2013,39.94975662231445,-80.85099029541016,271071132489998.0,762.0,8.5
5,59830034010538,39,13,2003,40.04312515258789,-81.18412780761719,66269078010538.0,901.0,2.799999952316284
6,59847402010538,39,13,2003,39.95970916748047,-81.20945739746094,66345148010538.0,833.0,21.299999237060547
7,59885401010538,39,13,2005,40.128482818603516,-80.90536499023438,66357565010538.0,762.0,13.699999809265137
8,144953303010661,39,13,2009,39.975460052490234,-80.99774932861328,224927697010661.0,621.0,8.100000381469727
9,251630583489998,39,13,2015,40.09015655517578,-81.09453582763672,381539078489998.0,972.0,10.199999809265137
10,375549812489998,39,13,2017,40.131507873535156,-81.04035949707031,530817633126144.0,341.0,7.300000190734863
11,375549813489998,39,13,2018,39.97149658203125,-81.13526916503906,530817661126144.0,541.0,
12,463049095489998,39,13,2019,39.88933563232422,-80.88683319091797,657542952126144.0,602.0,8.5
13,19109664010661,39,13,1991,39.86117935180664,-80.94425964355469,19109677010661.0,316.0,13.199999809265137
14,19110170010661,39,13,1991,39.86117935180664,-81.08316040039062,19110198010661.0,541.0,17.700000762939453
15,19108898010661,39,13,1991,40.11117935180664,-80.83313751220703,19108906010661.0,602.0,9.5
16,19109616010661,39,13,1991,40.00006866455078,-81.16649627685547,19109624010661.0,975.0,7.300000190734863
17,19110170010661,39,13,1991,39.86117935180664,-81.08316040039062,19110176010661.0,975.0,9.899999618530273
18,19110491010661,39,13,1991,40.25006866455078,-81.16648864746094,19110494010661.0,317.0,6.0
19,19108828010661,39,13,1991,40.11117935180664,-80.88870239257812,19108849010661.0,802.0,8.300000190734863
20,19109282010661,39,13,1991,39.9722900390625,-80.99981689453125,19109312010661.0,802.0,10.600000381469727
21,19109616010661,39,13,1991,40.00006866455078,-81.16649627685547,19109626010661.0,318.0,1.0
22,19109664010661,39,13,1991,39.86117935180664,-80.94425964355469,19109683010661.0,491.0,2.0999999046325684
