,plot_sequence_number,plot_state_code,plot_county_code,measurement_year,latitude,longitude,tree_sequence_number,species_code,current_diameter
0,19136304010661,39,79,1991,38.91674041748047,-82.5554428100586,19136308010661.0,316.0,6.400000095367432
1,19135518010661,39,79,1991,39.11117935180664,-82.74989318847656,19135530010661.0,837.0,1.899999976158142
2,16232960020004,39,79,2013,39.13862609863281,-82.7514419555664,271072549489998.0,975.0,
3,16232960020004,39,79,2013,39.13862609863281,-82.7514419555664,271072577489998.0,802.0,18.0
4,59823051010538,39,79,2001,39.099464416503906,-82.6586685180664,66278363010538.0,407.0,8.699999809265137
5,144953795010661,39,79,2009,39.06629943847656,-82.75521087646484,224918627010661.0,837.0,6.300000190734863
6,168995349010661,39,79,2010,38.89692687988281,-82.67446899414062,247560000010661.0,621.0,22.5
7,171868019020004,39,79,2014,39.161163330078125,-82.72601318359375,334959465489998.0,316.0,7.300000190734863
8,222443445010661,39,79,2011,38.98381805419922,-82.57837677001953,31285850020004.0,130.0,
9,247063728010661,39,79,2012,39.16682052612305,-82.59346008300781,211870779020004.0,802.0,
10,251630706489998,39,79,2015,38.85725402832031,-82.65322875976562,381542834489998.0,832.0,5.199999809265137
11,375549966489998,39,79,2017,39.06943130493164,-82.53697967529297,530823276126144.0,491.0,
12,66409736010538,39,79,2005,39.10188674926758,-82.69186401367188,66409780010538.0,261.0,5.699999809265137
13,72778567010538,39,79,2006,39.0060920715332,-82.74254608154297,73973362010538.0,129.0,7.199999809265137
14,222444537010661,39,79,2011,39.06943130493164,-82.53697967529297,31285695020004.0,621.0,5.400000095367432
15,251630600489998,39,79,2015,38.89692687988281,-82.67446899414062,381539627489998.0,621.0,5.699999809265137
16,19136588010661,39,79,1991,39.08340835571289,-82.4998779296875,19136626010661.0,621.0,17.200000762939453
17,19135468010661,39,79,1991,39.11117935180664,-82.5554428100586,19135474010661.0,132.0,8.600000381469727
18,19135721010661,39,79,1991,39.00006866455078,-82.74989318847656,19135727010661.0,837.0,6.699999809265137
19,19136416010661,39,79,1991,38.9722900390625,-82.80545043945312,19136422010661.0,541.0,9.0
20,19134641010661,39,79,1991,39.05562973022461,-82.52765655517578,19134664010661.0,491.0,5.5
21,19134937010661,39,79,1991,38.94451904296875,-82.44432067871094,19134974010661.0,400.0,8.800000190734863
22,19136082010661,39,79,1991,39.00006866455078,-82.47209930419922,19136100010661.0,802.0,10.800000190734863
23,19136304010661,39,79,1991,38.91674041748047,-82.5554428100586,19136353010661.0,316.0,7.300000190734863
24,19134857010661,39,79,1991,39.16674041748047,-82.58322143554688,19134927010661.0,316.0,1.0
25,16233049020004,39,79,2013,39.04805374145508,-82.47423553466797,271075381489998.0,731.0,11.300000190734863
26,16233051020004,39,79,2013,39.08686828613281,-82.58058166503906,271075542489998.0,403.0,19.600000381469727
27,59822556010538,39,79,2001,39.037200927734375,-82.50667572021484,66277839010538.0,316.0,1.2000000476837158
28,59823051010538,39,79,2001,39.099464416503906,-82.6586685180664,66278355010538.0,802.0,10.0
29,59840231010538,39,79,2002,39.13862609863281,-82.7514419555664,66326505010538.0,832.0,6.699999809265137
30,59878517010538,39,79,2005,38.963558197021484,-82.45665740966797,66354224010538.0,541.0,15.800000190734863
31,66410126010538,39,79,2005,38.89692687988281,-82.67446899414062,66410156010538.0,491.0,2.4000000953674316
32,72779180010538,39,79,2006,39.183128356933594,-82.65259552001953,73973868010538.0,316.0,3.0
33,144953695010661,39,79,2009,38.92947006225586,-82.48744201660156,224918828010661.0,901.0,8.399999618530273
34,168995339010661,39,79,2010,39.11994171142578,-82.55178833007812,247554963010661.0,132.0,12.899999618530273
35,251630600489998,39,79,2015,38.89692687988281,-82.67446899414062,381539624489998.0,316.0,7.199999809265137
36,306266536489998,39,79,2016,39.04273986816406,-82.43624877929688,469324789489998.0,131.0,7.800000190734863
37,306266610489998,39,79,2016,39.11994171142578,-82.55178833007812,469327156489998.0,132.0,13.600000381469727
38,375550005489998,39,79,2017,39.08243179321289,-82.718017578125,530824927126144.0,621.0,
39,463048597489998,39,79,2019,39.183799743652344,-82.75703430175781,657546056126144.0,711.0,9.100000381469727
40,72778567010538,39,79,2006,39.0060920715332,-82.74254608154297,73973282010538.0,129.0,7.099999904632568
41,76388910010538,39,79,2007,39.037200927734375,-82.50667572021484,167761626010661.0,922.0,5.599999904632568
42,168995341010661,39,79,2010,39.00694274902344,-82.4612045288086,247554885010661.0,802.0,8.699999809265137
43,222444463010661,39,79,2011,39.0060920715332,-82.74254608154297,31285717020004.0,129.0,
44,222444537010661,39,79,2011,39.06943130493164,-82.53697967529297,31285647020004.0,621.0,7.400000095367432
45,247063790010661,39,79,2012,39.037200927734375,-82.50667572021484,211872517020004.0,407.0,
46,19136304010661,39,79,1991,38.91674041748047,-82.5554428100586,19136306010661.0,316.0,12.5
47,72779339010538,39,79,2006,39.043331146240234,-82.70540618896484,,,
48,19136371010661,39,79,1991,39.00006866455078,-82.47209930419922,19136384010661.0,400.0,16.5
49,19135982010661,39,79,1991,38.86119079589844,-82.69432830810547,19136005010661.0,806.0,8.899999618530273
50,19136182010661,39,79,1991,39.13896179199219,-82.69432830810547,19136215010661.0,129.0,5.5
51,19136124010661,39,79,1991,39.00006866455078,-82.5554428100586,19136128010661.0,621.0,1.5
52,19135857010661,39,79,1991,39.08340835571289,-82.5554428100586,19135872010661.0,975.0,1.5
53,19136304010661,39,79,1991,38.91674041748047,-82.5554428100586,19136320010661.0,316.0,1.0
54,16232308020004,39,79,2013,39.13346481323242,-82.60118865966797,271060228489998.0,802.0,15.5
55,59790916010538,39,79,2001,39.183799743652344,-82.75703430175781,66244161010538.0,403.0,5.900000095367432
56,59823051010538,39,79,2001,39.099464416503906,-82.6586685180664,66278365010538.0,318.0,11.5
57,66409998010538,39,79,2005,38.86580276489258,-82.6949691772461,66410083010538.0,837.0,8.800000190734863
58,72778994010538,39,79,2006,39.04273986816406,-82.43624877929688,73973702010538.0,316.0,2.5999999046325684
59,144953795010661,39,79,2009,39.06629943847656,-82.75521087646484,224918633010661.0,837.0,7.0
60,168995221010661,39,79,2010,39.04273986816406,-82.43624877929688,247556501010661.0,131.0,3.5999999046325684
61,168995465010661,39,79,2010,39.10188674926758,-82.69186401367188,247554810010661.0,316.0,6.5
62,171867922020004,39,79,2015,38.86580276489258,-82.6949691772461,381533866489998.0,711.0,7.699999809265137
63,171868019020004,39,79,2014,39.161163330078125,-82.72601318359375,334959486489998.0,318.0,11.600000381469727
64,222444463010661,39,79,2011,39.0060920715332,-82.74254608154297,31285762020004.0,129.0,
65,76388910010538,39,79,2007,39.037200927734375,-82.50667572021484,167761646010661.0,491.0,1.2000000476837158
66,109828081010661,39,79,2008,39.13059997558594,-82.44447326660156,212647737010661.0,743.0,8.5
67,168995463010661,39,79,2010,39.183128356933594,-82.65259552001953,247560091010661.0,621.0,15.899999618530273
68,171867971020004,39,79,2014,39.03036880493164,-82.76366424560547,334957954489998.0,131.0,7.099999904632568
69,247063790010661,39,79,2012,39.037200927734375,-82.50667572021484,211872497020004.0,693.0,1.5
70,251630600489998,39,79,2015,38.89692687988281,-82.67446899414062,381539660489998.0,131.0,8.5
71,463049156489998,39,79,2018,39.08804702758789,-82.49351501464844,657544509126144.0,367.0,
72,19135288010661,39,79,1991,39.00006866455078,-82.47209930419922,19135314010661.0,331.0,13.100000381469727
73,19135857010661,39,79,1991,39.08340835571289,-82.5554428100586,19135880010661.0,541.0,13.199999809265137
74,19135934010661,39,79,1991,39.05562973022461,-82.74989318847656,19135969010661.0,832.0,14.199999809265137
75,19134576010661,39,79,1991,39.13896179199219,-82.72210693359375,19134592010661.0,400.0,7.199999809265137
76,19134641010661,39,79,1991,39.05562973022461,-82.52765655517578,19134677010661.0,491.0,7.5
77,19134857010661,39,79,1991,39.16674041748047,-82.58322143554688,19134868010661.0,806.0,10.600000381469727
78,19135934010661,39,79,1991,39.05562973022461,-82.74989318847656,19135981010661.0,711.0,8.899999618530273
79,19136550010661,39,79,1991,38.9723014831543,-82.47209930419922,19136554010661.0,491.0,1.0
80,59822556010538,39,79,2001,39.037200927734375,-82.50667572021484,66277865010538.0,621.0,5.199999809265137
81,59822682010538,39,79,2002,39.08686828613281,-82.58058166503906,66277957010538.0,491.0,1.2000000476837158
82,59823051010538,39,79,2001,39.099464416503906,-82.6586685180664,66278321010538.0,802.0,8.600000381469727
83,59840231010538,39,79,2002,39.13862609863281,-82.7514419555664,66326491010538.0,832.0,12.899999618530273
84,59878704010538,39,79,2005,39.06629943847656,-82.75521087646484,66354393010538.0,316.0,19.899999618530273
85,66409998010538,39,79,2005,38.86580276489258,-82.6949691772461,66410109010538.0,316.0,5.199999809265137
86,76388920010538,39,79,2007,39.02539825439453,-82.68486785888672,167761876010661.0,975.0,
87,109828081010661,39,79,2008,39.13059997558594,-82.44447326660156,212647704010661.0,832.0,
88,144953695010661,39,79,2009,38.92947006225586,-82.48744201660156,224918835010661.0,837.0,10.100000381469727
89,222443445010661,39,79,2011,38.98381805419922,-82.57837677001953,31285830020004.0,130.0,
90,247063789010661,39,79,2012,39.08804702758789,-82.49351501464844,211872422020004.0,318.0,5.400000095367432
91,306266557489998,39,79,2016,39.183128356933594,-82.65259552001953,469325539489998.0,316.0,7.400000095367432
92,306266610489998,39,79,2016,39.11994171142578,-82.55178833007812,469327159489998.0,132.0,13.699999809265137
93,59823051010538,39,79,2001,39.099464416503906,-82.6586685180664,66278369010538.0,316.0,9.600000381469727
94,66409859010538,39,79,2005,39.00694274902344,-82.4612045288086,66409907010538.0,802.0,11.899999618530273
95,247063790010661,39,79,2012,39.037200927734375,-82.50667572021484,211872489020004.0,621.0,5.400000095367432
96,251630637489998,39,79,2015,39.10188674926758,-82.69186401367188,381541145489998.0,261.0,13.199999809265137
97,19134937010661,39,79,1991,38.94451904296875,-82.44432067871094,19134941010661.0,693.0,16.0
98,19135338010661,39,79,1991,38.9723014831543,-82.4998779296875,19135347010661.0,837.0,19.0
99,19135416010661,39,79,1991,38.9723014831543,-82.4998779296875,19135441010661.0,931.0,12.800000190734863
100,19136229010661,39,79,1991,39.16674041748047,-82.74989318847656,19136284010661.0,316.0,11.300000190734863
101,19134641010661,39,79,1991,39.05562973022461,-82.52765655517578,19134652010661.0,316.0,17.200000762939453
102,19135288010661,39,79,1991,39.00006866455078,-82.47209930419922,19135302010661.0,330.0,14.699999809265137
103,19136550010661,39,79,1991,38.9723014831543,-82.47209930419922,19136556010661.0,931.0,9.600000381469727
104,19135086010661,39,79,1991,39.13896179199219,-82.58322143554688,19135105010661.0,743.0,8.300000190734863
105,19136371010661,39,79,1991,39.00006866455078,-82.47209930419922,19136387010661.0,541.0,9.899999618530273
106,19135221010661,39,79,1991,39.00006866455078,-82.77767181396484,19135268010661.0,316.0,2.0999999046325684
107,19136588010661,39,79,1991,39.08340835571289,-82.4998779296875,19136597010661.0,975.0,3.799999952316284
108,16232960020004,39,79,2013,39.13862609863281,-82.7514419555664,271072562489998.0,832.0,19.100000381469727
109,59840231010538,39,79,2002,39.13862609863281,-82.7514419555664,66326481010538.0,832.0,8.100000381469727
110,66410126010538,39,79,2005,38.89692687988281,-82.67446899414062,66410226010538.0,131.0,5.599999904632568
111,72778567010538,39,79,2006,39.0060920715332,-82.74254608154297,73973348010538.0,129.0,7.300000190734863
112,72778994010538,39,79,2006,39.04273986816406,-82.43624877929688,73973712010538.0,711.0,5.900000095367432
113,76388910010538,39,79,2007,39.037200927734375,-82.50667572021484,167761599010661.0,621.0,6.199999809265137
114,76388910010538,39,79,2007,39.037200927734375,-82.50667572021484,167761615010661.0,762.0,
115,76388918010538,39,79,2007,39.08804702758789,-82.49351501464844,167761838010661.0,541.0,5.099999904632568
116,109828083010661,39,79,2008,39.08686828613281,-82.58058166503906,212647523010661.0,403.0,
117,168995349010661,39,79,2010,38.89692687988281,-82.67446899414062,247559997010661.0,972.0,6.599999904632568
118,171867922020004,39,79,2015,38.86580276489258,-82.6949691772461,381533883489998.0,832.0,11.600000381469727
119,171867971020004,39,79,2014,39.03036880493164,-82.76366424560547,334957904489998.0,316.0,1.100000023841858
120,306266610489998,39,79,2016,39.11994171142578,-82.55178833007812,469327145489998.0,91.0,
121,59822763010538,39,79,2002,39.13059997558594,-82.44447326660156,66278033010538.0,541.0,6.900000095367432
122,59878356010538,39,79,2005,39.161163330078125,-82.72601318359375,66354088010538.0,316.0,7.099999904632568
123,109828081010661,39,79,2008,39.13059997558594,-82.44447326660156,212647734010661.0,743.0,12.899999618530273
124,109829129010661,39,79,2008,39.13346481323242,-82.60118865966797,212647780010661.0,318.0,5.5
125,168995349010661,39,79,2010,38.89692687988281,-82.67446899414062,247560014010661.0,131.0,7.400000095367432
126,247063729010661,39,79,2012,39.099464416503906,-82.6586685180664,211870829020004.0,318.0,1.2999999523162842
127,19134768010661,39,79,1991,39.00006866455078,-82.66655731201172,19134812010661.0,132.0,9.100000381469727
128,19136229010661,39,79,1991,39.16674041748047,-82.74989318847656,19136240010661.0,711.0,13.5
129,19136588010661,39,79,1991,39.08340835571289,-82.4998779296875,19136627010661.0,621.0,20.700000762939453
130,19134857010661,39,79,1991,39.16674041748047,-82.58322143554688,19134871010661.0,837.0,23.200000762939453
131,19135934010661,39,79,1991,39.05562973022461,-82.74989318847656,19135966010661.0,832.0,27.299999237060547
132,19136229010661,39,79,1991,39.16674041748047,-82.74989318847656,19136261010661.0,400.0,14.199999809265137
133,19135086010661,39,79,1991,39.13896179199219,-82.58322143554688,19135114010661.0,802.0,6.199999809265137
134,19135609010661,39,79,1991,38.9723014831543,-82.4998779296875,19135649010661.0,931.0,7.400000095367432
