,plot_sequence_number,plot_state_code,plot_county_code,measurement_year,latitude,longitude,tree_sequence_number,species_code,current_diameter
0,109829205010661,39,81,2008,40.27910232543945,-80.68004608154297,,,
1,16232270020004,39,81,2013,40.27910232543945,-80.68004608154297,,,
2,19137548010661,39,81,1991,40.27785110473633,-80.7220230102539,19137552010661.0,975.0,5.0
3,19136947010661,39,81,1991,40.16674041748047,-80.69425201416016,19136991010661.0,762.0,9.399999618530273
4,19137638010661,39,81,1991,40.38896179199219,-80.66647338867188,19137659010661.0,318.0,7.199999809265137
5,19137410010661,39,81,1991,40.55561828613281,-80.86092376708984,19137417010661.0,316.0,2.5
6,19137064010661,39,81,1991,40.44451141357422,-80.7220230102539,19137075010661.0,762.0,1.5
7,59791400010538,39,81,2002,40.3607177734375,-80.86354064941406,66244663010538.0,316.0,8.199999809265137
8,59791545010538,39,81,2002,40.45438003540039,-80.68925476074219,66244793010538.0,762.0,10.699999809265137
9,59823444010538,39,81,2004,40.58055114746094,-80.7567367553711,66278683010538.0,832.0,13.600000381469727
10,72779565010538,39,81,2007,40.496978759765625,-80.67809295654297,73974282010538.0,500.0,1.399999976158142
11,72779565010538,39,81,2007,40.496978759765625,-80.67809295654297,73974284010538.0,500.0,1.100000023841858
12,72779986010538,39,81,2007,40.55809783935547,-80.82482147216797,73974711010538.0,318.0,7.900000095367432
13,144953231010661,39,81,2009,40.20964813232422,-80.72479248046875,225898749010661.0,313.0,
14,144953283010661,39,81,2009,40.35622024536133,-80.80707550048828,224991457010661.0,491.0,
15,168994887010661,39,81,2010,40.5398063659668,-80.6655044555664,248065994010661.0,901.0,8.0
16,171867911020004,39,81,2014,40.577213287353516,-80.69281768798828,334955588489998.0,837.0,
17,171867934020004,39,81,2015,40.44723129272461,-80.77731323242188,381533984489998.0,491.0,1.7000000476837158
18,171867935020004,39,81,2015,40.35622024536133,-80.80707550048828,334956525489998.0,316.0,11.5
19,247063966010661,39,81,2012,40.3607177734375,-80.86354064941406,211877504020004.0,762.0,10.600000381469727
20,306266375489998,39,81,2016,40.5398063659668,-80.6655044555664,469320261489998.0,901.0,7.699999809265137
21,463049074489998,39,81,2019,40.33416748046875,-80.7019271850586,657542357126144.0,316.0,8.399999618530273
22,171867936020004,39,81,2015,40.459651947021484,-80.91513061523438,334956638489998.0,316.0,8.199999809265137
23,247063987010661,39,81,2012,40.525638580322266,-80.79846954345703,211878333020004.0,762.0,5.199999809265137
24,19138030010661,39,81,1991,40.50006866455078,-80.66645812988281,19138032010661.0,762.0,8.699999809265137
25,19137410010661,39,81,1991,40.55561828613281,-80.86092376708984,19137437010661.0,316.0,1.2000000476837158
26,16232707020004,39,81,2014,40.40237808227539,-80.66915130615234,271064812489998.0,951.0,2.4000000953674316
27,16232707020004,39,81,2014,40.40237808227539,-80.66915130615234,271064837489998.0,762.0,17.399999618530273
28,59823280010538,39,81,2004,40.476470947265625,-80.61537170410156,66278542010538.0,762.0,9.5
29,59840452010538,39,81,2004,40.40237808227539,-80.66915130615234,66326729010538.0,972.0,1.5
30,59840579010538,39,81,2004,40.24011993408203,-80.6633071899414,66326813010538.0,762.0,8.399999618530273
31,59840725010538,39,81,2004,40.459651947021484,-80.91513061523438,66326989010538.0,402.0,15.100000381469727
32,59879090010538,39,81,2004,40.470603942871094,-80.75066375732422,66354790010538.0,316.0,7.400000095367432
33,72779666010538,39,81,2006,40.31706237792969,-80.6246566772461,73974387010538.0,544.0,8.899999618530273
34,109827605010661,39,81,2008,40.40237808227539,-80.66915130615234,212654441010661.0,500.0,
35,109827611010661,39,81,2008,40.24011993408203,-80.6633071899414,212654508010661.0,762.0,10.399999618530273
36,144953231010661,39,81,2009,40.20964813232422,-80.72479248046875,225898736010661.0,313.0,10.899999618530273
37,144953285010661,39,81,2009,40.459651947021484,-80.91513061523438,224991883010661.0,316.0,9.0
38,222444897010661,39,81,2011,40.49216842651367,-80.8637924194336,31285949020004.0,316.0,5.0
39,222444935010661,39,81,2011,40.496978759765625,-80.67809295654297,31285968020004.0,951.0,
40,222444941010661,39,81,2011,40.33565902709961,-80.77104949951172,31285932020004.0,129.0,15.0
41,306266375489998,39,81,2016,40.5398063659668,-80.6655044555664,469320279489998.0,762.0,7.900000095367432
42,19136685010661,39,81,1991,40.55561828613281,-80.6942367553711,19136688010661.0,318.0,22.0
43,19137528010661,39,81,1991,40.44451141357422,-80.74980163574219,19137534010661.0,762.0,11.0
44,19137167010661,39,81,1991,40.4722900390625,-80.83313751220703,,,
45,19136947010661,39,81,1991,40.16674041748047,-80.69425201416016,19136971010661.0,332.0,8.600000381469727
46,19137137010661,39,81,1991,40.41672897338867,-80.77758026123047,19137150010661.0,901.0,9.199999809265137
47,19137173010661,39,81,1991,40.30561828613281,-80.77758026123047,19137179010661.0,129.0,6.599999904632568
48,19137528010661,39,81,1991,40.44451141357422,-80.74980163574219,19137543010661.0,316.0,9.399999618530273
49,19137981010661,39,81,1991,40.55561828613281,-80.74980163574219,19137998010661.0,832.0,7.699999809265137
50,59791771010538,39,81,2002,40.37688446044922,-80.68604278564453,66244976010538.0,972.0,12.399999618530273
51,59823190010538,39,81,2003,40.45097732543945,-80.83168029785156,66278441010538.0,316.0,5.400000095367432
52,72779405010538,39,81,2007,40.33565902709961,-80.77104949951172,73974097010538.0,341.0,2.799999952316284
53,72779986010538,39,81,2007,40.55809783935547,-80.82482147216797,73974703010538.0,541.0,9.300000190734863
54,76389308010538,39,81,2007,40.29430389404297,-80.75350189208984,167744348010661.0,762.0,16.200000762939453
55,16232710020004,39,81,2014,40.24011993408203,-80.6633071899414,271064911489998.0,316.0,
56,168994895010661,39,81,2010,40.348567962646484,-80.86509704589844,247560435010661.0,762.0,9.899999618530273
57,171867911020004,39,81,2014,40.577213287353516,-80.69281768798828,334955605489998.0,975.0,12.699999809265137
58,222444895010661,39,81,2011,40.55809783935547,-80.82482147216797,31286045020004.0,951.0,14.199999809265137
59,222444895010661,39,81,2011,40.55809783935547,-80.82482147216797,31286050020004.0,318.0,2.200000047683716
60,247063987010661,39,81,2012,40.525638580322266,-80.79846954345703,211878345020004.0,500.0,1.5
61,463048761489998,39,81,2018,40.37688446044922,-80.68604278564453,657546830126144.0,972.0,14.899999618530273
62,247063986010661,39,81,2012,40.45438003540039,-80.68925476074219,211878281020004.0,316.0,1.899999976158142
63,247063988010661,39,81,2012,40.29430389404297,-80.75350189208984,211878387020004.0,762.0,10.100000381469727
64,251630538489998,39,81,2015,40.470603942871094,-80.75066375732422,381538119489998.0,316.0,
65,19137003010661,39,81,1991,40.19451141357422,-80.72203063964844,19137014010661.0,621.0,15.899999618530273
66,19137085010661,39,81,1991,40.52783966064453,-80.80535888671875,19137105010661.0,743.0,11.699999809265137
67,19137183010661,39,81,1991,40.44451141357422,-80.6942367553711,19137188010661.0,731.0,18.5
68,19137253010661,39,81,1991,40.38896179199219,-80.63868713378906,19137304010661.0,970.0,14.100000381469727
69,19137085010661,39,81,1991,40.52783966064453,-80.80535888671875,19137087010661.0,951.0,8.399999618530273
70,19137528010661,39,81,1991,40.44451141357422,-80.74980163574219,19137533010661.0,901.0,5.099999904632568
71,19137677010661,39,81,1991,40.30562973022461,-80.63868713378906,19137690010661.0,972.0,5.199999809265137
72,19137839010661,39,81,1991,40.44451141357422,-80.74980163574219,19137866010661.0,901.0,10.199999809265137
73,19137482010661,39,81,1991,40.30561828613281,-80.77758026123047,19137486010661.0,901.0,2.5999999046325684
74,19137449010661,39,81,1991,40.33340072631836,-80.80535888671875,19137478010661.0,491.0,3.0999999046325684
75,59791400010538,39,81,2002,40.3607177734375,-80.86354064941406,66244671010538.0,316.0,5.699999809265137
76,72779986010538,39,81,2007,40.55809783935547,-80.82482147216797,73974689010538.0,541.0,8.399999618530273
77,109827675010661,39,81,2008,40.491268157958984,-80.78443908691406,212654581010661.0,762.0,
78,168994893010661,39,81,2010,40.38209915161133,-80.78636932373047,247560377010661.0,409.0,1.2999999523162842
79,168994897010661,39,81,2010,40.30251693725586,-80.80603790283203,247560421010661.0,901.0,9.399999618530273
80,171867935020004,39,81,2015,40.35622024536133,-80.80707550048828,334956528489998.0,316.0,7.0
81,171867936020004,39,81,2015,40.459651947021484,-80.91513061523438,334956627489998.0,316.0,9.0
82,222444895010661,39,81,2011,40.55809783935547,-80.82482147216797,31286035020004.0,833.0,
83,222444941010661,39,81,2011,40.33565902709961,-80.77104949951172,31285916020004.0,341.0,2.0
84,247063987010661,39,81,2012,40.525638580322266,-80.79846954345703,211878323020004.0,681.0,
85,306266377489998,39,81,2016,40.38209915161133,-80.78636932373047,469320344489998.0,762.0,12.5
86,375549850489998,39,81,2017,40.49216842651367,-80.8637924194336,530818912126144.0,316.0,5.5
87,463048761489998,39,81,2018,40.37688446044922,-80.68604278564453,657546829126144.0,316.0,13.699999809265137
88,168994889010661,39,81,2010,40.470603942871094,-80.75066375732422,247560121010661.0,316.0,9.800000190734863
89,247063986010661,39,81,2012,40.45438003540039,-80.68925476074219,211878283020004.0,762.0,13.0
90,19137356010661,39,81,1991,40.4722900390625,-80.88870239257812,19137388010661.0,762.0,13.800000190734863
91,19137839010661,39,81,1991,40.44451141357422,-80.74980163574219,19137856010661.0,762.0,12.300000190734863
92,19136730010661,39,81,1991,40.52783966064453,-80.9164810180664,19136756010661.0,701.0,5.5
