,plot_sequence_number,plot_state_code,plot_county_code,measurement_year,latitude,longitude,tree_sequence_number,species_code,current_diameter
0,19149524010661,39,111,1991,39.58340835571289,-81.16649627685547,,,
1,19148979010661,39,111,1991,39.83340835571289,-80.97203826904297,19148986010661.0,621.0,5.5
2,19148999010661,39,111,1991,39.77785110473633,-80.91648864746094,19149044010661.0,660.0,1.5
3,16232907020004,39,111,2014,39.79233169555664,-80.90522003173828,271070950489998.0,541.0,
4,16232921020004,39,111,2014,39.6679801940918,-81.2115707397461,271071489489998.0,833.0,
5,59796040010538,39,111,2002,39.78389358520508,-81.18058013916016,66249162010538.0,802.0,5.300000190734863
6,59796324010538,39,111,2002,39.76054763793945,-81.01202392578125,66249423010538.0,407.0,8.800000190734863
7,59833613010538,39,111,2003,39.6679801940918,-81.2115707397461,66281212010538.0,403.0,5.400000095367432
8,59833741010538,39,111,2002,39.81538391113281,-80.93391418457031,66281317010538.0,621.0,5.0
9,59833803010538,39,111,2002,39.680755615234375,-81.04742431640625,66281399010538.0,975.0,7.5
10,76389324010538,39,111,2007,39.680755615234375,-81.04742431640625,167747679010661.0,129.0,7.699999809265137
11,76389326010538,39,111,2007,39.62165451049805,-81.08236694335938,167747730010661.0,975.0,9.699999809265137
12,76389332010538,39,111,2007,39.6170768737793,-81.25387573242188,167747879010661.0,833.0,
13,109827635010661,39,111,2008,39.64570617675781,-81.04427337646484,212654818010661.0,531.0,11.199999809265137
14,109827711010661,39,111,2008,39.72509765625,-81.1656723022461,212654905010661.0,313.0,9.5
15,16233128020004,39,111,2014,39.659603118896484,-81.24017333984375,271077336489998.0,621.0,22.0
16,168994919010661,39,111,2010,39.642757415771484,-81.14340209960938,247578670010661.0,972.0,6.199999809265137
17,171867887020004,39,111,2014,39.77440643310547,-81.12445831298828,334954972489998.0,833.0,13.0
18,247063946010661,39,111,2013,39.848731994628906,-81.29765319824219,211876837020004.0,972.0,
19,247064038010661,39,111,2012,39.62798309326172,-80.95711517333984,211879781020004.0,318.0,8.399999618530273
20,306266666489998,39,111,2016,39.60713577270508,-81.17569732666016,469328395489998.0,129.0,12.600000381469727
21,463048764489998,39,111,2019,39.691524505615234,-81.22055053710938,657546900126144.0,407.0,
22,463049201489998,39,111,2019,39.62798309326172,-80.95711517333984,657545738126144.0,621.0,23.100000381469727
23,59833803010538,39,111,2002,39.680755615234375,-81.04742431640625,66281389010538.0,833.0,1.399999976158142
