,plot_sequence_number,plot_state_code,plot_county_code,measurement_year,latitude,longitude,tree_sequence_number,species_code,current_diameter
0,19152785010661,39,119,1991,39.88896179199219,-82.02764129638672,19152813010661.0,931.0,9.600000381469727
1,19152957010661,39,119,1991,39.83340072631836,-81.80541229248047,19152971010661.0,400.0,8.0
2,19152620010661,39,119,1991,39.80561828613281,-82.055419921875,19152677010661.0,318.0,1.0
3,19153120010661,39,119,1991,40.11117935180664,-82.055419921875,19153134010661.0,491.0,1.5
4,19153234010661,39,119,1991,40.11117935180664,-81.83319091796875,19153261010661.0,762.0,1.899999976158142
5,19153734010661,39,119,1991,39.88896179199219,-81.94429779052734,19153750010661.0,701.0,1.5
6,59807612010538,39,119,2002,40.00082778930664,-82.15699768066406,66283493010538.0,318.0,1.2999999523162842
7,59853254010538,39,119,2003,39.93901443481445,-81.91606140136719,66332849010538.0,762.0,10.899999618530273
8,66415491010538,39,119,2005,40.032779693603516,-81.95429229736328,66415545010538.0,621.0,20.200000762939453
9,72756227010538,39,119,2006,39.98545455932617,-81.90962982177734,73951285010538.0,762.0,5.599999904632568
10,72756306010538,39,119,2006,39.78416442871094,-82.05972290039062,73951381010538.0,541.0,8.600000381469727
11,76389354010538,39,119,2007,39.79433059692383,-82.00991821289062,167748844010661.0,743.0,6.699999809265137
12,109827943010661,39,119,2008,39.78868865966797,-81.8708267211914,212655055010661.0,802.0,
13,144953523010661,39,119,2009,40.072147369384766,-81.80039978027344,224993173010661.0,602.0,7.0
14,144953531010661,39,119,2009,39.93901443481445,-81.91606140136719,225777205010661.0,762.0,9.399999618530273
15,144954927010661,39,119,2009,40.1341667175293,-81.77568817138672,224992654010661.0,316.0,9.800000190734863
16,171867347020004,39,119,2014,40.01130676269531,-81.81159210205078,334948278489998.0,762.0,12.100000381469727
17,222444595010661,39,119,2011,40.14942932128906,-81.87405395507812,31289542020004.0,341.0,13.199999809265137
18,247063777010661,39,119,2012,39.858341217041016,-82.12316131591797,211871920020004.0,693.0,5.199999809265137
19,247063777010661,39,119,2012,39.858341217041016,-82.12316131591797,211871925020004.0,931.0,5.400000095367432
20,306266407489998,39,119,2016,40.14942932128906,-81.87405395507812,469320780489998.0,313.0,10.5
21,375549791489998,39,119,2017,39.78416442871094,-82.05972290039062,530817044126144.0,541.0,5.199999809265137
22,375549935489998,39,119,2017,39.90387725830078,-82.12433624267578,530821884126144.0,972.0,
23,168995295010661,39,119,2010,40.09037780761719,-81.91073608398438,247579487010661.0,621.0,6.599999904632568
24,306266643489998,39,119,2016,39.87697219848633,-81.86822509765625,469327984489998.0,833.0,5.300000190734863
25,306266643489998,39,119,2016,39.87697219848633,-81.86822509765625,469327996489998.0,833.0,7.300000190734863
26,19152492010661,39,119,1991,39.83340072631836,-81.86096954345703,19152498010661.0,833.0,14.199999809265137
27,19154499010661,39,119,1991,39.88896179199219,-81.94429779052734,19154501010661.0,975.0,17.200000762939453
28,19153353010661,39,119,1991,39.77785110473633,-81.9165267944336,19153382010661.0,531.0,24.5
29,19154265010661,39,119,1991,39.80562973022461,-81.88874816894531,19154300010661.0,400.0,16.0
30,66415928010538,39,119,2005,39.88365173339844,-82.029052734375,,,
31,19152736010661,39,119,1991,40.02785110473633,-81.99986267089844,19152741010661.0,317.0,10.300000190734863
32,19152492010661,39,119,1991,39.83340072631836,-81.86096954345703,19152508010661.0,400.0,9.699999809265137
33,19153010010661,39,119,1991,39.77785110473633,-82.02764129638672,19153035010661.0,832.0,8.899999618530273
34,19153772010661,39,119,1991,40.13896179199219,-81.91651916503906,19153796010661.0,922.0,8.600000381469727
35,19154521010661,39,119,1991,39.91674041748047,-81.74984741210938,19154545010661.0,541.0,6.900000095367432
36,19153804010661,39,119,1991,40.08340072631836,-81.88874053955078,19153812010661.0,491.0,1.7999999523162842
37,19152558010661,39,119,1991,39.83340072631836,-81.99986267089844,19152611010661.0,621.0,1.7000000476837158
38,19152620010661,39,119,1991,39.80561828613281,-82.055419921875,19152676010661.0,391.0,1.0
39,16233015020004,39,119,2013,40.00082778930664,-82.15699768066406,271073727489998.0,693.0,
40,59807266010538,39,119,2003,39.78868865966797,-81.8708267211914,66283099010538.0,621.0,18.5
41,59853037010538,39,119,2003,40.12751388549805,-81.8097152709961,66332690010538.0,837.0,11.699999809265137
42,59863242010538,39,119,2005,40.1341667175293,-81.77568817138672,66364226010538.0,391.0,1.100000023841858
43,66415372010538,39,119,2005,40.12600326538086,-82.06681060791016,66415442010538.0,552.0,5.0
44,72756306010538,39,119,2006,39.78416442871094,-82.05972290039062,73951369010538.0,541.0,5.599999904632568
45,76389360010538,39,119,2007,40.0947151184082,-82.01982879638672,167748920010661.0,693.0,8.300000190734863
46,109827939010661,39,119,2008,39.96497344970703,-81.8848876953125,212655127010661.0,931.0,5.300000190734863
47,168995307010661,39,119,2010,39.82337188720703,-82.05110931396484,247579636010661.0,341.0,1.0
48,222444595010661,39,119,2011,40.14942932128906,-81.87405395507812,31289515020004.0,355.0,1.7999999523162842
49,222444595010661,39,119,2011,40.14942932128906,-81.87405395507812,31289541020004.0,901.0,10.399999618530273
50,222444617010661,39,119,2012,39.78416442871094,-82.05972290039062,31289456020004.0,762.0,
51,247063820010661,39,119,2012,40.114227294921875,-81.8466567993164,211873058020004.0,491.0,
52,247063821010661,39,119,2012,40.0947151184082,-82.01982879638672,211873095020004.0,731.0,18.399999618530273
53,59863448010538,39,119,2004,40.072147369384766,-81.80039978027344,66364439010538.0,316.0,6.099999904632568
54,19152403010661,39,119,1991,39.9722900390625,-81.88874053955078,19152409010661.0,833.0,13.600000381469727
55,19154419010661,39,119,1991,39.77785110473633,-81.88874816894531,19154444010661.0,318.0,26.5
56,19152442010661,39,119,1991,39.94451141357422,-81.91651916503906,19152460010661.0,762.0,8.399999618530273
57,19152492010661,39,119,1991,39.83340072631836,-81.86096954345703,19152520010661.0,318.0,6.300000190734863
58,19152736010661,39,119,1991,40.02785110473633,-81.99986267089844,19152780010661.0,901.0,1.2000000476837158
59,19153705010661,39,119,1991,40.02785110473633,-81.97207641601562,19153727010661.0,316.0,2.700000047683716
60,19153948010661,39,119,1991,40.05562973022461,-81.80541229248047,19153982010661.0,500.0,3.799999952316284
61,59807266010538,39,119,2003,39.78868865966797,-81.8708267211914,66283147010538.0,833.0,19.299999237060547
62,59863448010538,39,119,2004,40.072147369384766,-81.80039978027344,66364445010538.0,316.0,6.800000190734863
63,109828051010661,39,119,2008,39.98025131225586,-82.04629516601562,212655266010661.0,541.0,13.899999618530273
64,109828051010661,39,119,2008,39.98025131225586,-82.04629516601562,212655276010661.0,975.0,13.0
65,144953537010661,39,119,2009,39.777915954589844,-81.94461822509766,224992997010661.0,541.0,8.0
66,16232833020004,39,119,2013,39.96497344970703,-81.8848876953125,271068213489998.0,391.0,1.2000000476837158
67,168995177010661,39,119,2011,39.95276641845703,-81.81658172607422,247579874010661.0,743.0,11.0
68,168995295010661,39,119,2010,40.09037780761719,-81.91073608398438,247579493010661.0,837.0,6.599999904632568
69,168995301010661,39,119,2010,40.12600326538086,-82.06681060791016,247579558010661.0,544.0,10.399999618530273
70,171867901020004,39,119,2014,39.83151626586914,-81.91236114501953,334955364489998.0,972.0,13.699999809265137
71,222444503010661,39,119,2011,39.90387725830078,-82.12433624267578,31289579020004.0,341.0,
72,222444697010661,39,119,2011,39.90700149536133,-81.78561401367188,31289220020004.0,762.0,7.300000190734863
73,247063821010661,39,119,2012,40.0947151184082,-82.01982879638672,211873092020004.0,316.0,14.100000381469727
74,251630650489998,39,119,2015,40.12600326538086,-82.06681060791016,381541486489998.0,621.0,13.899999618530273
75,375549825489998,39,119,2017,39.90700149536133,-81.78561401367188,530817979126144.0,972.0,7.5
76,59852704010538,39,119,2003,40.04335021972656,-82.01343536376953,66332364010538.0,316.0,10.699999809265137
77,171868058020004,39,119,2014,40.15479278564453,-82.05461883544922,334960316489998.0,972.0,4.400000095367432
78,19153466010661,39,119,1991,39.80562973022461,-81.9165267944336,,,
79,19154165010661,39,119,1991,39.80561828613281,-81.99986267089844,19154191010661.0,316.0,25.700000762939453
80,19153478010661,39,119,1991,39.77785110473633,-81.74984741210938,19153482010661.0,833.0,7.5
81,19152907010661,39,119,1991,39.88896179199219,-81.77763366699219,19152926010661.0,660.0,6.5
82,19153849010661,39,119,1991,39.86117935180664,-81.86096954345703,19153859010661.0,701.0,1.5
83,19154222010661,39,119,1991,40.00006866455078,-81.91651916503906,19154225010661.0,931.0,3.200000047683716
84,19152288010661,39,119,1991,40.08340072631836,-81.91651916503906,19152339010661.0,316.0,2.0999999046325684
85,19153434010661,39,119,1991,39.94451141357422,-81.88874053955078,19153446010661.0,500.0,1.0
86,19153648010661,39,119,1991,39.75006866455078,-81.97207641601562,19153664010661.0,318.0,1.2000000476837158
87,59807399010538,39,119,2002,40.0947151184082,-82.01982879638672,66283228010538.0,602.0,13.699999809265137
88,59807523010538,39,119,2003,39.98025131225586,-82.04629516601562,66283387010538.0,972.0,8.5
89,72755422010538,39,119,2006,40.09037780761719,-81.91073608398438,73950503010538.0,837.0,10.100000381469727
90,16232833020004,39,119,2013,39.96497344970703,-81.8848876953125,271068211489998.0,491.0,
91,16233013020004,39,119,2013,40.04335021972656,-82.01343536376953,271073578489998.0,317.0,17.799999237060547
92,16233013020004,39,119,2013,40.04335021972656,-82.01343536376953,271073599489998.0,316.0,9.199999809265137
93,168996609010661,39,119,2010,39.87697219848633,-81.86822509765625,247579712010661.0,407.0,9.100000381469727
94,171867903020004,39,119,2015,39.777915954589844,-81.94461822509766,381533690489998.0,316.0,5.0
95,222444985010661,39,119,2011,39.83430862426758,-81.83638763427734,31289257020004.0,531.0,13.0
96,251630589489998,39,119,2015,39.80455780029297,-81.75858306884766,381539249489998.0,318.0,5.599999904632568
97,306266407489998,39,119,2016,40.14942932128906,-81.87405395507812,469320798489998.0,313.0,3.5
98,66415172010538,39,119,2005,39.843116760253906,-81.71542358398438,66415222010538.0,402.0,7.400000095367432
99,66428919010538,39,119,2005,39.777915954589844,-81.94461822509766,66428975010538.0,837.0,17.0
100,109827939010661,39,119,2008,39.96497344970703,-81.8848876953125,212655119010661.0,391.0,1.399999976158142
101,144953523010661,39,119,2009,40.072147369384766,-81.80039978027344,224993184010661.0,972.0,5.800000190734863
102,168995303010661,39,119,2010,40.0428466796875,-82.10480499267578,247579526010661.0,762.0,6.599999904632568
103,168995305010661,39,119,2010,39.88365173339844,-82.029052734375,247579910010661.0,313.0,8.0
104,171867900020004,39,119,2015,39.93901443481445,-81.91606140136719,381533623489998.0,762.0,7.599999904632568
105,222444497010661,39,119,2011,40.00840759277344,-82.08619689941406,31289168020004.0,318.0,
106,222444501010661,39,119,2012,39.83335494995117,-81.99205780029297,31289312020004.0,621.0,
107,222444501010661,39,119,2012,39.83335494995117,-81.99205780029297,31289315020004.0,802.0,
108,306266585489998,39,119,2016,40.0428466796875,-82.10480499267578,469326258489998.0,901.0,7.099999904632568
109,375549791489998,39,119,2017,39.78416442871094,-82.05972290039062,530817076126144.0,318.0,1.600000023841858
110,19153234010661,39,119,1991,40.11117935180664,-81.83319091796875,19153257010661.0,621.0,19.0
111,19153772010661,39,119,1991,40.13896179199219,-81.91651916503906,19153792010661.0,317.0,24.200000762939453
112,59807365010538,39,119,2002,39.88367462158203,-81.96955871582031,,,
113,66428905010538,39,119,2005,39.969242095947266,-82.12956237792969,,,
114,19153994010661,39,119,1991,40.02785110473633,-81.77763366699219,19154003010661.0,541.0,15.199999809265137
115,19154065010661,39,119,1991,40.11117935180664,-82.1665267944336,19154067010661.0,316.0,9.600000381469727
116,19152442010661,39,119,1991,39.94451141357422,-81.91651916503906,19152475010661.0,762.0,6.199999809265137
117,19152492010661,39,119,1991,39.83340072631836,-81.86096954345703,19152506010661.0,802.0,10.0
118,19152847010661,39,119,1991,39.83340835571289,-81.7220687866211,19152884010661.0,972.0,5.5
119,19152957010661,39,119,1991,39.83340072631836,-81.80541229248047,19152977010661.0,400.0,5.599999904632568
120,19153705010661,39,119,1991,40.02785110473633,-81.97207641601562,19153732010661.0,552.0,10.399999618530273
121,19154041010661,39,119,1991,40.08340835571289,-81.74984741210938,19154056010661.0,731.0,5.5
122,19153170010661,39,119,1991,39.88896179199219,-82.055419921875,19153188010661.0,901.0,4.0
123,19153353010661,39,119,1991,39.77785110473633,-81.9165267944336,19153386010661.0,701.0,1.2000000476837158
124,19153434010661,39,119,1991,39.94451141357422,-81.88874053955078,19153445010661.0,762.0,1.2000000476837158
125,19153891010661,39,119,1991,39.83340072631836,-81.83319091796875,19153939010661.0,314.0,1.2000000476837158
126,59797393010538,39,119,2002,39.858341217041016,-82.12316131591797,66257075010538.0,531.0,2.5
127,59852969010538,39,119,2003,39.96497344970703,-81.8848876953125,66332574010538.0,407.0,8.100000381469727
128,66415822010538,39,119,2005,39.95276641845703,-81.81658172607422,66415917010538.0,972.0,9.800000190734863
129,66428919010538,39,119,2005,39.777915954589844,-81.94461822509766,66428967010538.0,837.0,10.800000190734863
130,72756603010538,39,119,2006,39.90387725830078,-82.12433624267578,73951669010538.0,762.0,10.699999809265137
131,76389354010538,39,119,2007,39.79433059692383,-82.00991821289062,167748861010661.0,972.0,5.900000095367432
132,76389354010538,39,119,2007,39.79433059692383,-82.00991821289062,167748868010661.0,802.0,2.200000047683716
133,109827937010661,39,119,2008,39.897117614746094,-81.7420654296875,212655221010661.0,317.0,14.300000190734863
134,109827943010661,39,119,2008,39.78868865966797,-81.8708267211914,212655036010661.0,972.0,5.599999904632568
135,144953523010661,39,119,2009,40.072147369384766,-81.80039978027344,224993180010661.0,541.0,12.5
136,168995297010661,39,119,2010,40.032779693603516,-81.95429229736328,247579665010661.0,762.0,6.699999809265137
137,168995301010661,39,119,2010,40.12600326538086,-82.06681060791016,247579569010661.0,621.0,12.699999809265137
138,168995301010661,39,119,2010,40.12600326538086,-82.06681060791016,247579570010661.0,621.0,12.0
139,168995301010661,39,119,2010,40.12600326538086,-82.06681060791016,247579571010661.0,621.0,10.600000381469727
140,222444595010661,39,119,2011,40.14942932128906,-81.87405395507812,31289513020004.0,731.0,14.100000381469727
141,247063776010661,39,119,2012,39.79433059692383,-82.00991821289062,211871879020004.0,972.0,
142,375549825489998,39,119,2017,39.90700149536133,-81.78561401367188,530817987126144.0,762.0,9.5
143,463049006489998,39,119,2019,40.114227294921875,-81.8466567993164,657540813126144.0,701.0,
144,168995295010661,39,119,2010,40.09037780761719,-81.91073608398438,247579481010661.0,407.0,1.2000000476837158
145,222444697010661,39,119,2011,39.90700149536133,-81.78561401367188,31289192020004.0,901.0,
146,247063772010661,39,119,2012,40.0177116394043,-81.88178253173828,211871796020004.0,731.0,7.900000095367432
147,251630588489998,39,119,2015,39.95276641845703,-81.81658172607422,381539165489998.0,972.0,6.5
148,306266585489998,39,119,2016,40.0428466796875,-82.10480499267578,469326255489998.0,762.0,6.199999809265137
149,19152693010661,39,119,1991,40.00006866455078,-82.08319091796875,19152696010661.0,833.0,33.29999923706055
150,72756187010538,39,119,2006,39.788394927978516,-81.7330322265625,,,
151,19152442010661,39,119,1991,39.94451141357422,-81.91651916503906,19152458010661.0,762.0,8.699999809265137
152,19152847010661,39,119,1991,39.83340835571289,-81.7220687866211,19152878010661.0,972.0,6.199999809265137
153,19153010010661,39,119,1991,39.77785110473633,-82.02764129638672,19153033010661.0,832.0,9.399999618530273
154,19153849010661,39,119,1991,39.86117935180664,-81.86096954345703,19153890010661.0,802.0,6.099999904632568
155,19153804010661,39,119,1991,40.08340072631836,-81.88874053955078,19153843010661.0,931.0,3.0
156,19154065010661,39,119,1991,40.11117935180664,-82.1665267944336,19154099010661.0,837.0,1.0
157,19154347010661,39,119,1991,40.08340072631836,-82.13874816894531,19154386010661.0,972.0,1.2000000476837158
158,16232835020004,39,119,2013,39.78868865966797,-81.8708267211914,271068457489998.0,602.0,9.600000381469727
159,59797491010538,39,119,2002,39.79433059692383,-82.00991821289062,66257214010538.0,544.0,6.300000190734863
160,59797491010538,39,119,2002,39.79433059692383,-82.00991821289062,66257244010538.0,316.0,8.399999618530273
161,59797491010538,39,119,2002,39.79433059692383,-82.00991821289062,66257262010538.0,743.0,12.199999809265137
162,59807266010538,39,119,2003,39.78868865966797,-81.8708267211914,66283119010538.0,341.0,12.800000190734863
