,plot_sequence_number,plot_state_code,plot_county_code,measurement_year,latitude,longitude,tree_sequence_number,species_code,current_diameter
0,19157896010661,39,131,1991,39.02785110473633,-83.2776870727539,19157899010661.0,602.0,9.899999618530273
1,19157981010661,39,131,1991,39.16672897338867,-83.22212982177734,19157997010661.0,931.0,9.600000381469727
2,19158143010661,39,131,1991,38.94451904296875,-82.80545043945312,19158187010661.0,711.0,8.800000190734863
3,19158270010661,39,131,1991,38.9722900390625,-82.88877868652344,19158292010661.0,837.0,5.0
4,19158388010661,39,131,1991,38.9722900390625,-83.22212982177734,19158402010661.0,901.0,7.0
5,19158443010661,39,131,1991,39.13896179199219,-83.33323669433594,19158469010661.0,602.0,5.0
6,19158868010661,39,131,1991,39.11117935180664,-82.88878631591797,19158902010661.0,975.0,5.800000190734863
7,19159489010661,39,131,1991,38.9722900390625,-82.88877868652344,19159530010661.0,316.0,9.0
8,16232402020004,39,131,2013,39.08751678466797,-83.23765563964844,271061268489998.0,318.0,12.399999618530273
9,16232763020004,39,131,2014,39.187339782714844,-83.18743133544922,271065981489998.0,541.0,2.0
10,16233093020004,39,131,2014,39.076133728027344,-82.81544494628906,271076884489998.0,931.0,11.0
11,59799332010538,39,131,2001,39.18468475341797,-83.108154296875,66258992010538.0,316.0,10.899999618530273
12,59854680010538,39,131,2002,38.99494552612305,-83.15965270996094,66334246010538.0,316.0,1.2000000476837158
13,59864846010538,39,131,2004,39.02994155883789,-82.93707275390625,66365767010538.0,837.0,6.699999809265137
14,66417242010538,39,131,2005,39.102447509765625,-83.35199737548828,66417324010538.0,68.0,7.099999904632568
15,66417242010538,39,131,2005,39.102447509765625,-83.35199737548828,66417330010538.0,491.0,1.2000000476837158
16,109828307010661,39,131,2008,39.073734283447266,-83.1056900024414,212648430010661.0,621.0,8.699999809265137
17,168995475010661,39,131,2011,38.97616195678711,-82.92305755615234,247580507010661.0,316.0,
18,222444287010661,39,131,2011,39.065555572509766,-83.20018005371094,31290604020004.0,318.0,7.800000190734863
19,247063663010661,39,131,2012,39.18476867675781,-83.26393127441406,211868951020004.0,832.0,
20,247064014010661,39,131,2013,39.10896301269531,-82.81282806396484,211879188020004.0,711.0,
21,463048577489998,39,131,2018,39.15582275390625,-83.3283462524414,657548837126144.0,318.0,9.800000190734863
22,144954753010661,39,131,2009,39.09062194824219,-82.92677307128906,224920374010661.0,621.0,7.0
23,171867824020004,39,131,2014,39.126773834228516,-83.0797348022461,334953409489998.0,318.0,5.599999904632568
24,19159128010661,39,131,1991,39.05562973022461,-82.88877868652344,19159130010661.0,832.0,15.5
25,19159208010661,39,131,1990,39.13896179199219,-83.24990844726562,19159221010661.0,531.0,15.0
26,171867309020004,39,131,2015,39.1651725769043,-82.86856842041016,,,
27,19157896010661,39,131,1991,39.02785110473633,-83.2776870727539,19157911010661.0,316.0,6.900000095367432
28,19158143010661,39,131,1991,38.94451904296875,-82.80545043945312,19158190010661.0,132.0,5.800000190734863
29,19159308010661,39,131,1991,38.9722900390625,-82.91655731201172,19159328010661.0,316.0,6.099999904632568
30,19159489010661,39,131,1991,38.9722900390625,-82.88877868652344,19159512010661.0,316.0,10.100000381469727
