,plot_sequence_number,plot_state_code,plot_county_code,measurement_year,latitude,longitude,tree_sequence_number,species_code,current_diameter
0,16232352020004,39,141,2013,39.43417739868164,-83.1345443725586,,,
1,19163527010661,39,141,1990,39.44451141357422,-83.22212982177734,,,
2,19162591010661,39,141,1990,39.25006866455078,-82.91657257080078,19162595010661.0,330.0,13.800000190734863
3,19162698010661,39,141,1990,39.25006866455078,-83.16657257080078,19162730010661.0,762.0,15.5
4,19163455010661,39,141,1990,39.19451141357422,-82.94434356689453,19163474010661.0,833.0,14.100000381469727
5,19162089010661,39,141,1990,39.25006866455078,-83.30547332763672,19162109010661.0,318.0,6.599999904632568
6,19163234010661,39,141,1990,39.2222900390625,-82.97212219238281,19163278010661.0,802.0,9.899999618530273
7,19163758010661,39,141,1990,39.25006866455078,-82.94434356689453,19163790010661.0,832.0,10.300000190734863
8,19163918010661,39,141,1990,39.19451141357422,-83.2776870727539,19163936010661.0,901.0,3.0999999046325684
9,19163988010661,39,141,1990,39.38896179199219,-82.41654205322266,19164024010661.0,462.0,3.200000047683716
10,59856779010538,39,141,2002,39.223121643066406,-82.91252136230469,66336347010538.0,402.0,12.0
11,72762522010538,39,141,2006,39.17946243286133,-82.98001098632812,73957537010538.0,129.0,6.300000190734863
12,72762772010538,39,141,2006,39.28665542602539,-83.10712432861328,73957737010538.0,407.0,12.399999618530273
13,109828295010661,39,141,2008,39.38938903808594,-82.81504821777344,212648759010661.0,531.0,8.699999809265137
14,109828299010661,39,141,2008,39.371646881103516,-83.08319091796875,212648631010661.0,546.0,11.0
15,109828409010661,39,141,2008,39.21815490722656,-83.20838165283203,212648949010661.0,621.0,1.899999976158142
16,144954021010661,39,141,2009,39.31108093261719,-83.12694549560547,224920522010661.0,762.0,1.100000023841858
17,168995653010661,39,141,2010,39.442230224609375,-83.07038879394531,247581611010661.0,835.0,8.0
18,168995667010661,39,141,2010,39.27427673339844,-83.30706024169922,247581328010661.0,318.0,5.400000095367432
19,168995667010661,39,141,2010,39.27427673339844,-83.30706024169922,247581338010661.0,318.0,1.5
20,171867816020004,39,141,2014,39.345096588134766,-82.81938934326172,334953056489998.0,833.0,16.399999618530273
21,171867817020004,39,141,2015,39.2532844543457,-82.82583618164062,334953218489998.0,762.0,11.899999618530273
22,222443307010661,39,141,2012,39.2486457824707,-83.26399993896484,31291150020004.0,318.0,
23,247063731010661,39,141,2012,39.19657516479492,-82.9449691772461,211870897020004.0,318.0,13.600000381469727
24,306266052489998,39,141,2016,39.20805740356445,-83.34620666503906,469315953489998.0,403.0,
25,306266116489998,39,141,2016,39.27427673339844,-83.30706024169922,469316961489998.0,318.0,9.600000381469727
