,plot_sequence_number,plot_state_code,plot_county_code,measurement_year,latitude,longitude,tree_sequence_number,species_code,current_diameter
0,59857143010538,39,145,2005,38.789344787597656,-83.06657409667969,,,
1,16233143020004,39,145,2013,38.847129821777344,-82.66293334960938,271078051489998.0,621.0,11.899999618530273
2,306266518489998,39,145,2016,38.91123580932617,-82.80657958984375,469323866489998.0,132.0,4.5
3,306266518489998,39,145,2016,38.91123580932617,-82.80657958984375,469323848489998.0,621.0,2.4000000953674316
4,168995353010661,39,145,2010,38.82900619506836,-82.69735717773438,247582189010661.0,693.0,5.0
5,306266489489998,39,145,2016,38.82900619506836,-82.69735717773438,469323125489998.0,693.0,
6,16233148020004,39,145,2013,38.7393913269043,-82.75273132324219,271078274489998.0,621.0,5.699999809265137
7,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167432010661.0,491.0,3.799999952316284
8,222444371010661,39,145,2011,38.77311325073242,-83.0121078491211,,,
9,463048567489998,39,145,2018,38.675724029541016,-82.86129760742188,,,
10,16233143020004,39,145,2013,38.847129821777344,-82.66293334960938,271078072489998.0,837.0,5.800000190734863
11,168995353010661,39,145,2010,38.82900619506836,-82.69735717773438,247582187010661.0,407.0,13.100000381469727
12,16233148020004,39,145,2013,38.7393913269043,-82.75273132324219,271078285489998.0,391.0,4.599999904632568
13,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167446010661.0,693.0,2.4000000953674316
14,19165545010661,39,145,1991,38.86117935180664,-82.9999008178711,,,
15,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167430010661.0,621.0,4.300000190734863
16,59801049010538,39,145,2001,38.7879638671875,-82.95822143554688,,,
17,16233148020004,39,145,2013,38.7393913269043,-82.75273132324219,271078288489998.0,833.0,15.699999809265137
18,306266489489998,39,145,2016,38.82900619506836,-82.69735717773438,469323126489998.0,931.0,
19,306266518489998,39,145,2016,38.91123580932617,-82.80657958984375,469323846489998.0,802.0,4.900000095367432
20,168995479010661,39,145,2010,38.808326721191406,-82.99504089355469,,,
21,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167445010661.0,802.0,5.400000095367432
22,72764046010538,39,145,2006,38.82900619506836,-82.69735717773438,73958967010538.0,693.0,5.400000095367432
23,306266518489998,39,145,2016,38.91123580932617,-82.80657958984375,469323859489998.0,132.0,6.300000190734863
24,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167416010661.0,491.0,2.5999999046325684
25,306266489489998,39,145,2016,38.82900619506836,-82.69735717773438,469323123489998.0,407.0,
26,306266518489998,39,145,2016,38.91123580932617,-82.80657958984375,469323849489998.0,621.0,1.2999999523162842
27,247063691010661,39,145,2012,38.87168884277344,-82.78250885009766,,,
28,306266518489998,39,145,2016,38.91123580932617,-82.80657958984375,469323860489998.0,132.0,7.0
29,306266518489998,39,145,2016,38.91123580932617,-82.80657958984375,469323862489998.0,132.0,6.0
30,463049089489998,39,145,2018,38.87168884277344,-82.78250885009766,,,
31,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167447010661.0,491.0,2.200000047683716
32,16233148020004,39,145,2013,38.7393913269043,-82.75273132324219,271078281489998.0,541.0,11.300000190734863
33,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167433010661.0,391.0,1.5
34,66419598010538,39,145,2005,38.91123580932617,-82.80657958984375,,,
35,168995481010661,39,145,2010,38.72747039794922,-83.05101013183594,,,
36,19167739010661,39,145,1991,38.79332733154297,-82.96046447753906,,,
37,16233143020004,39,145,2013,38.847129821777344,-82.66293334960938,271078055489998.0,621.0,11.5
38,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167420010661.0,837.0,26.200000762939453
39,16233148020004,39,145,2013,38.7393913269043,-82.75273132324219,271078277489998.0,541.0,15.600000381469727
40,306266518489998,39,145,2016,38.91123580932617,-82.80657958984375,469323855489998.0,132.0,6.300000190734863
41,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167426010661.0,316.0,1.899999976158142
42,16233143020004,39,145,2013,38.847129821777344,-82.66293334960938,271078059489998.0,541.0,3.0999999046325684
43,171867973020004,39,145,2014,38.950225830078125,-82.97772979736328,,,
44,16233148020004,39,145,2013,38.7393913269043,-82.75273132324219,271078282489998.0,693.0,8.0
45,16233148020004,39,145,2013,38.7393913269043,-82.75273132324219,271078283489998.0,731.0,18.299999237060547
46,16233143020004,39,145,2013,38.847129821777344,-82.66293334960938,271078064489998.0,316.0,1.600000023841858
47,168995353010661,39,145,2010,38.82900619506836,-82.69735717773438,247582184010661.0,693.0,1.899999976158142
48,59857551010538,39,145,2004,38.90776062011719,-83.03229522705078,,,
49,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167449010661.0,693.0,1.2000000476837158
50,16233143020004,39,145,2013,38.847129821777344,-82.66293334960938,271078063489998.0,316.0,1.2000000476837158
51,16233148020004,39,145,2013,38.7393913269043,-82.75273132324219,271078291489998.0,621.0,14.600000381469727
52,16233143020004,39,145,2013,38.847129821777344,-82.66293334960938,271078056489998.0,316.0,10.199999809265137
53,59867326010538,39,145,2005,38.950225830078125,-82.97772979736328,,,
54,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167443010661.0,833.0,12.199999809265137
55,19165844010661,39,145,1991,38.77785110473633,-82.97212219238281,,,
56,16232902020004,39,145,2013,38.8184814453125,-82.87854766845703,,,
57,306266520489998,39,145,2016,38.808326721191406,-82.99504089355469,,,
58,306266518489998,39,145,2016,38.91123580932617,-82.80657958984375,469323856489998.0,132.0,6.800000190734863
59,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167439010661.0,621.0,6.699999809265137
60,16233148020004,39,145,2013,38.7393913269043,-82.75273132324219,271078271489998.0,975.0,5.0
61,306266672489998,39,145,2016,38.76747131347656,-82.7144546508789,,,
62,16233143020004,39,145,2013,38.847129821777344,-82.66293334960938,271078054489998.0,621.0,10.199999809265137
63,306266518489998,39,145,2016,38.91123580932617,-82.80657958984375,469323867489998.0,132.0,5.0
64,16233143020004,39,145,2013,38.847129821777344,-82.66293334960938,271078050489998.0,832.0,9.600000381469727
65,19166790010661,39,145,1991,38.80562973022461,-83.02767944335938,,,
66,306266518489998,39,145,2016,38.91123580932617,-82.80657958984375,469323868489998.0,132.0,5.5
67,59800841010538,39,145,2001,38.87168884277344,-82.78250885009766,,,
68,306266518489998,39,145,2016,38.91123580932617,-82.80657958984375,469323852489998.0,132.0,7.199999809265137
69,16233143020004,39,145,2013,38.847129821777344,-82.66293334960938,271078065489998.0,316.0,1.600000023841858
70,168995353010661,39,145,2010,38.82900619506836,-82.69735717773438,247582185010661.0,693.0,4.699999809265137
71,168995473010661,39,145,2010,38.91123580932617,-82.80657958984375,247582137010661.0,132.0,3.799999952316284
72,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167421010661.0,400.0,18.700000762939453
73,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167422010661.0,832.0,11.699999809265137
74,109828215010661,39,145,2008,38.8184814453125,-82.87854766845703,,,
75,306266518489998,39,145,2016,38.91123580932617,-82.80657958984375,469323858489998.0,132.0,6.400000095367432
76,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167440010661.0,833.0,8.699999809265137
77,16233143020004,39,145,2013,38.847129821777344,-82.66293334960938,271078062489998.0,316.0,2.9000000953674316
78,16233148020004,39,145,2013,38.7393913269043,-82.75273132324219,271078268489998.0,391.0,1.0
79,306266518489998,39,145,2016,38.91123580932617,-82.80657958984375,469323864489998.0,541.0,1.7000000476837158
80,222443449010661,39,145,2011,38.675724029541016,-82.86129760742188,,,
81,16233143020004,39,145,2013,38.847129821777344,-82.66293334960938,271078052489998.0,621.0,10.600000381469727
82,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167457010661.0,400.0,10.100000381469727
83,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167424010661.0,316.0,3.200000047683716
84,19167737010661,39,145,1991,38.79332733154297,-82.96046447753906,,,
85,19166786010661,39,145,1991,38.80562973022461,-82.9999008178711,,,
86,16233148020004,39,145,2013,38.7393913269043,-82.75273132324219,271078278489998.0,621.0,12.0
87,306266489489998,39,145,2016,38.82900619506836,-82.69735717773438,469323122489998.0,693.0,
88,16233143020004,39,145,2013,38.847129821777344,-82.66293334960938,271078066489998.0,316.0,1.2999999523162842
89,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167456010661.0,400.0,13.5
90,16233148020004,39,145,2013,38.7393913269043,-82.75273132324219,271078280489998.0,621.0,12.0
91,16233148020004,39,145,2013,38.7393913269043,-82.75273132324219,271078273489998.0,531.0,11.399999618530273
92,306266518489998,39,145,2016,38.91123580932617,-82.80657958984375,469323861489998.0,132.0,5.699999809265137
93,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167413010661.0,837.0,7.800000190734863
94,16233143020004,39,145,2013,38.847129821777344,-82.66293334960938,271078057489998.0,541.0,2.4000000953674316
95,19165547010661,39,145,1991,38.83340835571289,-82.91655731201172,19165552010661.0,132.0,1.0
96,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167414010661.0,693.0,4.800000190734863
97,16233148020004,39,145,2013,38.7393913269043,-82.75273132324219,271078265489998.0,975.0,7.099999904632568
98,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167431010661.0,491.0,4.0
99,16233148020004,39,145,2013,38.7393913269043,-82.75273132324219,271078289489998.0,391.0,5.599999904632568
100,168995353010661,39,145,2010,38.82900619506836,-82.69735717773438,247582190010661.0,931.0,1.100000023841858
101,306266489489998,39,145,2016,38.82900619506836,-82.69735717773438,469323124489998.0,931.0,
102,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167442010661.0,802.0,6.699999809265137
103,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167415010661.0,693.0,3.0999999046325684
104,16233148020004,39,145,2013,38.7393913269043,-82.75273132324219,271078287489998.0,621.0,6.5
105,306266518489998,39,145,2016,38.91123580932617,-82.80657958984375,469323863489998.0,132.0,5.199999809265137
106,168995353010661,39,145,2010,38.82900619506836,-82.69735717773438,247582188010661.0,931.0,5.400000095367432
107,16233143020004,39,145,2013,38.847129821777344,-82.66293334960938,271078061489998.0,837.0,1.100000023841858
108,306266489489998,39,145,2016,38.82900619506836,-82.69735717773438,469323120489998.0,693.0,
109,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167412010661.0,693.0,6.0
110,16233148020004,39,145,2013,38.7393913269043,-82.75273132324219,271078279489998.0,621.0,9.899999618530273
111,16233148020004,39,145,2013,38.7393913269043,-82.75273132324219,271078286489998.0,621.0,13.199999809265137
112,16233148020004,39,145,2013,38.7393913269043,-82.75273132324219,271078275489998.0,975.0,6.300000190734863
113,19167410010661,39,145,1991,38.77785110473633,-82.91655731201172,19167458010661.0,316.0,7.300000190734863
114,72764046010538,39,145,2006,38.82900619506836,-82.69735717773438,73958969010538.0,407.0,12.5
115,72764046010538,39,145,2006,38.82900619506836,-82.69735717773438,73958963010538.0,693.0,1.600000023841858
116,306266518489998,39,145,2016,38.91123580932617,-82.80657958984375,469323851489998.0,132.0,5.0
117,16233143020004,39,145,2013,38.847129821777344,-82.66293334960938,271078070489998.0,762.0,7.699999809265137
