,plot_sequence_number,plot_state_code,plot_county_code,measurement_year,latitude,longitude,tree_sequence_number,species_code,current_diameter
0,19173958010661,39,163,1991,39.33340072631836,-82.72210693359375,19173994010661.0,832.0,17.700000762939453
1,19173681010661,39,163,1991,39.33340072631836,-82.38876342773438,19173688010661.0,802.0,10.199999809265137
2,19172924010661,39,163,1991,39.33340072631836,-82.69432830810547,19172935010661.0,802.0,10.899999618530273
3,19172924010661,39,163,1991,39.33340072631836,-82.69432830810547,19172936010661.0,802.0,9.899999618530273
4,19172984010661,39,163,1991,39.27785110473633,-82.61100006103516,19172998010661.0,316.0,5.199999809265137
5,19173495010661,39,163,1991,39.36117935180664,-82.61100006103516,19173507010661.0,400.0,7.800000190734863
6,19173681010661,39,163,1991,39.33340072631836,-82.38876342773438,19173691010661.0,802.0,9.699999809265137
7,19173781010661,39,163,1991,39.25006866455078,-82.61100006103516,19173822010661.0,802.0,7.199999809265137
8,19173724010661,39,163,1991,39.36117935180664,-82.30542755126953,19173766010661.0,316.0,3.5
9,19174675010661,39,163,1991,39.13896179199219,-82.36099243164062,19174720010661.0,400.0,4.0
10,16233046020004,39,163,2013,39.354862213134766,-82.36129760742188,271075230489998.0,316.0,12.0
11,16233139020004,39,163,2013,39.316986083984375,-82.59333801269531,271077817489998.0,541.0,7.800000190734863
12,72768314010538,39,163,2006,39.21538543701172,-82.47183227539062,73963191010538.0,931.0,5.0
13,72768476010538,39,163,2006,39.208091735839844,-82.296875,73963319010538.0,693.0,9.300000190734863
14,72768581010538,39,163,2006,39.278419494628906,-82.43638610839844,73963410010538.0,731.0,6.0
15,109828075010661,39,163,2008,39.277584075927734,-82.36978149414062,212651784010661.0,318.0,
16,168995335010661,39,163,2010,39.286399841308594,-82.47566223144531,247583942010661.0,901.0,7.800000190734863
17,222444531010661,39,163,2011,39.21538543701172,-82.47183227539062,31293035020004.0,316.0,8.399999618530273
18,247063787010661,39,163,2012,39.17546844482422,-82.45448303222656,211872373020004.0,316.0,10.0
19,251630670489998,39,163,2015,39.125030517578125,-82.38508605957031,381542079489998.0,975.0,
20,306266535489998,39,163,2016,39.06550979614258,-82.35511779785156,469324710489998.0,541.0,13.300000190734863
21,306266608489998,39,163,2016,39.18792724609375,-82.31978607177734,469327025489998.0,531.0,3.5
22,375549897489998,39,163,2017,39.30242156982422,-82.60913848876953,530820413126144.0,833.0,7.099999904632568
23,375549897489998,39,163,2017,39.30242156982422,-82.60913848876953,530820427126144.0,621.0,3.5
24,375549899489998,39,163,2017,39.319091796875,-82.72833251953125,530820494126144.0,316.0,
25,375549959489998,39,163,2017,39.278419494628906,-82.43638610839844,530822845126144.0,621.0,
26,171868093020004,39,163,2014,39.08939743041992,-82.42851257324219,334961270489998.0,316.0,1.100000023841858
