,accuracy,recall,precision
balsam fir,0.0,0.8709167544783983,0.8024271844660195
loblolly pine,0.0,0.8158869067653989,0.7169476486246673
northern white-cedar,0.0,0.8609143593045718,0.8767213114754099
paper birch,0.0,0.35546875,0.8029411764705883
quaking aspen,0.0,0.8940613990941118,0.7930803571428572
red maple,0.0,0.7935435435435435,0.6799926477345832
slash pine,0.0,0.5543246697912229,0.8318414322250639
sugar maple,0.0,0.9135982856029612,0.9441312663579625
sweetgum,0.0,0.52065154159395,0.6537618699780862
yellow-poplar,0.0,0.8188661710037175,0.8232271325796505
Total,0.7605547424907659,0.7398232381177876,0.7925072027054888
