,accuracy,recall,precision
balsam fir,0.0,0.8977871443624869,0.84106614017769
loblolly pine,0.0,0.8336138225064512,0.7159375602235498
northern white-cedar,0.0,0.9040566645202833,0.8775
paper birch,0.0,0.4332682291666667,0.6822142491030241
quaking aspen,0.0,0.9028686462003019,0.8332559219693451
red maple,0.0,0.7623873873873874,0.6656833824975418
slash pine,0.0,0.7072858968896464,0.7149009474590869
sugar maple,0.0,0.9183713228131697,0.9615502294747578
sweetgum,0.0,0.4463835563312003,0.6852210150319988
yellow-poplar,0.0,0.841635687732342,0.8027657122595515
Total,0.7585476339814621,0.7647658357909937,0.7780095158196547
