,state_county,physiographic_class_code,growingstock_stocking_code,state_code,county_code
0,009009,2.0,2.0,9,9
1,009005,2.0,2.0,9,5
2,009011,2.0,3.0,9,11
3,009013,2.0,2.0,9,13
4,024045,2.0,2.0,24,45
5,024025,2.0,2.0,24,25
6,024039,2.0,2.0,24,39
7,024001,2.0,2.0,24,1
8,024037,2.0,2.0,24,37
9,024003,2.0,2.0,24,3
10,024015,2.0,2.0,24,15
11,033017,2.0,3.0,33,17
12,033007,2.0,2.0,33,7
13,033011,2.0,2.0,33,11
14,033019,2.0,2.0,33,19
15,033013,2.0,2.0,33,13
16,033009,2.0,2.0,33,9
17,034023,2.0,2.0,34,23
18,034027,2.0,2.0,34,27
19,034015,2.0,2.0,34,15
20,034037,2.0,2.0,34,37
21,034019,2.0,2.0,34,19
22,034005,2.0,3.0,34,5
23,034035,2.0,3.0,34,35
24,050003,2.0,2.0,50,3
25,050025,2.0,2.0,50,25
26,050005,2.0,2.0,50,5
27,050021,2.0,2.0,50,21
28,050009,2.0,3.0,50,9
29,033003,2.0,2.0,33,3
30,033005,2.0,2.0,33,5
31,033015,2.0,2.0,33,15
32,025003,2.0,2.0,25,3
33,025009,2.0,2.0,25,9
34,025023,2.0,3.0,25,23
35,025027,2.0,2.0,25,27
36,025011,2.0,2.0,25,11
37,024047,2.0,2.0,24,47
38,024019,2.0,2.0,24,19
39,024013,2.0,2.0,24,13
40,024021,2.0,3.0,24,21
41,024005,2.0,2.0,24,5
42,024023,2.0,3.0,24,23
43,034025,2.0,3.0,34,25
44,034031,2.0,2.0,34,31
45,034033,2.0,2.0,34,33
46,034007,2.0,3.0,34,7
47,034021,2.0,2.0,34,21
48,034001,2.0,3.0,34,1
49,009007,2.0,2.0,9,7
50,034029,2.0,3.0,34,29
51,034011,2.0,3.0,34,11
52,050027,2.0,2.0,50,27
53,050019,2.0,2.0,50,19
54,050017,2.0,2.0,50,17
55,050015,2.0,2.0,50,15
56,010005,2.0,2.0,10,5
57,010001,2.0,2.0,10,1
58,010003,2.0,3.0,10,3
59,033001,2.0,2.0,33,1
60,025017,2.0,2.0,25,17
61,024031,2.0,3.0,24,31
62,024033,2.0,2.0,24,33
63,024029,2.0,2.0,24,29
64,050001,2.0,2.0,50,1
65,024043,2.0,3.0,24,43
66,025015,2.0,2.0,25,15
67,025013,2.0,3.0,25,13
68,009003,2.0,2.0,9,3
69,024017,2.0,2.0,24,17
70,034041,2.0,3.0,34,41
71,034009,2.0,3.0,34,9
72,050011,2.0,2.0,50,11
73,050023,2.0,3.0,50,23
74,024009,2.0,2.0,24,9
75,024041,2.0,2.0,24,41
76,009015,2.0,2.0,9,15
77,025005,2.0,3.0,25,5
78,025021,2.0,3.0,25,21
79,025001,2.0,4.0,25,1
80,044007,2.0,2.0,44,7
81,044003,2.0,2.0,44,3
82,044009,2.0,2.0,44,9
83,044005,2.0,3.0,44,5
84,034003,2.0,2.0,34,3
85,024035,2.0,3.0,24,35
86,024027,2.0,2.0,24,27
87,009001,2.0,2.0,9,1
88,050007,2.0,2.0,50,7
89,050013,2.0,2.0,50,13
90,025007,2.0,5.0,25,7
91,024011,2.0,2.0,24,11
92,015001,2.0,2.0,15,1
93,044001,2.0,2.0,44,1
94,015003,2.0,2.0,15,3
95,015009,2.0,2.0,15,9
96,015007,2.0,2.0,15,7
97,024510,2.0,4.0,24,510
98,025019,2.0,5.0,25,19
99,034039,2.0,3.0,34,39
100,034013,2.0,3.0,34,13
101,034017,2.0,4.0,34,17
102,025025,0.0,0.0,25,25
103,015005,0.0,0.0,15,5
104,001023,2.0,3.0,1,23
105,001125,2.0,3.0,1,125
106,001127,2.0,3.0,1,127
107,001123,2.0,3.0,1,123
108,001119,2.0,3.0,1,119
109,001121,2.0,3.0,1,121
110,001081,2.0,3.0,1,81
111,001027,2.0,3.0,1,27
112,001117,2.0,2.0,1,117
113,001041,2.0,3.0,1,41
114,001013,2.0,3.0,1,13
115,001053,2.0,3.0,1,53
116,001065,2.0,3.0,1,65
117,001007,2.0,3.0,1,7
118,001063,2.0,3.0,1,63
119,001131,2.0,3.0,1,131
120,001075,2.0,3.0,1,75
121,001017,2.0,3.0,1,17
122,001093,2.0,3.0,1,93
123,001047,2.0,3.0,1,47
124,001099,2.0,3.0,1,99
125,001105,2.0,3.0,1,105
126,001025,2.0,3.0,1,25
127,001031,2.0,3.0,1,31
128,001037,2.0,3.0,1,37
129,001107,2.0,3.0,1,107
130,001005,2.0,3.0,1,5
131,001059,2.0,3.0,1,59
132,001129,2.0,3.0,1,129
133,001003,2.0,3.0,1,3
134,001101,2.0,3.0,1,101
135,001001,2.0,3.0,1,1
136,001021,2.0,3.0,1,21
137,001019,2.0,3.0,1,19
138,001097,2.0,3.0,1,97
139,001049,2.0,3.0,1,49
140,001051,2.0,3.0,1,51
141,001085,2.0,3.0,1,85
142,001073,2.0,3.0,1,73
143,001089,2.0,3.0,1,89
144,001067,2.0,3.0,1,67
145,001091,2.0,3.0,1,91
146,001015,2.0,3.0,1,15
147,001111,2.0,3.0,1,111
148,001039,2.0,3.0,1,39
149,001035,2.0,3.0,1,35
150,001029,2.0,3.0,1,29
151,001043,2.0,3.0,1,43
152,001109,2.0,3.0,1,109
153,001057,2.0,3.0,1,57
154,001113,2.0,3.0,1,113
155,001133,2.0,3.0,1,133
156,001061,2.0,3.0,1,61
157,001115,2.0,3.0,1,115
158,001009,2.0,3.0,1,9
159,001011,2.0,3.0,1,11
160,001103,2.0,3.0,1,103
161,001069,2.0,3.0,1,69
162,001087,2.0,3.0,1,87
163,001079,2.0,3.0,1,79
164,001077,2.0,3.0,1,77
165,001071,2.0,3.0,1,71
166,001033,2.0,3.0,1,33
167,001045,2.0,3.0,1,45
168,001055,2.0,3.0,1,55
169,001095,2.0,3.0,1,95
170,001083,2.0,3.0,1,83
171,002110,2.0,3.0,2,110
