"CN","STATECD","COUNTYCD","PLOT","MEASYEAR","INVYR","CONDID","EVALID","PLT_CN","CND_CN","STRATUM_CN","PHASE","CONDPROP_CWD","CONDPROP_FWD_SM","CONDPROP_FWD_MD","CONDPROP_FWD_LG","CONDPROP_DUFF","CWD_TL_COND","CWD_TL_UNADJ","CWD_TL_ADJ","CWD_LPA_COND","CWD_LPA_UNADJ","CWD_LPA_ADJ","CWD_VOLCF_COND","CWD_VOLCF_UNADJ","CWD_VOLCF_ADJ","CWD_DRYBIO_COND","CWD_DRYBIO_UNADJ","CWD_DRYBIO_ADJ","CWD_CARBON_COND","CWD_CARBON_UNADJ","CWD_CARBON_ADJ","FWD_SM_TL_COND","FWD_SM_TL_UNADJ","FWD_SM_TL_ADJ","FWD_SM_CNT_COND","FWD_SM_VOLCF_COND","FWD_SM_VOLCF_UNADJ","FWD_SM_VOLCF_ADJ","FWD_SM_DRYBIO_COND","FWD_SM_DRYBIO_UNADJ","FWD_SM_DRYBIO_ADJ","FWD_SM_CARBON_COND","FWD_SM_CARBON_UNADJ","FWD_SM_CARBON_ADJ","FWD_MD_TL_COND","FWD_MD_TL_UNADJ","FWD_MD_TL_ADJ","FWD_MD_CNT_COND","FWD_MD_VOLCF_COND","FWD_MD_VOLCF_UNADJ","FWD_MD_VOLCF_ADJ","FWD_MD_DRYBIO_COND","FWD_MD_DRYBIO_UNADJ","FWD_MD_DRYBIO_ADJ","FWD_MD_CARBON_COND","FWD_MD_CARBON_UNADJ","FWD_MD_CARBON_ADJ","FWD_LG_TL_COND","FWD_LG_TL_UNADJ","FWD_LG_TL_ADJ","FWD_LG_CNT_COND","FWD_LG_VOLCF_COND","FWD_LG_VOLCF_UNADJ","FWD_LG_VOLCF_ADJ","FWD_LG_DRYBIO_COND","FWD_LG_DRYBIO_UNADJ","FWD_LG_DRYBIO_ADJ","FWD_LG_CARBON_COND","FWD_LG_CARBON_UNADJ","FWD_LG_CARBON_ADJ","PILE_SAMPLE_AREA_COND","PILE_SAMPLE_AREA_UNADJ","PILE_SAMPLE_AREA_ADJ","PILE_VOLCF_COND","PILE_VOLCF_UNADJ","PILE_VOLCF_ADJ","PILE_DRYBIO_COND","PILE_DRYBIO_UNADJ","PILE_DRYBIO_ADJ","PILE_CARBON_COND","PILE_CARBON_UNADJ","PILE_CARBON_ADJ","FUEL_DEPTH","FUEL_BIOMASS","FUEL_CARBON","DUFF_DEPTH","DUFF_BIOMASS","DUFF_CARBON","LITTER_DEPTH","LITTER_BIOMASS","LITTER_CARBON","DUFF_TC_COND","DUFF_TC_UNADJ","DUFF_TC_ADJ","AVG_WOOD_DENSITY","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE","UNITCD","RSCD","PILE_TL_COND","PILE_TL_UNADJ","PILE_TL_ADJ","CONDPROP_PILE"
"670704183126144",39,3,3725,2005,2005,1,391007,"66431192010538","66431195010538","30462204020004","",1,1,1,1,1,288,288,288,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,0,0,0,0,0,0,0,0,0,0,24,24,24,0,0,0,0,0,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0.1661669,0.1661669,0.1661669,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,12,12,12,28.08,"",2019-06-14,"126144","",2019-06-14,"126144",5,5,6,24,0,0,0,1
"670704187126144",39,5,4221,2005,2005,1,391007,"66431340010538","66431343010538","30462204020004","",1,1,1,1,1,288,288,288,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,0,0,0,0,0,0,0,0,0,0,24,24,24,0,0,0,0,0,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0.1661669,0.1661669,0.1661669,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,12,12,12,28.08,"",2019-06-14,"126144","",2019-06-14,"126144",5,5,4,24,0,0,0,1
"670704194126144",39,5,4502,2005,2005,1,391007,"66431354010538","66431357010538","30462204020004","",1,1,1,1,1,288,288,288,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,0,0,0,0,0,0,0,0,0,0,24,24,24,0,0,0,0,0,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0.1661669,0.1661669,0.1661669,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,12,12,12,28.08,"",2019-06-14,"126144","",2019-06-14,"126144",5,5,4,24,0,0,0,1
"670704257126144",39,21,2936,2005,2005,2,391007,"66401283010538","66401287010538","30462204020004","",0.267361111111,0.291666666667,0.291666666667,0.375,0.333333333333,77,288,288,0,0,0,0,0,0,0,0,0,0,0,0,7,24,24,13,5.24588728435868571428571428571428571429E00,1.53005045793795,1.53005045793795,1.37670075697696106595173610426861186825E02,4.01537720784946977569256363745011794906E01,4.01537720784946977569256363745011794906E01,6.88350378488480532975868052134305934125E01,2.00768860392473488784628181872505897453E01,2.00768860392473488784628181872505897453E01,7,24,24,4,4.99560178332562285714285714285714285714E01,14.5705052013664,14.5705052013664,1.31101725673097753576060202177524900885E03,3.82380033213201781263508923017780960913E02,3.82380033213201781263508923017780960913E02,6.55508628365488767880301010887624504423E02,1.91190016606600890631754461508890480457E02,1.91190016606600890631754461508890480457E02,15,40,40,1,69.386793859864,26.020047697449,26.020047697449,1.82094746709292133011030673349547387796E03,6.82855300159845498791365025060802704236E02,6.82855300159845498791365025060802704236E02,9.10473733546460665055153366747736938982E02,3.41427650079922749395682512530401352118E02,3.41427650079922749395682512530401352118E02,0.05055013115,0.1661669,0.1661669,0,0,0,0,0,0,0,0,0,0.2,,,0.2,5713.62,2856.81,0.7,7775.46,3887.73,4,12,12,30.8746235211,"",2019-06-14,"126144","",2019-06-14,"126144",5,5,6,24,0,0,0,0.304213000002
"670704206126144",39,9,1034,2005,2005,1,391007,"66399146010538","66399148010538","30462204020004","",1,1,1,1,1,288,288,288,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,0,0,0,0,0,0,0,0,0,0,24,24,24,0,0,0,0,0,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0.1661669,0.1661669,0.1661669,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,12,12,12,28.08,"",2019-06-14,"126144","",2019-06-14,"126144",5,5,2,24,0,0,0,1
"670704235126144",39,15,4442,2005,2005,1,391007,"66400505010538","66400507010538","30462205020004","",0.5,0.498756211208,0.498756211208,0.498756211209,0.5,144,288,285.1524752475,0,0,0,0,0,0,0,0,0,0,0,0,11.9404462825,23.9404462825,23.7020108238,30,7.09699236754202114136934479358309528914E00,3.53966902420786850648405543427626765411E00,3.57527708353544361149899666573942170654E00,2.05320908950714050550972823721763230132E02,1.02405078630055810021882463522860123257E02,1.03435244470524481425033040609447423576E02,1.02660454475357025275486411860881615066E02,5.12025393150279050109412317614300616285E01,5.1717622235262240712516520304723711788E01,11.9404462825,23.9404462825,23.7020108238,15,1.09823823758153237184080937638102891403E02,5.4775314237999633033090823742358393155E01,5.53263382534468806087533995857744729348E01,3.17727935309542017610441866784022772083E03,1.5846878120995081141819327767876285529E03,1.60062931884576449469563614486766519073E03,1.58863967654771008805220933392011386042E03,7.9234390604975405709096638839381427645E02,8.00314659422882247347818072433832595364E02,19.9007438042,39.9007438042,39.503351373,4,2.09198594411994083531170571080317289521E02,1.04339098339155232952658287231106702186E02,1.05388719865474310375334731437313141715E02,6.05226035641894347805970504840503303733E03,3.01860244461738827924458187363091132518E03,3.04896872298957546495979793055088575029E03,3.02613017820947173902985252420251651867E03,1.50930122230869413962229093681545566259E03,1.52448436149478773247989896527544287515E03,0.08308345,0.1661669,0.164747823157,0,0,0,0,0,0,0,0,0,2.21666666666666666666666666666666666667E00,,,1.33333333333333333333333333333333333333E-01,5.44016000000000000000000000000000000001E03,2.72008000000000000000000000000000000001E03,1.23333333333333333333333333333333333333E00,1.95644899999999999999999999999999999999E04,9.78224499999999999999999999999999999995E03,6,12,11.881188118812,34.0361096674,"",2019-06-14,"126144","",2019-06-14,"126144",5,5,1,24,0,0,0,0.5
"670704236126144",39,15,4442,2005,2005,2,391007,"66400505010538","66400509010538","30462205020004","",0.5,0.501243788791,0.501243788791,0.501243788791,0.5,144,288,285.1524752475,0,0,0,0,0,0,0,0,0,0,0,0,12,23.9404462825,23.7020108238,0,0,0,0,0,0,0,0,0,0,12,23.9404462825,23.7020108238,0,0,0,0,0,0,0,0,0,0,20,39.9007438042,39.503351373,0,0,0,0,0,0,0,0,0,0,0.08308345,0.1661669,0.164747823157,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,6,12,11.881188118812,28.08,"",2019-06-14,"126144","",2019-06-14,"126144",5,5,1,24,0,0,0,0.5
"670704246126144",39,19,1299,2005,2005,1,391007,"66400768010538","66400770010538","30462205020004","",0.79375,0.999999999999,0.999999999999,1,0.833333333333,228.6,288,285.1524752475,1.00366482939632545931758530183727034121E02,7.96658958333333333333333333333333333334E01,8.04614372717044623032344361388058139813E01,1.09379452496062992125984251968503937008E02,8.681994041875E01,8.76869219490214352692260146782931434175E01,1.55050957162834015748031496062992125984E03,1230.716972479995,1.24300687822037371856943110925438736206E03,7.61300199669515017322834645669291338582E02,604.282033487677545,6.10316377206203495817590674643904194769E02,23.9404462825,23.9404462825,23.7020108238,90,1.06190070726324188772983455347163284445E01,1.06190070726236055194521663028288029623E01,1.07258312506063308344969899972182651196E01,2.83947908046046889053788035818876239871E02,2.83947908045811223467903513391354011283E02,2.86804342895083256337776602179534671201E02,1.41973954023023444526894017909438119936E02,1.41973954022905611733951756695677005642E02,1.43402171447541628168888301089767335601E02,23.9404462825,23.9404462825,23.7020108238,12,4.38202513904360755101140834382438584768E01,4.3820251390399706426472658993886714524E01,4.42610706027575044870027196686195783478E01,1.1717356083539835300512471065096520447E03,1.17173560835301103562244603748632624771E03,1.18352293388348303689016066799082351587E03,5.85867804176991765025623553254826022348E02,5.85867804176505517811223018743163123857E02,5.91761466941741518445080333995411757933E02,39.9007438042,39.9007438042,39.503351373,12,3.1301729501746399426585755085807193114E02,3.13017295017465698857974861693320106557E02,3.16166159596422931126004194311939425145E02,8.36995450652882662103599192530341324947E03,8.36995450652887220113236737743054249773E03,8.4541538581066232817086908615208991953E03,4.18497725326441331051799596265170662474E03,4.18497725326443610056618368871527124887E03,4.22707692905331164085434543076044959765E03,0.138199847562,0.1661669,0.164747823157,6.20591771199871558375506346692830166901E03,5161.41831964534776,5.20587686890906753692222863815940630554E03,1.36659519808378308796029402261801965763E05,1.13658766007989580777496081655324862311E05,1.14637780599499577452836333555365636235E05,6.91497170230394242507908775444717946761E04,5.75113356000427278734130173175943803295E04,5.80067169833467861911351847790150119348E04,0.56,,,0.72,30082.536,15041.268,1.09,17686.449,8843.2245,10,12,11.881188118812,31.4583425853,"",2019-06-14,"126144","",2019-06-14,"126144",5,5,3,24,0,0,0,0.831693000002
"670704247126144",39,19,1299,2005,2005,2,391007,"66400768010538","66400772010538","30462205020004","",0.20625,0,0,0,0.166666666667,59.4,288,285.1524752475,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9404462825,23.7020108238,,,,,,,,,,,0,23.9404462825,23.7020108238,,,,,,,,,,,0,39.9007438042,39.503351373,,,,,,,,,,,0.027967052438,0.1661669,0.164747823157,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,2,12,11.881188118812,28.08,"",2019-06-14,"126144","",2019-06-14,"126144",5,5,3,24,0,0,0,0.168306999998
"670704258126144",39,21,2936,2005,2005,1,391007,"66401283010538","66401285010538","30462204020004","",0.732638888889,0.708333333333,0.708333333333,0.625,0.666666666667,211,288,288,0,0,0,0,0,0,0,0,0,0,0,0,17,24,24,0,0,0,0,0,0,0,0,0,0,17,24,24,0,0,0,0,0,0,0,0,0,0,25,40,40,0,0,0,0,0,0,0,0,0,0,0.11561676885,0.1661669,0.1661669,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,8,12,12,28.08,"",2019-06-14,"126144","",2019-06-14,"126144",5,5,6,24,0,0,0,0.695786999998
