"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","SUBP","TRANSECT","CWDID","MEASYEAR","CONDID","SLOPDIST","HORIZ_DIST","SPCD","DECAYCD","TRANSDIA","SMALLDIA","LARGEDIA","LENGTH","HOLLOWCD","CWDHSTCD","VOLCF","DRYBIO","CARBON","COVER_PCT","LPA_UNADJ","LPA_PLOT","LPA_COND","LPA_UNADJ_RGN","LPA_PLOT_RGN","LPA_COND_RGN","COVER_PCT_RGN","CHARRED_CD","ORNTCD_PNWRS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CWD_SAMPLE_METHOD","HOLLOW_DIA","HORIZ_DIST_CD","INCLINATION","LARGE_END_DIA_CLASS","LENGTH_CD","VOLCF_AC_UNADJ","VOLCF_AC_PLOT","VOLCF_AC_COND","DRYBIO_AC_UNADJ","DRYBIO_AC_PLOT","DRYBIO_AC_COND","CARBON_AC_UNADJ","CARBON_AC_PLOT","CARBON_AC_COND"
"76457474010538","59780449010538",2001,39,1,561,1,150,1,2001,1,16,16,998,4,3,3,4,4,"N",3,2.72708333333333333333333333333333333333E-01,3.7165128,1.8248077848,2.38619791666666666666666666666666666667E-01,89.0938125,89.0938125,89.0938125,,,,,,"","",2007-11-19,"10661","",2019-06-14,"126144","9",,,,,,24.2966251171875,24.2966251171875,24.2966251171875,331.11829455705,331.11829455705,331.11829455705,162.57908262751155,162.57908262751155,162.57908262751155
"76457478010538","59780449010538",2001,39,1,561,3,150,1,2001,1,11.3,11.243920249373,316,3,3,3,5,12,"N",1,1.11265,19.8338852712,9.7384376681592,2.72708333333333333333333333333333333333E-01,2.96979375E01,2.96979375E01,2.96979375E01,,,,,,"","",2007-11-19,"10661","",2019-06-14,"126144","9",,,,,,3.3043410159375E01,3.3043410159375E01,3.3043410159375E01,589.02548516626815,589.02548516626815,589.02548516626815,289.21151321663766165,289.21151321663766165,289.21151321663766165
"76457891010538","59781089010538",2001,39,7,120,1,150,1,2001,1,9.5,9.5,316,3,5,5,5,4,"N",2,5.45416666666666666666666666666666666667E-01,9.72249278,4.77374395498,3.40885416666666666666666666666666666667E-01,89.0938125,89.0938125,89.0938125,,,,,,"","",2007-11-19,"10661","",2019-06-14,"126144","9",,,,,,48.593250234375,48.593250234375,48.593250234375,866.21394877392375,866.21394877392375,866.21394877392375,425.31104884799656125,425.31104884799656125,425.31104884799656125
"76457893010538","59781089010538",2001,39,7,120,4,270,1,2001,1,19.4,19.4,371,3,6,3,6,14,"N",2,1.7180625,41.86437255,20.55540692205,0.306796875,25.455375,25.455375,25.455375,,,,,,"","",2007-11-19,"10661","",2019-06-14,"126144","9",,,,,,43.7339252109375,43.7339252109375,43.7339252109375,1065.67330239995625,1065.67330239995625,1065.67330239995625,523.24559147837851875,523.24559147837851875,523.24559147837851875
"76457894010538","59781089010538",2001,39,7,120,4,270,2,2001,1,21.2,21.2,371,3,5,3,6,12,"N",2,1.472625,35.8837479,17.6189202189,0.306796875,2.96979375E01,2.96979375E01,2.96979375E01,,,,,,"","",2007-11-19,"10661","",2019-06-14,"126144","9",,,,,,4.37339252109375E01,4.37339252109375E01,4.37339252109375E01,1065.67330239995625,1065.67330239995625,1065.67330239995625,523.24559147837851875,523.24559147837851875,523.24559147837851875
"76457895010538","59781089010538",2001,39,7,120,4,270,3,2001,1,21.8,21.8,371,3,5,3,6,11,"N",2,1.34990625,32.893435575,16.150676867325,0.306796875,32.39775,32.39775,32.39775,,,,,,"","",2007-11-19,"10661","",2019-06-14,"126144","9",,,,,,43.7339252109375,43.7339252109375,43.7339252109375,1065.67330239995625,1065.67330239995625,1065.67330239995625,523.24559147837851875,523.24559147837851875,523.24559147837851875
"76457896010538","59781089010538",2001,39,7,120,4,270,4,2001,1,22.8,22.8,371,3,5,3,6,15,"N",2,1.84078125,44.854684875,22.023650273625,0.306796875,2.375835E01,2.375835E01,2.375835E01,,,,,,"","",2007-11-19,"10661","",2019-06-14,"126144","9",,,,,,4.37339252109375E01,4.37339252109375E01,4.37339252109375E01,1065.67330239995625,1065.67330239995625,1065.67330239995625,523.24559147837851875,523.24559147837851875,523.24559147837851875
"76457546010538","59784375010538",2001,39,25,401,2,30,1,2001,1,5,5,403,3,3,3,7,37,"N",2,5.85232083333333333333333333333333333333E00,108.45989154,53.25380674614,4.54513888888888888888888888888888888889E-01,9.63176351351351351351351351351351351352E00,9.63176351351351351351351351351351351352E00,1.28423513513513513513513513513513513513E01,,,,,,"","",2007-11-19,"10661","",2019-06-14,"126144","9",,,,,,5.6368170271875E01,5.6368170271875E01,7.51575603624999999999999999999999999998E01,1.044660026014605E03,1.044660026014605E03,1.39288003468614E03,512.928072773171055,512.928072773171055,6.83904097030894739999999999999999999998E02
"76457547010538","59784375010538",2001,39,25,401,2,30,2,2001,1,14,14,998,4,3,3,3,7,"N",1,0.3436125,4.682806128,2.299257808848,2.72708333333333333333333333333333333333E-01,50.91075,50.91075,6.78809999999999999999999999999999999998E01,,,,,,"","",2007-11-19,"10661","",2019-06-14,"126144","9",,,,,,17.493570084375,17.493570084375,2.33247601124999999999999999999999999999E01,238.405172081076,238.405172081076,3.17873562774767999999999999999999999999E02,117.056939491808316,117.056939491808316,156.075919322411088
"76457543010538","59784375010538",2001,39,25,401,2,150,1,2001,1,3.2,3.2,403,2,3,3,8,32,"N",2,6.37046666666666666666666666666666666667E00,204.641813376,100.479130367616,4.99965277777777777777777777777777777778E-01,11.1367265625,11.1367265625,1.484896875E01,,,,,,"","",2007-11-19,"10661","",2019-06-14,"126144","9",,,,,,7.09461453421875E01,7.09461453421875E01,9.45948604562499999999999999999999999999E01,2279.039918822667,2279.039918822667,3.03871989176355599999999999999999999999E03,1119.008600141929497,1119.008600141929497,1.492011466855905996E03
"76457544010538","59784375010538",2001,39,25,401,2,150,2,2001,1,12,12,403,2,3,3,8,37,"N",2,7.36585208333333333333333333333333333333E00,236.617096716,116.178994487556,4.99965277777777777777777777777777777778E-01,9.63176351351351351351351351351351351352E00,9.63176351351351351351351351351351351352E00,1.28423513513513513513513513513513513513E01,,,,,,"","",2007-11-19,"10661","",2019-06-14,"126144","9",,,,,,7.09461453421875E01,7.09461453421875E01,9.45948604562499999999999999999999999997E01,2.279039918822667E03,2.279039918822667E03,3.03871989176355599999999999999999999999E03,1.119008600141929497E03,1.119008600141929497E03,1.492011466855905996E03
"76457545010538","59784375010538",2001,39,25,401,2,150,3,2001,1,14.8,14.8,998,3,6,3,7,46,"N",1,7.27585833333333333333333333333333333333E00,106.23917304,52.16343396264,4.54513888888888888888888888888888888889E-01,7.7472880434782608695652173913043478261E00,7.7472880434782608695652173913043478261E00,1.03297173913043478260869565217391304348E01,,,,,,"","",2007-11-19,"10661","",2019-06-14,"126144","9",,,,,,5.63681702718750000000000000000000000001E01,5.63681702718750000000000000000000000001E01,7.51575603625E01,8.23065475041810000000000000000000000001E02,8.23065475041810000000000000000000000001E02,1097.42063338908,4.04125148245528710000000000000000000001E02,4.04125148245528710000000000000000000001E02,538.83353099403828
