"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","TRANSECT","SUBP","SMPLOCCD","MEASYEAR","CONDID","DUFFDEP","LITTDEP","FUELDEP","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","DLF_SAMPLE_METHOD","DUFF_METHOD","DUFF_NONSAMPLE_REASN_CD","LITTER_METHOD","LITTER_NONSAMPLE_REASN_CD","FUELBED_METHOD","FUELBED_NONSAMPLE_REASN_CD","DL_STATUS_CD"
"76431259010538","59780449010538",2001,39,1,561,30,2,2,2001,1,0.1,1.1,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431263010538","59780449010538",2001,39,1,561,30,3,2,2001,1,0.2,2.2,0.2,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431253010538","59780449010538",2001,39,1,561,150,1,2,2001,1,0.1,1.1,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431257010538","59780449010538",2001,39,1,561,150,2,2,2001,1,0.1,1.1,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431261010538","59780449010538",2001,39,1,561,150,3,2,2001,1,0.2,2.2,0.2,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431265010538","59780449010538",2001,39,1,561,150,4,2,2001,1,0.1,1.1,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431255010538","59780449010538",2001,39,1,561,270,1,2,2001,1,0.7,1.7,0.2,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431267010538","59780449010538",2001,39,1,561,270,4,2,2001,1,0.2,2.2,0.2,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431931010538","59781089010538",2001,39,7,120,30,2,2,2001,1,3.4,1.4,0.2,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431935010538","59781089010538",2001,39,7,120,30,3,2,2001,1,2.5,1.1,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431925010538","59781089010538",2001,39,7,120,150,1,2,2001,1,3.4,1.4,0.2,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431929010538","59781089010538",2001,39,7,120,150,2,2,2001,1,2.5,1.1,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431933010538","59781089010538",2001,39,7,120,150,3,2,2001,1,2.2,0.2,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431937010538","59781089010538",2001,39,7,120,150,4,2,2001,1,2.5,1.1,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431927010538","59781089010538",2001,39,7,120,270,1,2,2001,1,2.2,1.4,0.2,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431939010538","59781089010538",2001,39,7,120,270,4,2,2001,1,2.4,2.4,0.2,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431334010538","59782247010538",2001,39,9,598,30,2,2,2001,1,0,1.2,0.2,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431338010538","59782247010538",2001,39,9,598,30,3,2,2001,1,0,2.4,0.2,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431328010538","59782247010538",2001,39,9,598,150,1,2,2001,1,0,1.2,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431332010538","59782247010538",2001,39,9,598,150,2,2,2001,1,0,2.4,0.2,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431336010538","59782247010538",2001,39,9,598,150,3,2,2001,1,0,1.2,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431340010538","59782247010538",2001,39,9,598,150,4,2,2001,1,0.1,1.1,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431330010538","59782247010538",2001,39,9,598,270,1,2,2001,1,0.2,2.2,0.4,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431342010538","59782247010538",2001,39,9,598,270,4,2,2001,1,0,1.2,1.2,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431366010538","59784375010538",2001,39,25,401,30,2,2,2001,1,0.2,2.2,0.2,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431360010538","59784375010538",2001,39,25,401,150,1,2,2001,1,0.1,1.1,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431364010538","59784375010538",2001,39,25,401,150,2,2,2001,1,0.1,1.1,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431368010538","59784375010538",2001,39,25,401,150,4,2,2001,1,0.1,1.1,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431362010538","59784375010538",2001,39,25,401,270,1,2,2001,1,0.1,1.1,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431370010538","59784375010538",2001,39,25,401,270,4,2,2001,1,0,0,0,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431658010538","59784920010538",2001,39,29,606,30,2,2,2001,2,0.1,1.1,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431652010538","59784920010538",2001,39,29,606,150,1,2,2001,1,1.1,0.1,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431656010538","59784920010538",2001,39,29,606,150,2,2,2001,2,0.1,1.1,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431660010538","59784920010538",2001,39,29,606,150,4,2,2001,1,1.8,1.8,0.2,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431654010538","59784920010538",2001,39,29,606,270,1,2,2001,1,0.1,1.1,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431662010538","59784920010538",2001,39,29,606,270,4,2,2001,1,0,3.6,0.3,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431963010538","59785584010538",2001,39,35,575,30,2,2,2001,1,0,1.2,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431967010538","59785584010538",2001,39,35,575,30,3,2,2001,1,0,3.6,0.3,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431957010538","59785584010538",2001,39,35,575,150,1,2,2001,1,0,1.2,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431961010538","59785584010538",2001,39,35,575,150,2,2,2001,1,0,1.2,0.5,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431965010538","59785584010538",2001,39,35,575,150,3,2,2001,1,0,2.4,0.3,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431969010538","59785584010538",2001,39,35,575,150,4,2,2001,1,0,1.2,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431959010538","59785584010538",2001,39,35,575,270,1,2,2001,1,0,2.4,0.2,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431971010538","59785584010538",2001,39,35,575,270,4,2,2001,1,0,2.4,0.2,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431686010538","59786192010538",2001,39,41,574,30,2,2,2001,3,0,1.2,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431690010538","59786192010538",2001,39,41,574,30,3,2,2001,1,0,1.2,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431680010538","59786192010538",2001,39,41,574,150,1,2,2001,1,0,1.2,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431684010538","59786192010538",2001,39,41,574,150,2,2,2001,3,0,1.2,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431688010538","59786192010538",2001,39,41,574,150,3,2,2001,1,0,1.2,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431682010538","59786192010538",2001,39,41,574,270,1,2,2001,1,0,1.2,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431227010538","59787135010538",2001,39,53,778,30,2,2,2001,1,0.4,3.2,0.3,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431231010538","59787135010538",2001,39,53,778,30,3,2,2001,1,0.2,2.2,0.2,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431221010538","59787135010538",2001,39,53,778,150,1,2,2001,1,1.4,2.2,2.9,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431225010538","59787135010538",2001,39,53,778,150,2,2,2001,1,0.5,1.9,0.2,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431229010538","59787135010538",2001,39,53,778,150,3,2,2001,1,0.2,2.2,0.2,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431233010538","59787135010538",2001,39,53,778,150,4,2,2001,1,0,2.4,0.2,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431223010538","59787135010538",2001,39,53,778,270,1,2,2001,1,0.5,1.9,0.2,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431235010538","59787135010538",2001,39,53,778,270,4,2,2001,1,0.4,3.2,0.3,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431377010538","59788852010538",2001,39,61,506,30,2,2,2001,1,0.2,2.2,0.2,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431375010538","59788852010538",2001,39,61,506,150,2,2,2001,1,0.1,1.1,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431379010538","59788852010538",2001,39,61,506,150,3,2,2001,1,0.1,1.1,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431381010538","59788852010538",2001,39,61,506,150,4,2,2001,1,0.1,1.1,0.1,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431373010538","59788852010538",2001,39,61,506,270,1,2,2001,1,0,0,0,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
"76431383010538","59788852010538",2001,39,61,506,270,4,2,2001,1,0.2,2.2,0.2,"",2007-11-19,"10661","",2014-05-14,"489998","1",1,,1,,1,,
