"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","SUBP","TRANSECT","SEGMNT","MEASYEAR","CONDID","SLOPE_BEGNDIST","SLOPE_ENDDIST","SLOPE","HORIZ_LENGTH","HORIZ_BEGNDIST","HORIZ_ENDDIST","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_IN_INSTANCE","MODIFIED_DATE","SEGMNT_STATUS_CD","SEGMNT_NONSAMPLE_REASN_CD","TRANSECT_LENGTH"
"76460432010538","59780449010538",2001,39,1,561,1,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460433010538","59780449010538",2001,39,1,561,1,270,1,2001,1,0,24.11970149069,10,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460435010538","59780449010538",2001,39,1,561,2,30,1,2001,1,0,24.11970149069,10,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460434010538","59780449010538",2001,39,1,561,2,150,1,2001,1,0,24.475293665245,20,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460437010538","59780449010538",2001,39,1,561,3,30,1,2001,1,0,24.11970149069,10,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460436010538","59780449010538",2001,39,1,561,3,150,1,2001,1,0,24.11970149069,10,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460438010538","59780449010538",2001,39,1,561,4,150,1,2001,1,0,24.11970149069,10,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460439010538","59780449010538",2001,39,1,561,4,270,1,2001,1,0,24.11970149069,10,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460839010538","59781089010538",2001,39,7,120,1,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460840010538","59781089010538",2001,39,7,120,1,270,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460842010538","59781089010538",2001,39,7,120,2,30,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460841010538","59781089010538",2001,39,7,120,2,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460844010538","59781089010538",2001,39,7,120,3,30,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460843010538","59781089010538",2001,39,7,120,3,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460845010538","59781089010538",2001,39,7,120,4,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460846010538","59781089010538",2001,39,7,120,4,270,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460482010538","59782247010538",2001,39,9,598,1,150,1,2001,1,0,24.475293665245,20,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460483010538","59782247010538",2001,39,9,598,1,270,1,2001,1,0,24.268498099388,15,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460485010538","59782247010538",2001,39,9,598,2,30,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460484010538","59782247010538",2001,39,9,598,2,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460487010538","59782247010538",2001,39,9,598,3,30,1,2001,1,0,24.11970149069,10,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460486010538","59782247010538",2001,39,9,598,3,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460489010538","59782247010538",2001,39,9,598,4,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
