"CN","INVYR","STATECD","COUNTYCD","O3PLOT","FIELD_ID","SPLIT_PLOTID","GROUND_LOC_CD","MEASYEAR","BIOSPCD","AMNT_MAX","AMNT_MIN","AMNT_MEAN","SVRTY_MAX","SVRTY_MIN","SVRTY_MEAN","PLANT_INJ_CNT","PLANT_EVAL_CNT","PLANT_RATIO","BIOSPCD_SUM","BIOSPCD_INDEX","ELEV","PLTSIZE","ASPECT","TERRPOS","SOILDPTH","SOILDRN","PLOTWET","PLTDSTRB","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"248864880010661",2010,39,41,8681,868,1,1,2010,541,0,0,0,0,0,0,0,30,0,0,0,937,1,0,4,1,2,,0,"",2011-05-24,"10661","",,""
"248864881010661",2010,39,41,8681,868,1,1,2010,915,0,0,0,0,0,0,0,9,0,0,0,937,1,0,4,1,2,,0,"",2011-05-24,"10661","",,""
"248864883010661",2010,39,41,8682,868,2,1,2010,365,0,0,0,0,0,0,0,11,0,0,0,974,2,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248864886010661",2010,39,41,8682,868,2,1,2010,915,0,0,0,0,0,0,0,21,0,0,0,974,2,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248864888010661",2010,39,169,4701,470,1,1,2010,365,0,0,0,0,0,0,0,30,0,0,0,962,2,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248864889010661",2010,39,169,4701,470,1,1,2010,541,0,0,0,0,0,0,0,30,0,0,0,962,2,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248864890010661",2010,39,169,4701,470,1,1,2010,762,0,0,0,0,0,0,0,24,0,0,0,962,2,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248864891010661",2010,39,169,4701,470,1,1,2010,915,0,0,0,0,0,0,0,30,0,0,0,962,2,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248864893010661",2010,39,37,4851,485,1,1,2010,365,0.16,0.035,0.0975,0.035,0.035,0.035,2,30,0.06666667,0.0034125,0.0002275,1041,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248864894010661",2010,39,37,4851,485,1,1,2010,366,0.63,0.38,0.505,0.16,0.16,0.16,2,16,0.125,0.0808,0.0101,1041,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248864895010661",2010,39,37,4851,485,1,1,2010,541,0.38,0.16,0.27,0.16,0.035,0.0975,2,30,0.06666667,0.0332,0.00221333,1041,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248864896010661",2010,39,37,4851,485,1,1,2010,998,0,0,0,0,0,0,0,22,0,0,0,1041,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248864898010661",2010,39,41,8921,892,1,2,2010,365,0.38,0.38,0.38,0.16,0.16,0.16,1,20,0.05,0.0608,0.00304,949,1,100,4,1,1,,0,"",2011-05-24,"10661","",2011-05-25,"10661"
"248864899010661",2010,39,41,8921,892,1,2,2010,366,0,0,0,0,0,0,0,30,0,0,0,949,1,100,4,1,1,,0,"",2011-05-24,"10661","",2011-05-25,"10661"
"248864900010661",2010,39,41,8921,892,1,2,2010,541,0,0,0,0,0,0,0,30,0,0,0,949,1,100,4,1,1,,0,"",2011-05-24,"10661","",2011-05-25,"10661"
"248864902010661",2010,39,41,8921,892,1,2,2010,915,0,0,0,0,0,0,0,10,0,0,0,949,1,100,4,1,1,,0,"",2011-05-24,"10661","",2011-05-25,"10661"
"248864903010661",2010,39,41,8921,892,1,2,2010,998,0,0,0,0,0,0,0,30,0,0,0,949,1,100,4,1,1,,0,"",2011-05-24,"10661","",2011-05-25,"10661"
"248864905010661",2010,39,175,6571,657,1,1,2010,365,0,0,0,0,0,0,0,30,0,0,0,828,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248864906010661",2010,39,175,6571,657,1,1,2010,366,0,0,0,0,0,0,0,30,0,0,0,828,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248864907010661",2010,39,175,6571,657,1,1,2010,541,0,0,0,0,0,0,0,30,0,0,0,828,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248864908010661",2010,39,175,6571,657,1,1,2010,915,0,0,0,0,0,0,0,19,0,0,0,828,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248865169010661",2010,39,155,1461,146,1,2,2010,365,0,0,0,0,0,0,0,12,0,0,0,956,1,0,4,1,1,,0,"",2011-05-24,"10661","",2011-05-25,"10661"
"248865170010661",2010,39,155,1461,146,1,2,2010,366,0.38,0.38,0.38,0.16,0.16,0.16,1,30,0.03333333,0.0608,0.00202667,956,1,0,4,1,1,,0,"",2011-05-24,"10661","",2011-05-25,"10661"
"248865171010661",2010,39,155,1461,146,1,2,2010,541,0,0,0,0,0,0,0,30,0,0,0,956,1,0,4,1,1,,0,"",2011-05-24,"10661","",2011-05-25,"10661"
"248865172010661",2010,39,155,1461,146,1,2,2010,762,0,0,0,0,0,0,0,30,0,0,0,956,1,0,4,1,1,,0,"",2011-05-24,"10661","",2011-05-25,"10661"
"248865173010661",2010,39,155,1461,146,1,2,2010,915,0,0,0,0,0,0,0,30,0,0,0,956,1,0,4,1,1,,0,"",2011-05-24,"10661","",2011-05-25,"10661"
"248865176010661",2010,39,7,7431,743,1,1,2010,366,0,0,0,0,0,0,0,30,0,0,0,1061,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248865177010661",2010,39,7,7431,743,1,1,2010,541,0.88,0.88,0.88,0.16,0.16,0.16,1,30,0.03333333,0.1408,0.00469333,1061,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248865178010661",2010,39,7,7431,743,1,1,2010,621,0.035,0.035,0.035,0.38,0.38,0.38,1,10,0.1,0.0133,0.00133,1061,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248865182010661",2010,39,7,7432,743,2,1,2010,365,0,0,0,0,0,0,0,30,0,0,0,1066,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248865183010661",2010,39,7,7432,743,2,1,2010,366,0,0,0,0,0,0,0,30,0,0,0,1066,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248865184010661",2010,39,7,7432,743,2,1,2010,541,0,0,0,0,0,0,0,2,0,0,0,1066,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248865185010661",2010,39,7,7432,743,2,1,2010,621,0,0,0,0,0,0,0,1,0,0,0,1066,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248865187010661",2010,39,7,7432,743,2,1,2010,915,0,0,0,0,0,0,0,19,0,0,0,1066,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248865196010661",2010,39,55,2351,235,1,2,2010,366,0,0,0,0,0,0,0,30,0,0,0,1212,1,340,1,1,1,,0,"",2011-05-24,"10661","",2011-05-25,"10661"
"248865197010661",2010,39,55,2351,235,1,2,2010,541,0,0,0,0,0,0,0,30,0,0,0,1212,1,340,1,1,1,,0,"",2011-05-24,"10661","",2011-05-25,"10661"
"248865199010661",2010,39,55,2351,235,1,2,2010,915,0,0,0,0,0,0,0,22,0,0,0,1212,1,340,1,1,1,,0,"",2011-05-24,"10661","",2011-05-25,"10661"
"248865202010661",2010,39,103,6151,615,1,1,2010,366,0,0,0,0,0,0,0,30,0,0,0,972,2,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248865203010661",2010,39,103,6151,615,1,1,2010,541,0,0,0,0,0,0,0,30,0,0,0,972,2,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248865205010661",2010,39,103,6151,615,1,1,2010,915,0,0,0,0,0,0,0,30,0,0,0,972,2,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248865207010661",2010,39,77,13861,1386,1,1,2010,365,0,0,0,0,0,0,0,30,0,0,0,939,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248865208010661",2010,39,77,13861,1386,1,1,2010,366,0.38,0.38,0.38,0.16,0.16,0.16,1,30,0.03333333,0.0608,0.00202667,939,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248865211010661",2010,39,77,13861,1386,1,1,2010,915,0,0,0,0,0,0,0,30,0,0,0,939,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248865212010661",2010,39,77,13861,1386,1,1,2010,998,0,0,0,0,0,0,0,16,0,0,0,939,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248865217010661",2010,39,43,9581,958,1,1,2010,915,0,0,0,0,0,0,0,30,0,0,0,647,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248865218010661",2010,39,43,9581,958,1,1,2010,998,0,0,0,0,0,0,0,10,0,0,0,647,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248865214010661",2010,39,43,9581,958,1,1,2010,365,0.63,0.16,0.395,0.16,0.16,0.16,2,30,0.06666667,0.0632,0.00421333,647,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248865215010661",2010,39,43,9581,958,1,1,2010,366,0,0,0,0,0,0,0,30,0,0,0,647,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248865216010661",2010,39,43,9581,958,1,1,2010,541,0,0,0,0,0,0,0,23,0,0,0,647,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248865224010661",2010,39,173,9181,918,1,1,2010,365,0,0,0,0,0,0,0,17,0,0,0,688,1,0,4,1,1,,1,"",2011-05-24,"10661","",,""
"248865225010661",2010,39,173,9181,918,1,1,2010,366,0,0,0,0,0,0,0,12,0,0,0,688,1,0,4,1,1,,1,"",2011-05-24,"10661","",,""
"248865226010661",2010,39,173,9181,918,1,1,2010,541,0,0,0,0,0,0,0,30,0,0,0,688,1,0,4,1,1,,1,"",2011-05-24,"10661","",,""
"248865228010661",2010,39,173,9181,918,1,1,2010,998,0,0,0,0,0,0,0,18,0,0,0,688,1,0,4,1,1,,1,"",2011-05-24,"10661","",,""
"248865230010661",2010,39,173,9182,918,2,1,2010,365,0,0,0,0,0,0,0,11,0,0,0,616,2,0,4,1,1,,1,"",2011-05-24,"10661","",,""
"248865231010661",2010,39,173,9182,918,2,1,2010,366,0,0,0,0,0,0,0,18,0,0,0,616,2,0,4,1,1,,1,"",2011-05-24,"10661","",,""
"248865234010661",2010,39,173,9182,918,2,1,2010,998,0,0,0,0,0,0,0,12,0,0,0,616,2,0,4,1,1,,1,"",2011-05-24,"10661","",,""
"248864512010661",2010,39,129,12131,1213,1,1,2010,365,0.16,0.16,0.16,0.035,0.035,0.035,1,30,0.03333333,0.0056,0.00018667,881,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248864513010661",2010,39,129,12131,1213,1,1,2010,366,0.16,0.16,0.16,0.035,0.035,0.035,1,30,0.03333333,0.0056,0.00018667,881,1,0,4,1,1,,0,"",2011-05-24,"10661","",,""
"248865189010661",2010,39,35,5321,532,1,2,2010,365,0,0,0,0,0,0,0,22,0,0,0,636,1,0,4,1,1,,0,"",2011-05-24,"10661","",2011-05-25,"10661"
"248865190010661",2010,39,35,5321,532,1,2,2010,366,0,0,0,0,0,0,0,30,0,0,0,636,1,0,4,1,1,,0,"",2011-05-24,"10661","",2011-05-25,"10661"
"248865191010661",2010,39,35,5321,532,1,2,2010,541,0,0,0,0,0,0,0,30,0,0,0,636,1,0,4,1,1,,0,"",2011-05-24,"10661","",2011-05-25,"10661"
"248865193010661",2010,39,35,5321,532,1,2,2010,915,0,0,0,0,0,0,0,30,0,0,0,636,1,0,4,1,1,,0,"",2011-05-24,"10661","",2011-05-25,"10661"
"226161053010661",2006,39,15,6481,648,1,1,2006,365,0.38,0.38,0.38,0.16,0.16,0.16,1,30,0.03333333,0.0608,0.00202667,815,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161054010661",2006,39,15,6481,648,1,1,2006,366,0,0,0,0,0,0,0,30,0,0,0,815,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161055010661",2006,39,15,6481,648,1,1,2006,541,0,0,0,0,0,0,0,30,0,0,0,815,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
