"CN","PLT_CN","STATECD","UNITCD","COUNTYCD","PLOT","INVYR","SUBP","CONDID","GROWTH_HABIT_CD","LAYER","COVER_PCT","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE"
"211888195020004","247063599010661",39,1,1,561,2012,1,1,"FB",1,2,"",2013-07-15,"20004","",,"",7,1
"211888196020004","247063599010661",39,1,1,561,2012,1,1,"FB",2,0,"",2013-07-15,"20004","",,"",7,1
"211888197020004","247063599010661",39,1,1,561,2012,1,1,"FB",3,0,"",2013-07-15,"20004","",,"",7,1
"211888198020004","247063599010661",39,1,1,561,2012,1,1,"FB",4,0,"",2013-07-15,"20004","",,"",7,1
"211888199020004","247063599010661",39,1,1,561,2012,1,1,"FB",5,2,"",2013-07-15,"20004","",,"",7,1
"211888200020004","247063599010661",39,1,1,561,2012,1,1,"GR",1,5,"",2013-07-15,"20004","",,"",7,1
"211888201020004","247063599010661",39,1,1,561,2012,1,1,"GR",2,0,"",2013-07-15,"20004","",,"",7,1
"211888202020004","247063599010661",39,1,1,561,2012,1,1,"GR",3,0,"",2013-07-15,"20004","",,"",7,1
"211888203020004","247063599010661",39,1,1,561,2012,1,1,"GR",4,0,"",2013-07-15,"20004","",,"",7,1
"211888204020004","247063599010661",39,1,1,561,2012,1,1,"GR",5,5,"",2013-07-15,"20004","",,"",7,1
"211888185020004","247063599010661",39,1,1,561,2012,1,1,"NT",1,0,"",2013-07-15,"20004","",,"",7,1
"211888186020004","247063599010661",39,1,1,561,2012,1,1,"NT",2,0,"",2013-07-15,"20004","",,"",7,1
"211888187020004","247063599010661",39,1,1,561,2012,1,1,"NT",3,0,"",2013-07-15,"20004","",,"",7,1
"211888188020004","247063599010661",39,1,1,561,2012,1,1,"NT",4,0,"",2013-07-15,"20004","",,"",7,1
"211888189020004","247063599010661",39,1,1,561,2012,1,1,"NT",5,0,"",2013-07-15,"20004","",,"",7,1
"211888190020004","247063599010661",39,1,1,561,2012,1,1,"SH",1,5,"",2013-07-15,"20004","",,"",7,1
"211888191020004","247063599010661",39,1,1,561,2012,1,1,"SH",2,3,"",2013-07-15,"20004","",,"",7,1
"211888192020004","247063599010661",39,1,1,561,2012,1,1,"SH",3,1,"",2013-07-15,"20004","",,"",7,1
"211888193020004","247063599010661",39,1,1,561,2012,1,1,"SH",4,0,"",2013-07-15,"20004","",,"",7,1
"211888194020004","247063599010661",39,1,1,561,2012,1,1,"SH",5,5,"",2013-07-15,"20004","",,"",7,1
"211888180020004","247063599010661",39,1,1,561,2012,1,1,"TT",1,6,"",2013-07-15,"20004","",,"",7,1
"211888181020004","247063599010661",39,1,1,561,2012,1,1,"TT",2,3,"",2013-07-15,"20004","",,"",7,1
"211888182020004","247063599010661",39,1,1,561,2012,1,1,"TT",3,5,"",2013-07-15,"20004","",,"",7,1
"211888183020004","247063599010661",39,1,1,561,2012,1,1,"TT",4,90,"",2013-07-15,"20004","",,"",7,1
"211888184020004","247063599010661",39,1,1,561,2012,1,1,"TT",5,95,"",2013-07-15,"20004","",,"",7,1
"211888225020004","247063599010661",39,1,1,561,2012,2,1,"FB",1,3,"",2013-07-15,"20004","",,"",7,1
"211888226020004","247063599010661",39,1,1,561,2012,2,1,"FB",2,0,"",2013-07-15,"20004","",,"",7,1
"211888227020004","247063599010661",39,1,1,561,2012,2,1,"FB",3,0,"",2013-07-15,"20004","",,"",7,1
"211888228020004","247063599010661",39,1,1,561,2012,2,1,"FB",4,0,"",2013-07-15,"20004","",,"",7,1
"211888229020004","247063599010661",39,1,1,561,2012,2,1,"FB",5,3,"",2013-07-15,"20004","",,"",7,1
"211888230020004","247063599010661",39,1,1,561,2012,2,1,"GR",1,3,"",2013-07-15,"20004","",,"",7,1
"211888231020004","247063599010661",39,1,1,561,2012,2,1,"GR",2,0,"",2013-07-15,"20004","",,"",7,1
"211888232020004","247063599010661",39,1,1,561,2012,2,1,"GR",3,0,"",2013-07-15,"20004","",,"",7,1
"211888233020004","247063599010661",39,1,1,561,2012,2,1,"GR",4,0,"",2013-07-15,"20004","",,"",7,1
"211888234020004","247063599010661",39,1,1,561,2012,2,1,"GR",5,3,"",2013-07-15,"20004","",,"",7,1
"211888215020004","247063599010661",39,1,1,561,2012,2,1,"NT",1,0,"",2013-07-15,"20004","",,"",7,1
"211888216020004","247063599010661",39,1,1,561,2012,2,1,"NT",2,0,"",2013-07-15,"20004","",,"",7,1
