"CN","STATECD","INVYR","UNITCD","COUNTYCD","PLOT","LAT","LON","CONGCD","ECOSUBCD","HUC","EMAP_HEX","FIPSCOUNTY","ROADLESSCD","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","ALP_ADFORCD","FVS_VARIANT","FVS_LOC_CD","FVS_REGION","FVS_FOREST","FVS_DISTRICT"
"19098951010661",39,1991,1,1,4,38.75007,-83.27768,3902," 221Eg",5060002,5006,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19099006010661",39,1991,1,1,8,39.02785,-83.41658,3902," 223Fd",5090201,5144,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19099054010661",39,1991,1,1,9,39.02785,-83.41658,3902," 223Fd",5090201,5144,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19099110010661",39,1991,1,1,10,39.02785,-83.36102,3902," 223Fd",5090201,5144,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19099147010661",39,1991,1,1,18,38.86118,-83.55547,3902," 222Hc",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19099229010661",39,1991,1,1,20,39.00007,-83.5277,3902," 222Hc",5090201,5285,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19099296010661",39,1991,1,1,21,39.00007,-83.47214,3902," 222Hc",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19099352010661",39,1991,1,1,23,38.88896,-83.3888,3902," 221Eg",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19099410010661",39,1991,1,1,28,38.69452,-83.55547,3902," 223Fd",5090201,5146,21135,"","",2019-07-18,126144,"",2019-08-20,126144,,"SN",80211,8,2,11
"19099469010661",39,1991,1,1,31,38.75007,-83.61103,3902," 223Fd",5090201,5146,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19099541010661",39,1991,1,1,32,38.97229,-83.36102,3902," 223Fd",5060002,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19099604010661",39,1991,1,1,34,38.80563,-83.55547,3902," 223Fd",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19099661010661",39,1991,1,1,36,38.91674,-83.27769,3902," 221Eg",5060002,5005,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19099710010661",39,1991,1,1,41,38.91674,-83.47214,3902," 223Fd",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19099762010661",39,1991,1,1,49,38.80563,-83.30546,3902," 221Eg",5060002,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19099802010661",39,1991,1,1,55,38.66674,-83.27768,3902," 221Eg",5090201,5006,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19099856010661",39,1991,1,1,67,38.77785,-83.41658,3902," 223Fd",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19099905010661",39,1991,1,1,71,38.69452,-83.41658,3902," 221Eg",5090201,5146,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19099940010661",39,1991,1,1,75,38.66674,-83.27768,3902," 221Eg",5090201,5006,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19099964010661",39,1991,1,1,77,38.69452,-83.69436,3902," 223Fd",5090201,5146,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100026010661",39,1991,1,1,83,38.75007,-83.63881,3902," 223Fd",5090201,5286,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100069010661",39,1991,1,1,86,38.83341,-83.36102,3902," 221Eg",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100133010661",39,1991,1,1,94,38.69452,-83.58325,3902," 223Fd",5090201,5146,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100177010661",39,1991,1,1,98,38.75007,-83.30546,3902," 221Eg",5060002,5006,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100214010661",39,1991,1,1,99,38.91674,-83.36102,3902," 221Eg",5060002,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100216010661",39,1991,1,1,100,38.80563,-83.3888,3902," 221Eg",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100241010661",39,1991,1,1,101,38.75007,-83.41658,3902," 223Fd",5060002,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100243010661",39,1991,1,1,102,38.75007,-83.47213,3902," 223Fd",5090201,5146,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100245010661",39,1991,1,1,103,38.75007,-83.49991,3902," 223Fd",5090201,5146,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100247010661",39,1991,1,1,104,38.97229,-83.58325,3902," 222Hc",5090201,5285,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100249010661",39,1991,1,1,105,39.00007,-83.63881,3902," 222Hc",5090201,5285,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100251010661",39,1991,1,1,106,38.80563,-83.63881,3902," 222Hc",5090201,5286,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100253010661",39,1991,1,1,107,38.86118,-83.66659,3902," 222Hc",5090201,5286,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100255010661",39,1991,1,1,108,38.8334,-83.66659,3902," 222Hc",5090201,5286,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100257010661",39,1991,1,1,109,38.69452,-83.41658,3902," 221Eg",5090201,5146,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100259010661",39,1991,1,1,110,39.00007,-83.5277,3902," 222Hc",5090201,5285,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100261010661",39,1991,1,1,111,38.7223,-83.58325,3902," 223Fd",5090201,5146,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100263010661",39,1991,1,1,112,38.94451,-83.66659,3902," 222Hc",5090201,5285,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100265010661",39,1991,1,1,113,38.80563,-83.36102,3902," 221Eg",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100267010661",39,1991,1,1,114,38.88896,-83.36102,3902," 221Eg",5060002,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100323010661",39,1991,1,1,115,39.00007,-83.30547,3902," 221Eg",5060002,5144,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100325010661",39,1991,1,1,123,38.88896,-83.36102,3902," 221Eg",5060002,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100377010661",39,1991,1,1,134,38.63897,-83.27768,3902," 221Eg",5090201,5006,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100416010661",39,1991,1,1,141,38.77785,-83.44436,3902," 223Fd",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100449010661",39,1991,1,1,148,38.77785,-83.30546,3902," 221Eg",5060002,5006,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100502010661",39,1991,1,1,155,38.97229,-83.44436,3902," 223Fd",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
