"CN","PLT_CN","PREV_SIT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","CONDID","TREE","SPCD","DIA","HT","AGEDIA","SPGRPCD","SITREE","SIBASE","SUBP","AZIMUTH","DIST","METHOD","SITREE_EST","VALIDCD","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE","AGECHKCD_RMRS","AGE_DETERMINATION_METHOD_PNWRS","CCLCD_RMRS","DAMAGE_AGENT_CD1_RMRS","DAMAGE_AGENT_CD2_RMRS","DAMAGE_AGENT_CD3_RMRS","SIBASE_AGE_PNWRS","SITETRCD_RMRS","SITE_AGE_TREE_STATUS_PNWRS","SITE_AGE_TREE_TYPE_PNWRS","SITE_TREE_METHOD_PNWRS","SITREE_EQU_NO_PNWRS","TREECLCD_RMRS","TREE_ACT_RMRS","YEAR_AGE_TAKEN","SIEQN_REF_CD","SITREE_FVS","SIBASE_FVS","SIEQN_REF_CD_FVS"
"66249799010538","59780061010538","",2001,39,1,1,11,1,1,316,15,79,68,32,55,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",64,50,"ACRU02"
"66250180010538","59780449010538","",2001,39,1,1,561,1,1,318,10.9,74,58,31,56,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",68,50,"ACSA53"
"66252830010538","59783149010538","",2001,39,1,15,653,1,1,802,5.2,56,37,25,64,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",71,50,"QUAL02"
"66250028010538","59780295010538","",2001,39,1,1,599,1,1,621,15,68,45,39,69,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",70,50,"LITU09"
"66249916010538","59780182010538","",2001,39,1,1,752,1,1,541,18.1,110,90,36,90,50,,,,2,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",86,50,"FRAM06"
"66249697010538","59779958010538","",2001,39,1,1,807,1,1,802,12,81,81,25,64,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",58,50,"QUAL02"
"66254023010538","59784375010538","",2001,39,1,25,401,1,1,318,9.8,66,51,31,54,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",65,50,"ACSA53"
"66240588010538","59787308010538","",2001,39,1,53,437,1,1,802,5.7,51,26,25,76,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",86,50,"QUAL02"
"66240900010538","59787623010538","",2001,39,1,53,612,1,1,132,9.2,49,39,3,52,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",54,50,"PIVI03"
"66240775010538","59787495010538","",2001,39,1,53,673,1,1,132,10.9,75,56,3,71,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",72,50,"PIVI03"
"66240776010538","59787495010538","",2001,39,1,53,673,2,1,132,10.9,75,56,3,71,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",72,50,"PIVI03"
"66240418010538","59787135010538","",2001,39,1,53,778,1,1,802,10.6,72,42,25,77,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",82,50,"QUAL02"
"66242864010538","59789658010538","",2001,39,1,71,871,1,1,541,14.4,76,48,36,76,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",78,50,"FRAM06"
"66244097010538","59790916010538","",2001,39,1,79,170,1,1,316,11.4,80,38,32,84,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",98,50,"ACRU02"
"66244069010538","59790887010538","",2001,39,1,79,171,1,1,621,17.2,56,35,39,62,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",65,50,"LITU09"
"66244323010538","59791144010538","",2001,39,1,79,179,1,1,316,10.3,64,44,32,58,50,,,,2,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",70,50,"ACRU02"
"66244395010538","59791217010538","",2001,39,1,79,191,1,1,621,17.8,100,43,39,103,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",106,50,"LITU09"
"66244235010538","59791055010538","",2001,39,1,79,229,1,1,621,14.4,104,53,39,102,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",102,50,"LITU09"
"66246523010538","59793369010538","",2001,39,1,87,258,2,1,802,13.4,66,62,25,57,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",57,50,"QUAL02"
"66246760010538","59793613010538","",2001,39,1,87,266,1,1,832,17.4,110,81,27,87,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",85,50,"QUPR01"
"66246031010538","59792877010538","",2001,39,1,87,319,1,1,621,9,77,39,39,82,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",85,50,"LITU09"
"66246303010538","59793147010538","",2001,39,1,87,534,1,1,802,10.1,66,70,25,54,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",52,50,"QUAL02"
"66246595010538","59793444010538","",2001,39,1,87,544,1,1,317,11.6,108,36,32,123,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",113,50,"ACSA01"
"66246660010538","59793512010538","",2001,39,1,87,638,1,1,802,15.3,93,94,25,70,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",61,50,"QUAL02"
"66258758010538","59799136010538","",2001,39,1,131,231,1,1,806,12.5,76,60,28,67,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",66,50,"QUCO01"
"66258870010538","59799251010538","",2001,39,1,131,886,1,1,531,14.2,79,62,33,58,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",67,50,"FAGR01"
"66259839010538","59800255010538","",2001,39,1,141,224,1,1,762,10.3,58,26,41,89,50,,,,1,,0,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",100,50,"PRSE02"
"66260041010538","59800459010538","",2001,39,1,141,691,1,1,318,11.3,76,49,31,64,50,,,,1,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",77,50,"ACSA53"
"66259961010538","59800378010538","",2001,39,1,141,800,1,1,318,10.8,60,55,31,46,50,,,,2,,1,"",2007-02-20,"10538","",2020-03-25,"290487",5,1,,,,,,,,,"",,"",,,,,"",57,50,"ACSA53"
