"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","SMPLNNBR","VSTNBR","LAYER_TYPE","SAMPLER_TYPE","QASTATCD","SAMPLE_DATE","LAB_ID","SAMPLE_ID","FIELD_MOIST_SOIL_WT","AIR_DRY_SOIL_WT","OVEN_DRY_SOIL_WT","FIELD_MOIST_WATER_CONTENT_PCT","RESIDUAL_WATER_CONTENT_PCT","TOTAL_WATER_CONTENT_PCT","BULK_DENSITY","COARSE_FRACTION_PCT","C_ORG_PCT","C_INORG_PCT","C_TOTAL_PCT","N_TOTAL_PCT","PH_H2O","PH_CACL2","EXCHNG_NA","EXCHNG_K","EXCHNG_MG","EXCHNG_CA","EXCHNG_AL","ECEC","EXCHNG_MN","EXCHNG_FE","EXCHNG_NI","EXCHNG_CU","EXCHNG_ZN","EXCHNG_CD","EXCHNG_PB","EXCHNG_S","BRAY1_P","OLSEN_P","MEASYEAR","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE"
"111505035010661","59780449010538",2001,39,1,561,2,1,"FF_TOTAL","SF",1,2001-08-23,"GRFSL","2001-39-064",189.75,,75.28,,,152.07,0.666,,36.1,,36.1,1.564,,,,,,,,,,,,,,,,,,,2001,"",2018-02-23,"126144","",2007-12-05,"10661"
"111505038010661","59780449010538",2001,39,1,561,2,1,"MIN_1","BD",1,2001-08-23,"GRFSL","2001-39-065",200.87,,160.69,,,25,0.89,9.06,4.7,0,4.7,0.367,4.86,4.31,8,79,150,1363,86,9.22,122.4,2.6,0.4,0.3,4,0.1,1.1,25,6.5,,2001,"",2018-02-23,"126144","",2007-12-05,"10661"
"111505039010661","59780449010538",2001,39,1,561,2,1,"MIN_2","BD",1,2001-08-23,"GRFSL","2001-39-066",321.14,,271.64,,,18.22,1.5,10.01,0.86,0,0.86,0.211,4.65,3.83,5,92,149,487,595,10.52,19.6,3.5,0.2,0.9,1.1,0,3.8,15,0.5,,2001,"",2018-02-23,"126144","",2007-12-05,"10661"
"111505036010661","59780449010538",2001,39,1,561,3,1,"FF_TOTAL","SF",1,2001-08-23,"GRFSL","2001-39-067",271.72,,123.56,,,119.92,0.78,,42.24,,42.24,1.927,,,,,,,,,,,,,,,,,,,2001,"",2018-02-23,"126144","",2007-12-05,"10661"
"111505037010661","59780449010538",2001,39,1,561,4,1,"FF_TOTAL","SF",1,2001-08-23,"GRFSL","2001-39-068",93.13,,43.27,,,115.22,0.547,,36.51,,36.51,1.061,,,,,,,,,,,,,,,,,,,2001,"",2018-02-23,"126144","",2007-12-05,"10661"
"111505082010661","59781089010538",2001,39,7,120,2,1,"FF_TOTAL","SF",1,2001-08-14,"GRFSL","2001-39-059",139.02,,88.74,,,56.65,0.293,,49.62,,49.62,1.857,,,,,,,,,,,,,,,,,,,2001,"",2018-02-23,"126144","",2007-12-05,"10661"
"111505085010661","59781089010538",2001,39,7,120,2,1,"MIN_1","BD",1,2001-08-14,"GRFSL","2001-39-060",90.14,,40.99,,,119.9,0.23,26.85,23.71,0,23.71,1.269,3.77,3.22,20,247,136,977,997,17.79,9.2,237.7,1,0.9,19.3,0.8,26.1,109,8.4,,2001,"",2018-02-23,"126144","",2007-12-05,"10661"
"111505086010661","59781089010538",2001,39,7,120,2,1,"MIN_2","BD",1,2001-08-14,"GRFSL","2001-39-061",218.32,,137.73,,,58.51,0.76,0.59,7.71,0,7.71,0.419,4.39,3.89,6,42,21,68,1042,12.23,0.4,107.4,0.3,0.2,3.2,0.1,2.5,33,1.7,,2001,"",2018-02-23,"126144","",2007-12-05,"10661"
"111505083010661","59781089010538",2001,39,7,120,3,1,"FF_TOTAL","SF",1,2001-08-14,"GRFSL","2001-39-062",746.08,,498.27,,,49.73,1.632,,23.8,,23.8,1.346,,,,,,,,,,,,,,,,,,,2001,"",2018-02-23,"126144","",2007-12-05,"10661"
"111505084010661","59781089010538",2001,39,7,120,4,1,"FF_TOTAL","SF",1,2001-08-14,"GRFSL","2001-39-063",319.59,,187.26,,,70.66,0.92,,42.88,,42.88,2.23,,,,,,,,,,,,,,,,,,,2001,"",2018-02-23,"126144","",2007-12-05,"10661"
"111505045010661","59782247010538",2001,39,9,598,2,1,"FF_TOTAL","SF",1,2001-07-18,"GRFSL","2001-39-021",21.12,,7.73,,,173.25,0.076,,43.59,,43.59,1.666,,,,,,,,,,,,,,,,,,,2001,"",2018-02-23,"126144","",2007-12-05,"10661"
"111505047010661","59782247010538",2001,39,9,598,2,1,"MIN_1","BD",1,2001-07-18,"GRFSL","2001-39-022",292.07,,204.81,,,42.61,1.13,1.24,4.1,0,4.1,0.359,5.57,5.16,6,135,307,2581,1,15.79,69.4,0.3,0.4,0,1,0.1,0,13,3.1,,2001,"",2018-02-23,"126144","",2007-12-05,"10661"
"111505048010661","59782247010538",2001,39,9,598,2,1,"MIN_2","BD",1,2001-07-18,"GRFSL","2001-39-023",323.9,,252.66,,,28.2,1.4,4.18,2.19,0,2.19,0.212,5.5,4.98,6,94,278,2114,4,13.15,74,0.2,0.8,0,0.6,0.1,0,8,0.2,,2001,"",2018-02-23,"126144","",2007-12-05,"10661"
"111505046010661","59782247010538",2001,39,9,598,4,1,"FF_TOTAL","SF",1,2001-07-18,"GRFSL","2001-39-024",12.51,,5.81,,,115.46,0.086,,46.21,,46.21,0.846,,,,,,,,,,,,,,,,,,,2001,"",2018-02-23,"126144","",2007-12-05,"10661"
"111505054010661","59784375010538",2001,39,25,401,2,1,"FF_TOTAL","SF",1,2001-08-22,"GRFSL","2001-39-069",44,,28.12,,,56.49,0.497,,37.68,,37.68,1.122,,,,,,,,,,,,,,,,,,,2001,"",2018-02-23,"126144","",2007-12-05,"10661"
