"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","SMPLNNBR","MEASYEAR","FORFLTHK","LTRLRTHK","FORFLTHKN","LTRLRTHKN","FORFLTHKS","LTRLRTHKS","FORFLTHKE","LTRLRTHKE","FORFLTHKW","LTRLRTHKW","CONDID","VSTNBR","TXTRLYR1","TXTRLYR2","DPTHSBSL","SOILS_STATCD","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"76470559010538","59780449010538",2001,39,1,561,2,2001,1,0.7,0.4,0.4,1.2,0.4,0.8,0.8,1.6,1.2,1,1,1,2,5.9,1,"",2007-11-29,"10661","",,""
"76470560010538","59780449010538",2001,39,1,561,3,2001,1.4,1,1.6,1.2,1.2,0.8,1.6,1.2,1.2,0.8,1,1,,,9.1,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470561010538","59780449010538",2001,39,1,561,4,2001,0.7,0.7,0.8,0.8,0.8,0.8,0.4,0.4,0.8,0.8,1,1,,,9.8,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470562010538","59781089010538",2001,39,7,120,2,2001,2.675,0.8,2,0.8,2.8,0.8,2.8,0.8,3.1,0.8,1,1,1,1,20,1,"",2007-11-29,"10661","",,""
"76470563010538","59781089010538",2001,39,7,120,3,2001,2.7,0.8,2.8,0.8,2.8,0.8,2.4,0.8,2.8,0.8,1,1,,,20,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470564010538","59781089010538",2001,39,7,120,4,2001,1.8,0.7,1.2,0.4,2,0.8,2,0.8,2,0.8,1,1,,,20,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470568010538","59782247010538",2001,39,9,598,2,2001,0.9,0.9,1.2,1.2,1.2,1.2,0.8,0.8,0.4,0.4,1,1,1,2,7.9,1,"",2007-11-29,"10661","",,""
"76470569010538","59782247010538",2001,39,9,598,3,2001,,,,,,,,,,,,1,,,,2,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470570010538","59782247010538",2001,39,9,598,4,2001,0.6,0.6,1.2,1.2,0,0,0.8,0.8,0.4,0.4,1,1,,,20,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470577010538","59784375010538",2001,39,25,401,2,2001,0.5,0.5,0.8,0.8,0.8,0.8,0.4,0.4,0,0,1,1,1,1,12.6,1,"",2007-11-29,"10661","",,""
"76470578010538","59784375010538",2001,39,25,401,3,2001,,,,,,,,,,,,1,,,,2,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470579010538","59784375010538",2001,39,25,401,4,2001,0.1,0.1,0,0,0.4,0.4,0,0,0,0,1,1,,,6.7,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470580010538","59784920010538",2001,39,29,606,2,2001,1.4,1,1.2,0.8,1.6,1.2,1.2,0.8,1.6,1.2,1,1,1,1,20,1,"",2007-11-29,"10661","",,""
"76470581010538","59784920010538",2001,39,29,606,3,2001,0.6,0.6,0.8,0.8,0.4,0.4,0.4,0.4,0.8,0.8,1,1,,,20,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470582010538","59784920010538",2001,39,29,606,4,2001,1.7,1.3,2,1.6,1.6,1.2,1.2,0.8,2,1.6,1,1,,,20,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470586010538","59785584010538",2001,39,35,575,2,2001,0.6,0.6,0.4,0.4,0.8,0.8,0.8,0.8,0.4,0.4,1,1,2,2,9.8,1,"",2007-11-29,"10661","",,""
"76470587010538","59785584010538",2001,39,35,575,3,2001,0.6,0.6,0.4,0.4,0.4,0.4,0.8,0.8,0.8,0.8,1,1,,,11,1,"",2007-11-29,"10661","",2007-11-29,"10661"
