"CN","PLT_CN","SBP_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","REGEN_SUBP_STATUS_CD","REGEN_NONSAMPLE_REASN_CD","SUBPLOT_SITE_LIMITATIONS","MICROPLOT_SITE_LIMITATIONS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE","REGEN_MICR_STATUS_CD"
"233236045020004","247064001010661","211878808020004",2012,39,4,155,542,1,2,10,,,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,9
"233236046020004","247064001010661","211878809020004",2012,39,4,155,542,2,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233236047020004","247064001010661","211878810020004",2012,39,4,155,542,3,2,10,,,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,9
"233236048020004","247064001010661","211878811020004",2012,39,4,155,542,4,2,10,,,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,9
"233228695020004","247063695010661","211869827020004",2012,39,1,145,33,1,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228696020004","247063695010661","211869828020004",2012,39,1,145,33,2,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228697020004","247063695010661","211869829020004",2012,39,1,145,33,3,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228698020004","247063695010661","211869830020004",2012,39,1,145,33,4,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228739020004","247063725010661","211870559020004",2012,39,2,73,197,1,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228740020004","247063725010661","211870560020004",2012,39,2,73,197,2,1,,1,3,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228741020004","247063725010661","211870561020004",2012,39,2,73,197,3,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228742020004","247063725010661","211870562020004",2012,39,2,73,197,4,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233229041020004","247063864010661","211874536020004",2012,39,3,59,225,1,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233229042020004","247063864010661","211874537020004",2012,39,3,59,225,2,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233229043020004","247063864010661","211874538020004",2012,39,3,59,225,3,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233229044020004","247063864010661","211874539020004",2012,39,3,59,225,4,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233229036020004","247063979010661","211878092020004",2012,39,3,111,602,1,2,10,,,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,5
"233229037020004","247063979010661","211878093020004",2012,39,3,111,602,2,2,10,,,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,5
"233229038020004","247063979010661","211878094020004",2012,39,3,111,602,3,2,10,,,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,5
"233229039020004","247063979010661","211878095020004",2012,39,3,111,602,4,2,10,,,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,5
"233228816020004","247063962010661","211877338020004",2012,39,4,29,606,1,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
