"TRE_CN","PREV_TRE_CN","PLT_CN","STATECD","SPCD","DIA","DIAHTCD","TREE_SIZE","TREECLCD","SUBPTYP","VOLCFSND","VOLCFNET","VOLCSNET","VOLBFNET","REGIONAL_DRYBIOT","REGIONAL_DRYBIOM","REGIONAL_DRYBIOSL","DRYBIO_BG","DRYBIO_AG","DRYBIO_WDLD_SPP","DRYBIO_SAPLING","DRYBIO_STUMP","DRYBIO_BOLE","DRYBIO_SAWLOG","DRYBIO_TOP","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"211876951020004","","247063948010661",39,316,3.23,1,"SAPLING",2,2,,,,,44.739673,,,7.16347364518938019557704131509480633,3.39686765079383894483151127830440682988E01,,3.39686765079383894483151127830440682988E01,,,,,"",2019-06-13,"126144","",2019-06-13,"126144"
"211877866020004","167756175010661","247063974010661",39,313,5.9,1,"SMALL",2,1,2.477616,2.37751,,,158.190223,140.276639,,2.20464197913368789884071018037302983126E01,1.10440868149170478130282508581467370539E02,,,5.17930649860632525943899557968498170497E00,71.5812993792,,3.36802622713641528708435130017823888341E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"211877873020004","167756183010661","247063974010661",39,922,5.8,1,"SMALL",2,1,2.63576,2.529264,,,151.290829,134.158538,,2.24308309145012384051790747267822791571E01,1.12241577714198347380394363993949591556E02,,,5.51782103484646856071111104791994533288E00,72.36742656,,3.43563301193518788196832529460296462227E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"211877886020004","167756196010661","247063974010661",39,541,6.5,1,"SMALL",2,1,4.087444,3.963582,,,278.52478,246.984417,,4.78297272601302669778075972540529477146E01,2.41028588210043526254727541364498553996E02,,,1.83417556381752708076538521423201680013E01,160.685598528,,6.20012340438682554470736892221783859951E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"211879353020004","167760861010661","247064026010661",39,972,8.9,1,"SMALL",2,1,8.065733,7.576901,,,449.19474,398.327578,,7.13555800185514688481716976984492043089E01,3.65231818570597897737288345517532789916E02,,,2.00557444699551207396014173444743035383E01,262.52218716672,,8.26538869339227769976869281730584863781E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"211879357020004","167760865010661","247064026010661",39,901,23.2,1,"LARGE",4,1,52.622158,35.081438,,,6177.829285,5637.072727,,5.3887360706007863099948410550704142384E02,2.82962527726112781206848980690246017875E03,,,1.29774210039301869737303644279962632221E02,2310.0285407472,,3.89822526474625942331186162622497546533E02,"",2019-06-13,"126144","",2019-06-13,"126144"
"211879371020004","167760878010661","247064026010661",39,804,6.4,1,"SMALL",2,1,2.801786,2.688583,,,242.072783,214.660272,,3.80847241619245112692757395170639951379E01,1.91745941266311003664542428561865768895E02,,,1.22624298303616769017147864504840321382E01,127.2772929792,,5.22062184567493267628276421113817367569E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"211864432020004","167760196010661","247063169010661",39,316,9.8,1,"SMALL",2,1,13.050138,11.863762,,,564.964606,500.987574,,1.17189540673705800688841926016508427861E02,6.02141785719788345928789174077404769807E02,,,2.7381019017894106380240200592714799889E01,441.04037582592,,1.33720390875974239548548973484689969918E02,"",2019-06-13,"126144","",2019-06-13,"126144"
"211864435020004","167760199010661","247063169010661",39,316,5.5,1,"SMALL",2,1,1.898497,1.82179,,,142.845327,126.669411,,2.02983708754083487915719442309994954556E01,1.01206992689454385337007956100539590697E02,,,5.70796777520868714937039104576441325185E00,64.16130085248,,3.13377240617656981876375650547751774449E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"211864423020004","167760187010661","247063169010661",39,316,8.3,1,"SMALL",2,1,7.81212,7.259748,,,380.434752,337.354024,,7.3053050357491100869672999179927514939E01,3.72787281279716755224772821264662729176E02,,,1.80288244147276115098391581609370122575E01,264.0171575808,,9.07412992841891437149336631037257169188E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"211864424020004","167760188010661","247063169010661",39,544,8.7,1,"SMALL",2,1,10.613519,10.077483,,,425.537972,377.349721,,1.09853832686533833883256660225966396004E02,5.61742329054235982041362982785677302801E02,,,3.56842807626234372814641381211046582263E01,401.87367974208,,1.24184368549532544759898844664572644575E02,"",2019-06-13,"126144","",2019-06-13,"126144"
"211864529020004","167753853010661","247063172010661",39,544,11.5,1,"LARGE",2,1,21.735756,19.979331,14.704788,62.925493,833.636299,748.747934,5.5107849381483253868710618989194382935E02,2.11537948006045776813650173088092297536E02,1.09302084275568751630448189978265037961E03,,,6.05849592901019963260139835952670906253E01,823.00962062592,5.56797325352401912735753383145223106909E02,2.0942626283966551997846791618738328898E02,"",2019-06-13,"126144","",2019-06-13,"126144"
"211868632020004","167752026010661","247063633010661",39,316,5.29,1,"SMALL",3,1,0.948802,0.790669,,,130.202875,115.4586,,1.03047583485526891059827935424850590416E01,5.12373676898555246023132004712476864051E01,,,2.93240441602585533616721421100729730618E00,32.06556058368,,1.62394026901496692661459862602403890989E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"211869123020004","167751957010661","247063667010661",39,621,1.3,1,"SAPLING",2,2,,,,,4.916273,,,7.20880401522969247697358519796785132477E-01,2.74850017772092675121970224604446739108E00,,2.74850017772092675121970224604446739108E00,,,,,"",2019-06-13,"126144","",2019-06-13,"126144"
"211869652020004","167744574010661","247063685010661",39,972,9.34,1,"SMALL",3,1,8.268282,6.545723,,,503.872197,446.813316,,7.23015717923460092451494069921687589171E01,3.70804822392035800250188605406384369254E02,,,1.98867790919960088363159598556642234408E01,269.11471961088,,8.18033236891597914138726455507201458126E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"211869672020004","167744592010661","247063685010661",39,975,5.7,1,"SMALL",3,1,1.687909,1.444294,,,155.521772,137.910366,,1.71080070945486358033191841358112133427E01,8.55080437022166081658225875463238477437E01,,,5.80046054918045144245224788401647655628E00,54.83246654496,,2.48751166080761567233703396623073711874E01,"",2019-06-13,"126144","",2019-06-13,"126144"
