"CN","PLT_CN","VVT_CN","VSB_CN","INVYR","STATECD","COUNTYCD","PLOT","SUBP","QUADRAT","CONDID","QUADRAT_STATUS","QUADRAT_STATUS_PRE2004","TRAMPLING","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"144715010760","59780449010538","491010760","69794010760",2001,39,1,561,1,1,1,1,,1,"",2005-12-21,"10760","",,""
"144716010760","59780449010538","491010760","69794010760",2001,39,1,561,1,2,1,1,,1,"",2005-12-21,"10760","",,""
"144717010760","59780449010538","491010760","69794010760",2001,39,1,561,1,3,1,1,,1,"",2005-12-21,"10760","",,""
"144718010760","59780449010538","491010760","69795010760",2001,39,1,561,2,1,1,1,,1,"",2005-12-21,"10760","",,""
"144719010760","59780449010538","491010760","69795010760",2001,39,1,561,2,2,1,1,,1,"",2005-12-21,"10760","",,""
"144720010760","59780449010538","491010760","69795010760",2001,39,1,561,2,3,1,1,,1,"",2005-12-21,"10760","",,""
"144721010760","59780449010538","491010760","69796010760",2001,39,1,561,3,1,1,1,,1,"",2005-12-21,"10760","",,""
"144722010760","59780449010538","491010760","69796010760",2001,39,1,561,3,2,1,1,,1,"",2005-12-21,"10760","",,""
"144723010760","59780449010538","491010760","69796010760",2001,39,1,561,3,3,1,1,,2,"",2005-12-21,"10760","",,""
"144680010760","59857241010538","488010760","69782010760",2003,39,145,4951,1,2,1,1,,2,"",2005-12-21,"10760","",,""
"144681010760","59857241010538","488010760","69782010760",2003,39,145,4951,1,3,1,1,,1,"",2005-12-21,"10760","",,""
"144682010760","59857241010538","488010760","69783010760",2003,39,145,4951,2,1,1,1,,1,"",2005-12-21,"10760","",,""
"144683010760","59857241010538","488010760","69783010760",2003,39,145,4951,2,2,1,1,,1,"",2005-12-21,"10760","",,""
"144684010760","59857241010538","488010760","69783010760",2003,39,145,4951,2,3,1,1,,1,"",2005-12-21,"10760","",,""
"144685010760","59857241010538","488010760","69784010760",2003,39,145,4951,3,1,1,1,,1,"",2005-12-21,"10760","",,""
"144686010760","59857241010538","488010760","69784010760",2003,39,145,4951,3,2,1,1,,1,"",2005-12-21,"10760","",,""
"144687010760","59857241010538","488010760","69784010760",2003,39,145,4951,3,3,1,1,,1,"",2005-12-21,"10760","",,""
"144688010760","59857241010538","488010760","69785010760",2003,39,145,4951,4,1,1,1,,2,"",2005-12-21,"10760","",,""
"144689010760","59857241010538","488010760","69785010760",2003,39,145,4951,4,2,1,1,,1,"",2005-12-21,"10760","",,""
"144690010760","59857241010538","488010760","69785010760",2003,39,145,4951,4,3,1,1,,1,"",2005-12-21,"10760","",,""
"148636010760","59858451010538","864010760","71289010760",2003,39,155,3843,4,1,2,1,,1,"",2005-12-21,"10760","",,""
"148637010760","59858451010538","864010760","71289010760",2003,39,155,3843,4,2,2,1,,1,"",2005-12-21,"10760","",,""
"148638010760","59858451010538","864010760","71289010760",2003,39,155,3843,4,3,2,1,,1,"",2005-12-21,"10760","",,""
"147388010760","59859396010538","750010760","70830010760",2003,39,157,3047,1,1,1,1,,1,"",2005-12-21,"10760","",,""
"147389010760","59859396010538","750010760","70830010760",2003,39,157,3047,1,2,1,1,,1,"",2005-12-21,"10760","",,""
"147390010760","59859396010538","750010760","70830010760",2003,39,157,3047,1,3,1,1,,1,"",2005-12-21,"10760","",,""
"147391010760","59859396010538","750010760","70831010760",2003,39,157,3047,2,1,1,1,,1,"",2005-12-21,"10760","",,""
"147392010760","59859396010538","750010760","70831010760",2003,39,157,3047,2,2,1,1,,2,"",2005-12-21,"10760","",,""
"147393010760","59859396010538","750010760","70831010760",2003,39,157,3047,2,3,1,1,,3,"",2005-12-21,"10760","",,""
"147394010760","59859396010538","750010760","70832010760",2003,39,157,3047,3,1,1,1,,1,"",2005-12-21,"10760","",,""
"147395010760","59859396010538","750010760","70832010760",2003,39,157,3047,3,2,1,1,,1,"",2005-12-21,"10760","",,""
"147396010760","59859396010538","750010760","70832010760",2003,39,157,3047,3,3,1,1,,1,"",2005-12-21,"10760","",,""
"147397010760","59859396010538","750010760","70833010760",2003,39,157,3047,4,1,1,1,,1,"",2005-12-21,"10760","",,""
"147398010760","59859396010538","750010760","70833010760",2003,39,157,3047,4,2,1,1,,3,"",2005-12-21,"10760","",,""
"147399010760","59859396010538","750010760","70833010760",2003,39,157,3047,4,3,1,1,,1,"",2005-12-21,"10760","",,""
"146125010760","59860065010538","623010760","70322010760",2003,39,165,2505,1,1,1,1,,1,"",2005-12-21,"10760","",,""
"146126010760","59860065010538","623010760","70322010760",2003,39,165,2505,1,2,1,1,,1,"",2005-12-21,"10760","",,""
"146127010760","59860065010538","623010760","70322010760",2003,39,165,2505,1,3,1,1,,1,"",2005-12-21,"10760","",,""
"146128010760","59860065010538","623010760","70323010760",2003,39,165,2505,2,1,1,1,,1,"",2005-12-21,"10760","",,""
