"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","VEG_QA_STATUS","VEG_KINDCD","VEG_MANUAL","TRACE_COVER_ALLOWED","VEG_MEASYEAR","VEG_MEASMON","VEG_MEASDAY","VEG_SAMPLE_BASIS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","QA_STATUS"
"247584684010661","168994923010661",2010,39,167,3682,1,2,"4.0",1,2010,6,23,2,"",2011-05-05,"10661","",2019-06-13,"126144",
"249335506010661","168995389010661",2010,39,169,5407,1,1,"4.0",1,2010,6,14,2,"",2011-06-02,"10661","",2019-06-13,"126144",
"491010760","59780449010538",2001,39,1,561,1,1,"1.7",0,2001,8,10,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"871010760","59781089010538",2001,39,7,120,1,1,"1.7",0,2001,8,13,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"610010760","59782247010538",2001,39,9,598,1,1,"1.7",0,2001,7,17,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"621010760","59784375010538",2001,39,25,401,1,1,"1.7",0,2001,8,14,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"743010760","59784920010538",2001,39,29,606,1,1,"1.7",0,2001,6,27,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"877010760","59785584010538",2001,39,35,575,1,1,"1.7",0,2001,7,12,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"757010760","59786192010538",2001,39,41,574,1,1,"1.7",0,2001,8,2,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"485010760","59787135010538",2001,39,53,778,1,1,"1.7",0,2001,7,19,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"622010760","59788852010538",2001,39,61,506,1,1,"1.7",0,2001,8,20,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"738010760","59789167010538",2001,39,67,363,1,1,"1.7",0,2001,7,24,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"612010760","59790455010538",2001,39,73,197,1,1,"1.7",0,2001,8,1,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"756010760","59792161010538",2001,39,83,604,1,1,"1.7",0,2001,7,30,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"482010760","59792877010538",2001,39,87,319,1,1,"1.7",0,2001,8,17,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"216281332010661","59796133010538",2001,39,111,537,1,1,"1.7",0,2001,12,31,1,"",2009-09-25,"10661","",2019-06-13,"126144",
"876010760","59799485010538",2001,39,133,64,1,1,"1.7",0,2001,7,10,1,"",2005-12-21,"10760","",2019-06-13,"126144",
