,plot_sequence_number,plot_state_code,plot_county_code,measurement_year,latitude,longitude,tree_sequence_number,species_code,current_diameter
0,109828523010661,39,71,2008,39.07902145385742,-83.62256622314453,,,
1,144954145010661,39,71,2009,39.1737060546875,-83.713134765625,,,
2,72775975010538,39,71,2006,39.12586212158203,-83.52815246582031,,,
3,19130744010661,39,71,1991,39.2222900390625,-83.49992370605469,19130761010661.0,975.0,5.599999904632568
4,19130709010661,39,71,1991,39.02785110473633,-83.63880920410156,19130721010661.0,975.0,1.5
5,16232619020004,39,71,2013,39.1383171081543,-83.67396545410156,271064117489998.0,693.0,6.199999809265137
6,171867668020004,39,71,2015,39.16669845581055,-83.54429626464844,334951316489998.0,318.0,4.300000190734863
7,19130391010661,39,71,1991,39.13895034790039,-83.583251953125,19130420010661.0,316.0,12.899999618530273
8,463048628489998,39,71,2018,39.24785614013672,-83.75057983398438,,,
9,19130372010661,39,71,1990,39.11117935180664,-83.55547332763672,,,
10,19130087010661,39,71,1991,39.19451141357422,-83.80548095703125,19130122010661.0,693.0,11.0
11,19130539010661,39,71,1991,39.11117935180664,-83.4443588256836,19130575010661.0,400.0,7.0
12,16232360020004,39,71,2013,39.22666549682617,-83.3768539428711,271060676489998.0,602.0,20.799999237060547
13,16232616020004,39,71,2013,39.301231384277344,-83.50814819335938,271064060489998.0,541.0,6.199999809265137
14,59876707010538,39,71,2005,39.16669845581055,-83.54429626464844,66352464010538.0,318.0,9.5
15,76388904010538,39,71,2008,39.11795425415039,-83.62103271484375,167753235010661.0,68.0,6.400000095367432
16,144954033010661,39,71,2009,39.081207275390625,-83.38607788085938,224917602010661.0,316.0,14.399999618530273
17,144954149010661,39,71,2009,39.045597076416016,-83.636962890625,224917758010661.0,602.0,6.699999809265137
18,171867462020004,39,71,2015,39.081207275390625,-83.38607788085938,381530911489998.0,621.0,9.899999618530273
19,171867462020004,39,71,2015,39.081207275390625,-83.38607788085938,381530928489998.0,316.0,9.399999618530273
20,171867462020004,39,71,2015,39.081207275390625,-83.38607788085938,381530929489998.0,832.0,15.199999809265137
21,171867739020004,39,71,2015,39.023719787597656,-83.62349700927734,381531805489998.0,318.0,8.600000381469727
22,247063195010661,39,71,2012,39.11795425415039,-83.62103271484375,211864859020004.0,68.0,
23,306266309489998,39,71,2016,39.28889465332031,-83.46366119384766,469319390489998.0,826.0,4.300000190734863
24,247063195010661,39,71,2012,39.11795425415039,-83.62103271484375,211864824020004.0,68.0,
25,375549662489998,39,71,2017,39.242855072021484,-83.56659698486328,530827203126144.0,541.0,
26,109829335010661,39,71,2008,39.29975509643555,-83.65910339355469,,,
27,19130180010661,39,71,1991,39.16672897338867,-83.52770233154297,19130220010661.0,837.0,12.800000190734863
28,19130046010661,39,71,1991,39.00006866455078,-83.61103057861328,19130061010661.0,400.0,6.900000095367432
29,19130046010661,39,71,1991,39.00006866455078,-83.61103057861328,19130067010661.0,802.0,6.5
30,19130539010661,39,71,1991,39.11117935180664,-83.4443588256836,19130567010661.0,693.0,9.600000381469727
31,59821061010538,39,71,2003,39.1383171081543,-83.67396545410156,66276328010538.0,931.0,3.9000000953674316
32,59876707010538,39,71,2005,39.16669845581055,-83.54429626464844,66352500010538.0,931.0,2.5999999046325684
33,66408197010538,39,71,2005,39.023719787597656,-83.62349700927734,66408251010538.0,403.0,11.300000190734863
