,plot_sequence_number,plot_state_code,plot_county_code,measurement_year,latitude,longitude,tree_sequence_number,species_code,current_diameter
0,19132805010661,39,73,1991,39.38896179199219,-82.63877868652344,19132810010661.0,802.0,31.799999237060547
1,19131079010661,39,73,1991,39.41672897338867,-82.63877868652344,19131084010661.0,621.0,10.300000190734863
2,19131243010661,39,73,1991,39.52785110473633,-82.36099243164062,19131254010661.0,314.0,8.100000381469727
3,19132689010661,39,73,1991,39.36117935180664,-82.58322143554688,19132693010661.0,491.0,1.2000000476837158
4,19133212010661,39,73,1991,39.52785110473633,-82.24987030029297,19133251010661.0,621.0,2.299999952316284
5,16233044020004,39,73,2013,39.40510177612305,-82.41989135742188,271075101489998.0,318.0,14.600000381469727
6,59789905010538,39,73,2001,39.49663543701172,-82.45587158203125,66243210010538.0,316.0,5.5
7,59821542010538,39,73,2001,39.41685104370117,-82.48712158203125,66276821010538.0,318.0,5.099999904632568
8,59839374010538,39,73,2004,39.550682067871094,-82.36129760742188,66325657010538.0,621.0,16.200000762939453
9,59839374010538,39,73,2004,39.550682067871094,-82.36129760742188,66325661010538.0,621.0,10.199999809265137
10,72776707010538,39,73,2006,39.46245574951172,-82.51477813720703,73971464010538.0,132.0,8.0
11,72776877010538,39,73,2006,39.50896072387695,-82.20458984375,73971623010538.0,743.0,15.5
12,72777118010538,39,73,2006,39.597930908203125,-82.59300994873047,73971828010538.0,316.0,9.199999809265137
13,109828067010661,39,73,2008,39.43483352661133,-82.29849243164062,212650267010661.0,931.0,1.2000000476837158
14,109828069010661,39,73,2008,39.40510177612305,-82.41989135742188,212650070010661.0,132.0,9.899999618530273
15,109828185010661,39,73,2008,39.51411819458008,-82.41111755371094,212650175010661.0,356.0,1.0
16,168995199010661,39,73,2010,39.50896072387695,-82.20458984375,247553743010661.0,541.0,6.0
17,168995453010661,39,73,2010,39.528987884521484,-82.70364379882812,247552345010661.0,318.0,17.700000762939453
18,171868177020004,39,73,2014,39.559967041015625,-82.25596618652344,334962769489998.0,802.0,11.800000190734863
19,222444521010661,39,73,2011,39.46245574951172,-82.51477813720703,31285169020004.0,837.0,
20,247063725010661,39,73,2012,39.4567756652832,-82.68518829345703,211870572020004.0,621.0,10.600000381469727
21,251630669489998,39,73,2015,39.51822280883789,-82.38870239257812,381542031489998.0,602.0,10.800000190734863
22,306266437489998,39,73,2016,39.50896072387695,-82.20458984375,469321869489998.0,972.0,6.699999809265137
