,plot_sequence_number,plot_state_code,plot_county_code,measurement_year,latitude,longitude,tree_sequence_number,species_code,current_diameter
0,19138782010661,39,83,1990,40.38895034790039,-82.27765655517578,19138791010661.0,400.0,18.0
1,19138267010661,39,83,1990,40.36117172241211,-82.63877868652344,19138282010661.0,531.0,6.599999904632568
2,19138267010661,39,83,1990,40.36117172241211,-82.63877868652344,19138294010661.0,541.0,5.800000190734863
3,19138527010661,39,83,1990,40.4722785949707,-82.49989318847656,19138535010661.0,975.0,10.399999618530273
4,59791916010538,39,83,2002,40.40792465209961,-82.18836975097656,66245152010538.0,129.0,13.300000190734863
5,59792332010538,39,83,2002,40.33939743041992,-82.23188018798828,66245551010538.0,762.0,11.5
6,66410527010538,39,83,2005,40.37889099121094,-82.63040924072266,66410627010538.0,367.0,1.2000000476837158
7,76390270010538,39,83,2007,40.40792465209961,-82.18836975097656,167744497010661.0,129.0,15.0
8,76390278010538,39,83,2007,40.41478729248047,-82.27442169189453,167744711010661.0,742.0,8.0
9,76390286010538,39,83,2007,40.41051483154297,-82.35193634033203,167744912010661.0,762.0,7.800000190734863
10,144953855010661,39,83,2009,40.46653747558594,-82.46092987060547,225009863010661.0,972.0,
11,66410527010538,39,83,2005,40.37889099121094,-82.63040924072266,66410597010538.0,901.0,5.800000190734863
12,463049086489998,39,83,2018,40.495948791503906,-82.50090026855469,657542716126144.0,541.0,7.800000190734863
13,19138828010661,39,83,1990,40.38895034790039,-82.2498779296875,19138859010661.0,802.0,21.700000762939453
14,19138662010661,39,83,1990,40.36117172241211,-82.63877868652344,19138686010661.0,975.0,8.199999809265137
15,19138527010661,39,83,1990,40.4722785949707,-82.49989318847656,19138544010661.0,975.0,4.5
16,72780445010538,39,83,2007,40.381324768066406,-82.37960052490234,73975133010538.0,972.0,5.0
17,247063758010661,39,83,2012,40.41478729248047,-82.27442169189453,211871388020004.0,742.0,17.0
18,247063759010661,39,83,2012,40.33939743041992,-82.23188018798828,211871486020004.0,762.0,9.800000190734863
19,375549867489998,39,83,2017,40.40696716308594,-82.55645751953125,530819224126144.0,602.0,5.5
20,19138430010661,39,83,1990,40.52783966064453,-82.47210693359375,19138448010661.0,762.0,12.699999809265137
21,222444343010661,39,83,2011,40.4444465637207,-82.5331039428711,,,
22,19138383010661,39,83,1990,40.4722900390625,-82.19432067871094,19138416010661.0,802.0,8.300000190734863
23,59791916010538,39,83,2002,40.40792465209961,-82.18836975097656,66245148010538.0,129.0,14.899999618530273
24,59792068010538,39,83,2002,40.355838775634766,-82.57574462890625,66245260010538.0,541.0,16.200000762939453
25,59792068010538,39,83,2002,40.355838775634766,-82.57574462890625,66245292010538.0,972.0,5.099999904632568
26,59823724010538,39,83,2002,40.49187469482422,-82.32205200195312,66278949010538.0,901.0,5.199999809265137
27,76390284010538,39,83,2007,40.49187469482422,-82.32205200195312,167744860010661.0,541.0,
28,144953853010661,39,83,2009,40.38114929199219,-82.2605972290039,225009653010661.0,762.0,23.100000381469727
29,222444345010661,39,83,2011,40.381324768066406,-82.37960052490234,31286132020004.0,972.0,4.199999809265137
30,222444345010661,39,83,2011,40.381324768066406,-82.37960052490234,31286143020004.0,972.0,5.5
31,463049087489998,39,83,2018,40.355838775634766,-82.57574462890625,657542741126144.0,318.0,11.600000381469727
32,375549865489998,39,83,2017,40.381324768066406,-82.37960052490234,530819190126144.0,972.0,5.400000095367432
33,19138144010661,39,83,1990,40.4722900390625,-82.19432067871094,19138154010661.0,837.0,12.800000190734863
34,19138606010661,39,83,1990,40.36117935180664,-82.2498779296875,19138649010661.0,129.0,9.5
35,19138782010661,39,83,1990,40.38895034790039,-82.27765655517578,19138793010661.0,975.0,14.699999809265137
36,59840865010538,39,83,2003,40.30085754394531,-82.73274993896484,,,
37,19138300010661,39,83,1990,40.38895034790039,-82.19432067871094,19138348010661.0,621.0,5.400000095367432
38,19138702010661,39,83,1990,40.44451141357422,-82.44432830810547,19138705010661.0,999.0,2.200000047683716
39,59792161010538,39,83,2001,40.41478729248047,-82.27442169189453,66245369010538.0,313.0,5.099999904632568
40,76390270010538,39,83,2007,40.40792465209961,-82.18836975097656,167744508010661.0,621.0,8.600000381469727
41,76390280010538,39,83,2007,40.33939743041992,-82.23188018798828,167744771010661.0,762.0,1.7999999523162842
42,168996551010661,39,83,2010,40.3604850769043,-82.6149673461914,247560517010661.0,318.0,3.4000000953674316
43,247063680010661,39,83,2012,40.41051483154297,-82.35193634033203,211869499020004.0,833.0,11.699999809265137
44,247063682010661,39,83,2012,40.495948791503906,-82.50090026855469,211869587020004.0,318.0,
45,247063756010661,39,83,2012,40.40792465209961,-82.18836975097656,211871294020004.0,129.0,7.199999809265137
46,463049067489998,39,83,2019,40.33939743041992,-82.23188018798828,657542210126144.0,316.0,
47,463049067489998,39,83,2019,40.33939743041992,-82.23188018798828,657542228126144.0,762.0,
48,463049086489998,39,83,2018,40.495948791503906,-82.50090026855469,657542726126144.0,318.0,5.300000190734863
49,19138527010661,39,83,1990,40.4722785949707,-82.49989318847656,19138533010661.0,970.0,8.199999809265137
50,59792332010538,39,83,2002,40.33939743041992,-82.23188018798828,66245569010538.0,762.0,7.800000190734863
51,59879387010538,39,83,2005,40.38114929199219,-82.2605972290039,66355078010538.0,802.0,6.0
52,76390280010538,39,83,2007,40.33939743041992,-82.23188018798828,167744768010661.0,762.0,12.5
53,144953853010661,39,83,2009,40.38114929199219,-82.2605972290039,225009637010661.0,802.0,8.899999618530273
54,144953855010661,39,83,2009,40.46653747558594,-82.46092987060547,225009852010661.0,972.0,6.900000095367432
55,168996551010661,39,83,2010,40.3604850769043,-82.6149673461914,247560506010661.0,318.0,1.600000023841858
56,247063679010661,39,83,2012,40.49187469482422,-82.32205200195312,211869433020004.0,316.0,
57,375549867489998,39,83,2017,40.40696716308594,-82.55645751953125,530819217126144.0,641.0,12.699999809265137
58,72780445010538,39,83,2007,40.381324768066406,-82.37960052490234,73975123010538.0,975.0,6.900000095367432
59,76390284010538,39,83,2007,40.49187469482422,-82.32205200195312,167744846010661.0,316.0,5.0
60,247063679010661,39,83,2012,40.49187469482422,-82.32205200195312,211869446020004.0,541.0,8.300000190734863
61,463049087489998,39,83,2018,40.355838775634766,-82.57574462890625,657542754126144.0,972.0,6.099999904632568
62,19138719010661,39,83,1990,40.33340072631836,-82.61100006103516,19138759010661.0,762.0,16.700000762939453
63,19138828010661,39,83,1990,40.38895034790039,-82.2498779296875,19138874010661.0,802.0,17.5
64,66433691010538,39,83,2005,40.45159912109375,-82.4751968383789,,,
65,109828255010661,39,83,2008,40.386878967285156,-82.48632049560547,,,
66,59791916010538,39,83,2002,40.40792465209961,-82.18836975097656,66245126010538.0,318.0,3.9000000953674316
67,59792427010538,39,83,2002,40.41051483154297,-82.35193634033203,66245652010538.0,541.0,2.5999999046325684
68,306265257489998,39,83,2016,40.3604850769043,-82.6149673461914,469315389489998.0,762.0,4.400000095367432
69,463049086489998,39,83,2018,40.495948791503906,-82.50090026855469,657542720126144.0,318.0,1.2000000476837158
70,19138719010661,39,83,1990,40.33340072631836,-82.61100006103516,19138770010661.0,833.0,16.200000762939453
71,19138144010661,39,83,1990,40.4722900390625,-82.19432067871094,19138180010661.0,491.0,5.099999904632568
72,19138267010661,39,83,1990,40.36117172241211,-82.63877868652344,19138281010661.0,318.0,7.5
73,19138243010661,39,83,1990,40.2222900390625,-82.27764892578125,19138264010661.0,693.0,3.4000000953674316
74,59792427010538,39,83,2002,40.41051483154297,-82.35193634033203,66245662010538.0,975.0,15.0
75,59879603010538,39,83,2005,40.32836151123047,-82.5137710571289,66359756010538.0,972.0,8.300000190734863
76,76390270010538,39,83,2007,40.40792465209961,-82.18836975097656,167744511010661.0,762.0,25.899999618530273
77,222444457010661,39,83,2011,40.46260452270508,-82.2071304321289,31286093020004.0,837.0,14.600000381469727
78,247063679010661,39,83,2012,40.49187469482422,-82.32205200195312,211869431020004.0,316.0,1.899999976158142
79,247063680010661,39,83,2012,40.41051483154297,-82.35193634033203,211869495020004.0,762.0,7.599999904632568
80,306265257489998,39,83,2016,40.3604850769043,-82.6149673461914,469315374489998.0,407.0,12.899999618530273
81,463049067489998,39,83,2019,40.33939743041992,-82.23188018798828,657542223126144.0,762.0,
