,plot_sequence_number,plot_state_code,plot_county_code,measurement_year,latitude,longitude,tree_sequence_number,species_code,current_diameter
0,66428203010538,39,95,2005,41.69087600708008,-83.326416015625,,,
1,251630403489998,39,95,2015,41.69087600708008,-83.326416015625,,,
2,375549485489998,39,95,2018,41.69188690185547,-83.44696044921875,,,
3,19143094010661,39,95,1991,41.61116027832031,-83.80549621582031,19143105010661.0,830.0,5.400000095367432
4,19143239010661,39,95,1991,41.50004959106445,-83.86105346679688,19143271010661.0,762.0,10.0
5,109828871010661,39,95,2008,41.71050262451172,-83.7154541015625,212662666010661.0,762.0,10.199999809265137
6,144954463010661,39,95,2009,41.55684280395508,-83.72679901123047,225010532010661.0,972.0,2.299999952316284
7,171867622020004,39,95,2014,41.52568435668945,-83.8596420288086,334950230489998.0,762.0,10.100000381469727
8,251630357489998,39,95,2016,41.664241790771484,-83.64910125732422,381536480489998.0,317.0,9.5
9,463048795489998,39,95,2018,41.66604232788086,-83.7697982788086,657547073126144.0,931.0,6.599999904632568
10,19143130010661,39,95,1991,41.69449996948242,-83.77771759033203,19143186010661.0,500.0,2.299999952316284
11,59842363010538,39,95,2003,41.52568435668945,-83.8596420288086,66328660010538.0,931.0,8.100000381469727
12,144954467010661,39,95,2009,41.52568435668945,-83.8596420288086,225010457010661.0,762.0,
13,222443639010661,39,95,2012,41.71015167236328,-83.7816390991211,31287494020004.0,407.0,7.800000190734863
14,375549635489998,39,95,2017,41.71015167236328,-83.7816390991211,530826926126144.0,951.0,
15,463048795489998,39,95,2018,41.66604232788086,-83.7697982788086,657547070126144.0,316.0,8.5
16,66412365010538,39,95,2005,41.664241790771484,-83.64910125732422,66412415010538.0,541.0,8.199999809265137
17,19143233010661,39,95,1991,41.694488525390625,-83.58326721191406,,,
18,171867446020004,39,95,2015,41.55684280395508,-83.72679901123047,334949109489998.0,972.0,9.0
19,222443639010661,39,95,2012,41.71015167236328,-83.7816390991211,31287509020004.0,407.0,8.800000190734863
20,19143239010661,39,95,1991,41.50004959106445,-83.86105346679688,19143244010661.0,125.0,9.600000381469727
21,19143337010661,39,95,1991,41.638938903808594,-83.86105346679688,19143340010661.0,500.0,2.0999999046325684
22,76390328010538,39,95,2008,41.66604232788086,-83.7697982788086,167746338010661.0,316.0,6.400000095367432
23,463048795489998,39,95,2018,41.66604232788086,-83.7697982788086,657547063126144.0,316.0,1.600000023841858
24,19143130010661,39,95,1991,41.69449996948242,-83.77771759033203,19143157010661.0,951.0,12.100000381469727
25,19143094010661,39,95,1991,41.61116027832031,-83.80549621582031,19143104010661.0,830.0,5.599999904632568
26,19143064010661,39,95,1991,41.58338165283203,-83.80549621582031,19143086010661.0,762.0,1.2000000476837158
27,59842363010538,39,95,2003,41.52568435668945,-83.8596420288086,66328620010538.0,316.0,1.100000023841858
28,76390328010538,39,95,2008,41.66604232788086,-83.7697982788086,167746324010661.0,316.0,9.0
29,171867622020004,39,95,2014,41.52568435668945,-83.8596420288086,334950209489998.0,125.0,8.600000381469727
30,222443683010661,39,95,2012,41.46684265136719,-83.75054931640625,31287548020004.0,742.0,32.099998474121094
31,59842363010538,39,95,2003,41.52568435668945,-83.8596420288086,66328624010538.0,762.0,5.599999904632568
32,144954463010661,39,95,2009,41.55684280395508,-83.72679901123047,225010542010661.0,972.0,
33,222443639010661,39,95,2012,41.71015167236328,-83.7816390991211,31287506020004.0,951.0,8.600000381469727
34,144954467010661,39,95,2009,41.52568435668945,-83.8596420288086,225010422010661.0,125.0,11.899999618530273
35,171867446020004,39,95,2015,41.55684280395508,-83.72679901123047,334949113489998.0,972.0,6.099999904632568
36,19143130010661,39,95,1991,41.69449996948242,-83.77771759033203,19143166010661.0,951.0,8.0
37,76390328010538,39,95,2008,41.66604232788086,-83.7697982788086,167746326010661.0,316.0,5.5
38,171867622020004,39,95,2014,41.52568435668945,-83.8596420288086,334950237489998.0,762.0,17.100000381469727
39,171867446020004,39,95,2015,41.55684280395508,-83.72679901123047,334949114489998.0,951.0,7.199999809265137
40,19143337010661,39,95,1991,41.638938903808594,-83.86105346679688,19143344010661.0,901.0,1.0
41,72784931010538,39,95,2007,41.46684265136719,-83.75054931640625,73979526010538.0,541.0,7.800000190734863
42,109828871010661,39,95,2008,41.71050262451172,-83.7154541015625,212662672010661.0,462.0,
43,144954463010661,39,95,2009,41.55684280395508,-83.72679901123047,225010548010661.0,462.0,6.699999809265137
44,171867622020004,39,95,2014,41.52568435668945,-83.8596420288086,334950211489998.0,125.0,10.0
45,463048795489998,39,95,2018,41.66604232788086,-83.7697982788086,657547051126144.0,316.0,7.400000095367432
46,306266272489998,39,95,2016,41.51013946533203,-83.76417541503906,,,
47,19143217010661,39,95,1991,41.61116027832031,-83.4166030883789,,,
48,222443639010661,39,95,2012,41.71015167236328,-83.7816390991211,31287507020004.0,407.0,9.800000190734863
49,222443639010661,39,95,2012,41.71015167236328,-83.7816390991211,31287510020004.0,823.0,22.600000381469727
50,59842363010538,39,95,2003,41.52568435668945,-83.8596420288086,66328612010538.0,125.0,11.699999809265137
51,76390328010538,39,95,2008,41.66604232788086,-83.7697982788086,167746339010661.0,316.0,5.900000095367432
