,plot_sequence_number,plot_state_code,plot_county_code,measurement_year,latitude,longitude,tree_sequence_number,species_code,current_diameter
0,19156703010661,39,127,1991,39.69451141357422,-82.22209167480469,19156721010661.0,931.0,5.699999809265137
1,19157161010661,39,127,1991,39.63896179199219,-82.16654205322266,19157190010661.0,500.0,1.7999999523162842
2,19157256010661,39,127,1991,39.69451141357422,-82.055419921875,19157319010661.0,762.0,1.7000000476837158
3,16233017020004,39,127,2013,39.76705551147461,-82.13922119140625,271073852489998.0,316.0,18.899999618530273
4,16233020020004,39,127,2013,39.78449630737305,-82.340087890625,271073999489998.0,541.0,6.199999809265137
5,16233146020004,39,127,2013,39.61848831176758,-82.04890441894531,271078185489998.0,931.0,7.599999904632568
6,59798342010538,39,127,2002,39.56293869018555,-82.09737396240234,66258047010538.0,531.0,7.400000095367432
7,59798580010538,39,127,2002,39.87087631225586,-82.44799041748047,66258287010538.0,541.0,8.5
8,72758189010538,39,127,2006,39.74824523925781,-82.18046569824219,73953223010538.0,742.0,9.5
9,109827957010661,39,127,2008,39.591217041015625,-82.04411315917969,212651460010661.0,332.0,5.800000190734863
10,144954849010661,39,127,2009,39.58498001098633,-82.37456512451172,224925820010661.0,762.0,5.599999904632568
11,171868064020004,39,127,2014,39.71131896972656,-82.12551879882812,334960469489998.0,762.0,1.899999976158142
12,375549937489998,39,127,2017,39.74824523925781,-82.18046569824219,530822057126144.0,316.0,7.0
13,59864312010538,39,127,2004,39.62751770019531,-82.18634033203125,66365304010538.0,837.0,5.699999809265137
14,144954847010661,39,127,2009,39.62751770019531,-82.18634033203125,224925866010661.0,743.0,16.5
15,247063712010661,39,127,2013,39.85607147216797,-82.27429962158203,211870161020004.0,762.0,5.400000095367432
16,375549937489998,39,127,2017,39.74824523925781,-82.18046569824219,530822073126144.0,316.0,1.2999999523162842
17,19157510010661,39,127,1991,39.58340072631836,-82.1943130493164,,,
18,19157376010661,39,127,1991,39.63896179199219,-82.27764892578125,19157379010661.0,621.0,11.100000381469727
19,19157512010661,39,127,1991,39.61117935180664,-82.1943130493164,19157521010661.0,743.0,9.199999809265137
20,19156703010661,39,127,1991,39.69451141357422,-82.22209167480469,19156742010661.0,743.0,9.0
21,19156764010661,39,127,1991,39.7222900390625,-82.27764892578125,19156795010661.0,833.0,5.5
22,19157161010661,39,127,1991,39.63896179199219,-82.16654205322266,19157182010661.0,318.0,6.199999809265137
23,19156703010661,39,127,1991,39.69451141357422,-82.22209167480469,19156709010661.0,491.0,1.899999976158142
24,59854244010538,39,127,2004,39.77521896362305,-82.12154388427734,66333876010538.0,341.0,10.399999618530273
25,72758710010538,39,127,2006,39.570133209228516,-82.22969818115234,73953744010538.0,316.0,7.0
26,72758827010538,39,127,2006,39.56201934814453,-82.22692108154297,73953868010538.0,316.0,5.5
27,76389118010538,39,127,2007,39.67179870605469,-82.31929016113281,167749395010661.0,972.0,
28,109828057010661,39,127,2008,39.76705551147461,-82.13922119140625,212651261010661.0,621.0,7.199999809265137
29,109828059010661,39,127,2008,39.6512336730957,-82.19329071044922,212651382010661.0,316.0,3.200000047683716
30,16233129020004,39,127,2013,39.61934280395508,-82.26762390136719,271077401489998.0,806.0,8.199999809265137
31,16233129020004,39,127,2013,39.61934280395508,-82.26762390136719,271077416489998.0,409.0,7.300000190734863
32,171867305020004,39,127,2014,39.58498001098633,-82.37456512451172,334947932489998.0,313.0,4.199999809265137
33,247064010010661,39,127,2012,39.56293869018555,-82.09737396240234,211879007020004.0,332.0,9.5
34,251630654489998,39,127,2015,39.575523376464844,-82.15323638916016,381541571489998.0,409.0,9.699999809265137
35,306266075489998,39,127,2016,39.665489196777344,-82.08663940429688,469316463489998.0,743.0,10.100000381469727
36,375549940489998,39,127,2017,39.60074996948242,-82.29238891601562,530822181126144.0,975.0,6.900000095367432
37,59864445010538,39,127,2004,39.61885452270508,-82.04804229736328,66365461010538.0,833.0,5.900000095367432
38,72758397010538,39,127,2006,39.665489196777344,-82.08663940429688,73953465010538.0,743.0,6.900000095367432
39,72758397010538,39,127,2006,39.665489196777344,-82.08663940429688,73953505010538.0,743.0,6.599999904632568
40,144953663010661,39,127,2009,39.77521896362305,-82.12154388427734,225898694010661.0,972.0,7.5
41,144953663010661,39,127,2009,39.77521896362305,-82.12154388427734,225898695010661.0,621.0,17.5
42,247064036010661,39,127,2012,39.56471633911133,-82.15896606445312,211879701020004.0,316.0,7.300000190734863
43,19157614010661,39,127,1991,39.58340072631836,-82.055419921875,19157617010661.0,332.0,17.200000762939453
44,19156420010661,39,127,1991,39.69451141357422,-82.13876342773438,19156426010661.0,316.0,19.0
45,19156420010661,39,127,1991,39.69451141357422,-82.13876342773438,19156428010661.0,400.0,17.0
46,19157129010661,39,127,1991,39.7222900390625,-82.1943130493164,19157140010661.0,316.0,6.099999904632568
47,19157327010661,39,127,1991,39.63896179199219,-82.36099243164062,19157361010661.0,901.0,10.399999618530273
48,19156764010661,39,127,1991,39.7222900390625,-82.27764892578125,19156798010661.0,541.0,1.0
49,19157161010661,39,127,1991,39.63896179199219,-82.16654205322266,19157169010661.0,491.0,3.0999999046325684
50,19157207010661,39,127,1991,39.66674041748047,-82.13876342773438,19157245010661.0,491.0,1.0
51,19157445010661,39,127,1991,39.63896179199219,-82.08319854736328,19157456010661.0,701.0,1.0
52,59798342010538,39,127,2002,39.56293869018555,-82.09737396240234,66258045010538.0,332.0,10.899999618530273
53,59864312010538,39,127,2004,39.62751770019531,-82.18634033203125,66365332010538.0,402.0,11.399999618530273
54,59864445010538,39,127,2004,39.61885452270508,-82.04804229736328,66365435010538.0,701.0,1.2999999523162842
55,72758397010538,39,127,2006,39.665489196777344,-82.08663940429688,73953421010538.0,833.0,8.5
56,72758397010538,39,127,2006,39.665489196777344,-82.08663940429688,73953439010538.0,972.0,9.5
57,109827957010661,39,127,2008,39.591217041015625,-82.04411315917969,212651448010661.0,318.0,9.199999809265137
58,109828057010661,39,127,2008,39.76705551147461,-82.13922119140625,212651262010661.0,316.0,16.899999618530273
59,16233020020004,39,127,2013,39.78449630737305,-82.340087890625,271074041489998.0,541.0,6.300000190734863
60,16233129020004,39,127,2013,39.61934280395508,-82.26762390136719,271077419489998.0,837.0,5.599999904632568
61,171868064020004,39,127,2014,39.71131896972656,-82.12551879882812,334960471489998.0,931.0,2.0
62,247063779010661,39,127,2012,39.628883361816406,-82.10272216796875,211872001020004.0,491.0,3.299999952316284
63,251630572489998,39,127,2015,39.74812316894531,-82.109619140625,381538809489998.0,541.0,6.099999904632568
